Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-01;09:00:00;11-BIT-STUDIOS;11B (11BIT);1;129.4000;0.7000;0.54;216;27806.20
2026-09-01;09:01:00;11-BIT-STUDIOS;11B (11BIT);2;129.4000;0.0000;0.00;28;3621.10
2026-09-01;09:05:00;11-BIT-STUDIOS;11B (11BIT);3;129.3000;0.0000;0.00;4;517.20
2026-09-01;09:08:00;11-BIT-STUDIOS;11B (11BIT);4;129.3000;0.0000;0.00;2;258.60
2026-09-01;09:09:00;11-BIT-STUDIOS;11B (11BIT);5;129.5000;0.2000;0.15;25;3233.90
2026-09-01;09:14:00;11-BIT-STUDIOS;11B (11BIT);6;129.4000;-0.5000;-0.38;12;1557.80
2026-09-01;09:18:00;11-BIT-STUDIOS;11B (11BIT);7;130.0000;0.0000;0.00;17;2210.00
2026-09-01;09:24:00;11-BIT-STUDIOS;11B (11BIT);8;129.8000;0.0000;0.00;16;2076.80
2026-09-01;09:25:00;11-BIT-STUDIOS;11B (11BIT);9;129.2000;0.0000;0.00;7;904.40
2026-09-01;09:28:00;11-BIT-STUDIOS;11B (11BIT);10;129.2000;0.0000;0.00;40;5168.00
2026-09-01;09:29:00;11-BIT-STUDIOS;11B (11BIT);11;129.6000;0.0000;0.00;30;3888.00
2026-09-01;09:34:00;11-BIT-STUDIOS;11B (11BIT);12;129.6000;0.0000;0.00;26;3369.60
2026-09-01;09:37:00;11-BIT-STUDIOS;11B (11BIT);13;129.6000;0.0000;0.00;1;129.60
2026-09-01;09:47:00;11-BIT-STUDIOS;11B (11BIT);14;129.0000;0.0000;0.00;19;2451.00
2026-09-01;09:55:00;11-BIT-STUDIOS;11B (11BIT);15;129.0000;0.0000;0.00;5;645.00
2026-09-01;09:56:00;11-BIT-STUDIOS;11B (11BIT);16;129.7000;0.7000;0.54;25;3228.50
2026-09-01;10:21:00;11-BIT-STUDIOS;11B (11BIT);17;129.6000;0.0000;0.00;10;1296.00
2026-09-01;10:23:00;11-BIT-STUDIOS;11B (11BIT);18;129.0000;-0.2000;-0.15;154;19870.00
2026-09-01;10:26:00;11-BIT-STUDIOS;11B (11BIT);19;129.2000;0.0000;0.00;1;129.20
2026-09-01;10:27:00;11-BIT-STUDIOS;11B (11BIT);20;129.3000;0.4000;0.31;21;2707.30
2026-09-01;10:32:00;11-BIT-STUDIOS;11B (11BIT);21;128.7000;-0.3000;-0.23;41;5278.50
2026-09-01;10:33:00;11-BIT-STUDIOS;11B (11BIT);22;129.0000;0.0000;0.00;1;129.00
2026-09-01;10:34:00;11-BIT-STUDIOS;11B (11BIT);23;128.7000;0.0000;0.00;2;257.40
