Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-10;09:00:00;3RG;3RG (3RGAMES);1;0.7100;0.0000;0.00;50;35.50
2026-09-10;09:15:00;3RG;3RG (3RGAMES);2;0.7080;0.0000;0.00;142;100.54
2026-09-10;09:26:00;3RG;3RG (3RGAMES);3;0.7080;0.0000;0.00;11;7.79
2026-09-10;09:39:00;3RG;3RG (3RGAMES);4;0.6960;0.0000;0.00;1;0.70
2026-09-10;10:35:00;3RG;3RG (3RGAMES);5;0.6900;-0.0100;-1.43;10000;6907.39
2026-09-10;10:40:00;3RG;3RG (3RGAMES);6;0.6520;-0.0400;-5.78;18477;12486.88
2026-09-10;10:41:00;3RG;3RG (3RGAMES);7;0.6900;0.0000;0.00;70;48.30
2026-09-10;10:43:00;3RG;3RG (3RGAMES);8;0.7080;0.0000;0.00;70;49.56
2026-09-10;10:46:00;3RG;3RG (3RGAMES);9;0.6900;0.0000;0.00;741;511.29
2026-09-10;10:50:00;3RG;3RG (3RGAMES);10;0.6900;0.0000;0.00;3268;2254.92
2026-09-10;10:51:00;3RG;3RG (3RGAMES);11;0.6900;0.0000;0.00;100;69.00
2026-09-10;10:52:00;3RG;3RG (3RGAMES);12;0.6640;-0.0180;-2.64;698;466.69
2026-09-10;10:55:00;3RG;3RG (3RGAMES);13;0.6900;0.0020;0.29;2040;1406.56
2026-09-10;10:57:00;3RG;3RG (3RGAMES);14;0.6900;0.0200;2.99;586;391.96
2026-09-10;11:05:00;3RG;3RG (3RGAMES);15;0.6900;0.0000;0.00;166;114.54
2026-09-10;11:09:00;3RG;3RG (3RGAMES);16;0.6900;0.0000;0.00;5053;3486.57
2026-09-10;11:18:00;3RG;3RG (3RGAMES);17;0.6680;0.0000;0.00;1107;739.48
2026-09-10;11:19:00;3RG;3RG (3RGAMES);18;0.6680;0.0000;0.00;393;262.52
2026-09-10;11:24:00;3RG;3RG (3RGAMES);19;0.6900;0.0000;0.00;600;414.00
2026-09-10;12:02:00;3RG;3RG (3RGAMES);20;0.6700;-0.0200;-2.90;14000;9656.78
2026-09-10;12:16:00;3RG;3RG (3RGAMES);21;0.6740;0.0000;0.00;1000;674.00
2026-09-10;12:28:00;3RG;3RG (3RGAMES);22;0.6960;0.0000;0.00;680;473.28
2026-09-10;12:30:00;3RG;3RG (3RGAMES);23;0.6760;-0.0020;-0.29;2200;1489.20
2026-09-10;12:34:00;3RG;3RG (3RGAMES);24;0.6980;0.0000;0.00;3;2.09
2026-09-10;13:17:00;3RG;3RG (3RGAMES);25;0.6900;0.0000;0.00;2;1.38
2026-09-10;13:20:00;3RG;3RG (3RGAMES);26;0.6880;0.0000;0.00;7;4.82
2026-09-10;13:38:00;3RG;3RG (3RGAMES);27;0.6800;0.0000;0.00;2;1.36
2026-09-10;13:57:00;3RG;3RG (3RGAMES);28;0.6800;-0.0020;-0.29;388;264.44
2026-09-10;14:04:00;3RG;3RG (3RGAMES);29;0.6800;0.0000;0.00;100;68.00
2026-09-10;14:27:00;3RG;3RG (3RGAMES);30;0.6800;0.0000;0.00;2012;1368.16
2026-09-10;14:28:00;3RG;3RG (3RGAMES);31;0.6840;0.0000;0.00;282;192.89
2026-09-10;15:02:00;3RG;3RG (3RGAMES);32;0.6880;0.0000;0.00;386;265.57
2026-09-10;15:10:00;3RG;3RG (3RGAMES);33;0.6880;0.0000;0.00;114;78.43
2026-09-10;15:11:00;3RG;3RG (3RGAMES);34;0.6880;0.0000;0.00;1360;935.68
2026-09-10;15:12:00;3RG;3RG (3RGAMES);35;0.6980;0.0100;1.45;1360;939.02
2026-09-10;15:30:00;3RG;3RG (3RGAMES);36;0.6760;-0.0020;-0.29;1450;981.24
2026-09-10;15:32:00;3RG;3RG (3RGAMES);37;0.6760;0.0000;0.00;4425;2991.30
2026-09-10;15:33:00;3RG;3RG (3RGAMES);38;0.6760;0.0000;0.00;500;338.00
2026-09-10;15:37:00;3RG;3RG (3RGAMES);39;0.6740;0.0000;0.00;6825;4600.05
2026-09-10;15:45:00;3RG;3RG (3RGAMES);40;0.6980;0.0000;0.00;9;6.28
2026-09-10;16:48:00;3RG;3RG (3RGAMES);41;0.6880;0.0000;0.00;10;6.88
2026-09-10;17:00:00;3RG;3RG (3RGAMES);42;0.6780;0.0000;0.00;1;0.68
