Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-21;09:00:00;4MS;4MS (4MASS);1;5.3700;0.0000;0.00;354;1900.98
2026-09-21;09:58:00;4MS;4MS (4MASS);2;5.3400;0.0200;0.38;499;2663.46
2026-09-21;10:44:00;4MS;4MS (4MASS);3;5.3600;0.0000;0.00;2000;10720.00
2026-09-21;11:08:00;4MS;4MS (4MASS);4;5.3600;0.0000;0.00;233;1248.88
2026-09-21;11:11:00;4MS;4MS (4MASS);5;5.3600;0.0000;0.00;767;4111.12
2026-09-21;11:20:00;4MS;4MS (4MASS);6;5.3900;0.0200;0.37;160;861.14
2026-09-21;11:32:00;4MS;4MS (4MASS);7;5.4000;0.0100;0.19;160;863.47
2026-09-21;11:38:00;4MS;4MS (4MASS);8;5.4000;0.0000;0.00;400;2160.00
2026-09-21;11:39:00;4MS;4MS (4MASS);9;5.4000;0.0000;0.00;50;270.00
2026-09-21;15:24:00;4MS;4MS (4MASS);10;5.3300;0.0000;0.00;3;15.99
2026-09-21;15:26:00;4MS;4MS (4MASS);11;5.3300;0.0000;0.00;20;106.60
2026-09-21;15:40:00;4MS;4MS (4MASS);12;5.3300;0.0000;0.00;300;1599.00
2026-09-21;15:44:00;4MS;4MS (4MASS);13;5.3300;0.0000;0.00;516;2750.28
2026-09-21;16:37:00;4MS;4MS (4MASS);14;5.3300;0.0000;0.00;10;53.30
2026-09-21;17:00:00;4MS;4MS (4MASS);15;5.4000;0.0000;0.00;400;2160.00
