Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-29;09:56:00;AAT;AAT (ALTA);1;1.5550;0.0000;0.00;63;97.97
2026-07-29;10:07:00;AAT;AAT (ALTA);2;1.5400;-0.0150;-0.96;5391;8303.91
2026-07-29;10:34:00;AAT;AAT (ALTA);3;1.5400;0.0000;0.00;20;30.80
2026-07-29;10:58:00;AAT;AAT (ALTA);4;1.5600;0.0000;0.00;1;1.56
2026-07-29;11:28:00;AAT;AAT (ALTA);5;1.5600;0.0000;0.00;1;1.56
2026-07-29;11:29:00;AAT;AAT (ALTA);6;1.5300;-0.0100;-0.65;938;1436.52
2026-07-29;12:13:00;AAT;AAT (ALTA);7;1.5600;0.0000;0.00;4751;7411.56
2026-07-29;12:43:00;AAT;AAT (ALTA);8;1.5650;0.0000;0.00;7;10.96
2026-07-29;13:10:00;AAT;AAT (ALTA);9;1.5600;0.0000;0.00;139;216.84
2026-07-29;14:33:00;AAT;AAT (ALTA);10;1.6000;0.0350;2.24;38;59.65
2026-07-29;16:19:00;AAT;AAT (ALTA);11;1.6000;0.0000;0.00;12;19.20
