Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;ABE;ABE (ABPL);1;139.6000;0.0000;0.00;10;1396.00
2026-08-07;09:04:00;ABE;ABE (ABPL);2;139.6000;0.0000;0.00;1;139.60
2026-08-07;09:15:00;ABE;ABE (ABPL);3;139.6000;0.0000;0.00;3;418.80
2026-08-07;09:17:00;ABE;ABE (ABPL);4;139.4000;0.0000;0.00;50;6970.00
2026-08-07;09:18:00;ABE;ABE (ABPL);5;139.6000;0.0000;0.00;2;279.20
2026-08-07;09:22:00;ABE;ABE (ABPL);6;139.4000;0.0000;0.00;50;6970.00
2026-08-07;09:29:00;ABE;ABE (ABPL);7;139.6000;0.0000;0.00;36;5025.60
2026-08-07;09:30:00;ABE;ABE (ABPL);8;139.8000;0.0000;0.00;1;139.80
2026-08-07;09:31:00;ABE;ABE (ABPL);9;139.6000;0.0000;0.00;4;558.40
2026-08-07;09:34:00;ABE;ABE (ABPL);10;138.6000;0.0000;0.00;10;1386.00
2026-08-07;09:35:00;ABE;ABE (ABPL);11;138.6000;0.0000;0.00;1;138.60
2026-08-07;09:37:00;ABE;ABE (ABPL);12;139.0000;0.0000;0.00;2;278.00
2026-08-07;09:45:00;ABE;ABE (ABPL);13;138.8000;0.0000;0.00;71;9855.20
2026-08-07;09:49:00;ABE;ABE (ABPL);14;139.6000;0.0000;0.00;2;279.20
2026-08-07;09:50:00;ABE;ABE (ABPL);15;139.6000;0.0000;0.00;1;139.60
2026-08-07;10:01:00;ABE;ABE (ABPL);16;139.4000;0.0000;0.00;6;836.40
2026-08-07;10:07:00;ABE;ABE (ABPL);17;139.6000;0.4000;0.29;14;1952.80
2026-08-07;10:18:00;ABE;ABE (ABPL);18;138.8000;0.0000;0.00;35;4858.00
2026-08-07;10:30:00;ABE;ABE (ABPL);19;139.6000;0.8000;0.58;37;5162.00
2026-08-07;10:35:00;ABE;ABE (ABPL);20;139.6000;0.0000;0.00;1;139.60
2026-08-07;10:45:00;ABE;ABE (ABPL);21;139.4000;0.0000;0.00;3;418.20
