Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-17;09:10:00;ACG;ACG (ACAUTOGAZ);1;18.9500;0.0000;0.00;1;18.95
2026-07-17;09:38:00;ACG;ACG (ACAUTOGAZ);2;18.9500;0.0000;0.00;394;7466.30
2026-07-17;09:40:00;ACG;ACG (ACAUTOGAZ);3;18.9500;0.0000;0.00;46;871.70
2026-07-17;09:43:00;ACG;ACG (ACAUTOGAZ);4;18.9500;0.0000;0.00;65;1231.75
2026-07-17;09:55:00;ACG;ACG (ACAUTOGAZ);5;18.8000;-0.1500;-0.79;50;946.75
2026-07-17;09:56:00;ACG;ACG (ACAUTOGAZ);6;18.9500;0.0000;0.00;111;2103.45
2026-07-17;10:26:00;ACG;ACG (ACAUTOGAZ);7;18.8000;0.0000;0.00;10;188.00
2026-07-17;11:01:00;ACG;ACG (ACAUTOGAZ);8;18.9500;0.0000;0.00;110;2084.50
2026-07-17;11:04:00;ACG;ACG (ACAUTOGAZ);9;18.8000;0.0000;0.00;38;714.40
2026-07-17;11:50:00;ACG;ACG (ACAUTOGAZ);10;18.9500;0.0000;0.00;110;2084.50
2026-07-17;11:51:00;ACG;ACG (ACAUTOGAZ);11;19.0000;0.0000;0.00;200;3800.00
2026-07-17;13:56:00;ACG;ACG (ACAUTOGAZ);12;19.0000;0.0000;0.00;61;1159.00
2026-07-17;14:04:00;ACG;ACG (ACAUTOGAZ);13;19.0000;0.0500;0.26;100;1897.50
2026-07-17;14:51:00;ACG;ACG (ACAUTOGAZ);14;18.9500;0.0000;0.00;60;1137.00
2026-07-17;14:52:00;ACG;ACG (ACAUTOGAZ);15;19.0000;0.0000;0.00;100;1900.00
2026-07-17;15:18:00;ACG;ACG (ACAUTOGAZ);16;19.0000;0.0500;0.26;100;1899.45
2026-07-17;16:02:00;ACG;ACG (ACAUTOGAZ);17;18.9500;0.0000;0.00;110;2084.50
2026-07-17;16:10:00;ACG;ACG (ACAUTOGAZ);18;18.9500;0.0000;0.00;60;1137.00
2026-07-17;17:00:00;ACG;ACG (ACAUTOGAZ);19;19.0000;0.0000;0.00;1;19.00
