Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;ACTION;ACT (ACTION);1;44.9000;0.0000;0.00;184;8261.60
2026-08-05;09:01:00;ACTION;ACT (ACTION);2;44.9000;0.0000;0.00;11;493.90
2026-08-05;09:10:00;ACTION;ACT (ACTION);3;44.8000;-0.0500;-0.11;5;224.05
2026-08-05;09:23:00;ACTION;ACT (ACTION);4;44.8000;-0.0500;-0.11;265;11884.55
2026-08-05;09:29:00;ACTION;ACT (ACTION);5;44.8000;-0.0500;-0.11;31;1388.85
2026-08-05;09:32:00;ACTION;ACT (ACTION);6;44.8000;0.0000;0.00;100;4480.00
2026-08-05;09:33:00;ACTION;ACT (ACTION);7;44.8000;0.0000;0.00;40;1792.00
2026-08-05;09:34:00;ACTION;ACT (ACTION);8;44.9000;0.0500;0.11;7;314.05
2026-08-05;09:41:00;ACTION;ACT (ACTION);9;44.9500;0.0500;0.11;40;1797.00
2026-08-05;09:44:00;ACTION;ACT (ACTION);10;44.9500;0.0000;0.00;19;854.05
2026-08-05;09:59:00;ACTION;ACT (ACTION);11;45.0000;0.0000;0.00;1;45.00
2026-08-05;10:04:00;ACTION;ACT (ACTION);12;45.0000;0.0000;0.00;7;315.00
2026-08-05;10:25:00;ACTION;ACT (ACTION);13;45.0000;0.0000;0.00;15;675.00
2026-08-05;10:29:00;ACTION;ACT (ACTION);14;45.0000;0.0000;0.00;2;90.00
2026-08-05;10:31:00;ACTION;ACT (ACTION);15;45.0000;0.0000;0.00;11;495.00
2026-08-05;10:42:00;ACTION;ACT (ACTION);16;45.0000;0.0000;0.00;1;45.00
2026-08-05;10:44:00;ACTION;ACT (ACTION);17;45.0000;0.0000;0.00;1;45.00
2026-08-05;10:53:00;ACTION;ACT (ACTION);18;44.9500;0.0000;0.00;7;314.65
2026-08-05;11:25:00;ACTION;ACT (ACTION);19;44.9000;0.0000;0.00;4;179.60
2026-08-05;11:27:00;ACTION;ACT (ACTION);20;45.0000;0.0500;0.11;150;6746.50
2026-08-05;11:38:00;ACTION;ACT (ACTION);21;44.8500;-0.0500;-0.11;23;1032.55
2026-08-05;11:40:00;ACTION;ACT (ACTION);22;45.0000;0.0000;0.00;1;45.00
2026-08-05;11:50:00;ACTION;ACT (ACTION);23;45.0000;0.0500;0.11;289;12927.75
2026-08-05;12:26:00;ACTION;ACT (ACTION);24;45.0000;0.0500;0.11;4480;201593.55
2026-08-05;12:34:00;ACTION;ACT (ACTION);25;45.0000;0.0000;0.00;22;990.00
2026-08-05;12:35:00;ACTION;ACT (ACTION);26;45.0000;0.0000;0.00;27;1215.00
2026-08-05;12:36:00;ACTION;ACT (ACTION);27;45.0000;0.0000;0.00;1;45.00
2026-08-05;12:41:00;ACTION;ACT (ACTION);28;45.0000;0.0000;0.00;5;225.00
2026-08-05;12:52:00;ACTION;ACT (ACTION);29;45.0000;0.0000;0.00;1000;45000.00
2026-08-05;13:07:00;ACTION;ACT (ACTION);30;45.0000;0.0000;0.00;1;45.00
2026-08-05;13:17:00;ACTION;ACT (ACTION);31;45.0000;0.0000;0.00;3;135.00
2026-08-05;13:33:00;ACTION;ACT (ACTION);32;44.9500;0.0000;0.00;1;44.95
2026-08-05;13:44:00;ACTION;ACT (ACTION);33;45.0000;0.0000;0.00;1;45.00
2026-08-05;13:51:00;ACTION;ACT (ACTION);34;44.8000;-0.1500;-0.33;87;3905.85
2026-08-05;13:58:00;ACTION;ACT (ACTION);35;45.0000;0.0000;0.00;1;45.00
2026-08-05;14:04:00;ACTION;ACT (ACTION);36;44.7500;-0.1500;-0.33;27;1210.00
2026-08-05;14:05:00;ACTION;ACT (ACTION);37;44.9500;0.0000;0.00;1;44.95
2026-08-05;14:09:00;ACTION;ACT (ACTION);38;44.9000;0.0000;0.00;1;44.90
2026-08-05;14:17:00;ACTION;ACT (ACTION);39;45.0000;0.0500;0.11;153;6882.35
2026-08-05;14:19:00;ACTION;ACT (ACTION);40;44.9500;0.0000;0.00;32;1438.40
2026-08-05;14:21:00;ACTION;ACT (ACTION);41;44.9500;0.0000;0.00;2;89.90
2026-08-05;14:28:00;ACTION;ACT (ACTION);42;45.0000;0.0000;0.00;10;450.00
2026-08-05;14:40:00;ACTION;ACT (ACTION);43;44.9500;0.0000;0.00;5;224.75
2026-08-05;14:41:00;ACTION;ACT (ACTION);44;45.0000;0.0000;0.00;500;22500.00
2026-08-05;14:42:00;ACTION;ACT (ACTION);45;45.0000;0.0000;0.00;200;9000.00
2026-08-05;14:50:00;ACTION;ACT (ACTION);46;45.0000;0.0000;0.00;200;9000.00
2026-08-05;14:51:00;ACTION;ACT (ACTION);47;45.0000;0.0000;0.00;100;4500.00
2026-08-05;14:52:00;ACTION;ACT (ACTION);48;45.0000;0.0000;0.00;100;4500.00
