Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-21;09:00:00;ADIUVO-INVESTMENT;ADV (ADIUVO);1;0.5320;0.0000;0.00;2;1.06
2026-08-21;09:23:00;ADIUVO-INVESTMENT;ADV (ADIUVO);2;0.5300;0.0000;0.00;513;271.89
2026-08-21;11:53:00;ADIUVO-INVESTMENT;ADV (ADIUVO);3;0.5040;0.0000;0.00;20;10.08
2026-08-21;13:42:00;ADIUVO-INVESTMENT;ADV (ADIUVO);4;0.5280;0.0000;0.00;2;1.06
2026-08-21;13:53:00;ADIUVO-INVESTMENT;ADV (ADIUVO);5;0.5300;0.0020;0.38;200;105.96
2026-08-21;14:32:00;ADIUVO-INVESTMENT;ADV (ADIUVO);6;0.5300;0.0000;0.00;730;386.90
2026-08-21;15:49:00;ADIUVO-INVESTMENT;ADV (ADIUVO);7;0.5300;0.0000;0.00;50000;26500.00
2026-08-21;16:04:00;ADIUVO-INVESTMENT;ADV (ADIUVO);8;0.5300;0.0000;0.00;1500;795.00
2026-08-21;16:07:00;ADIUVO-INVESTMENT;ADV (ADIUVO);9;0.5300;0.0000;0.00;6397;3390.41
2026-08-21;16:17:00;ADIUVO-INVESTMENT;ADV (ADIUVO);10;0.5340;0.0000;0.00;603;322.00
