Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-31;09:00:00;ADX;ADX (ADATEX);1;1.4700;0.0000;0.00;1142;1678.74
2026-07-31;09:08:00;ADX;ADX (ADATEX);2;1.4700;0.0000;0.00;265;389.55
2026-07-31;09:17:00;ADX;ADX (ADATEX);3;1.4700;0.0000;0.00;7;10.29
2026-07-31;10:05:00;ADX;ADX (ADATEX);4;1.4900;0.0100;0.68;2027;3001.30
2026-07-31;10:07:00;ADX;ADX (ADATEX);5;1.4900;0.0000;0.00;1500;2235.00
2026-07-31;10:09:00;ADX;ADX (ADATEX);6;1.4700;0.0000;0.00;618;908.46
2026-07-31;10:58:00;ADX;ADX (ADATEX);7;1.4600;0.0000;0.00;40;58.40
2026-07-31;10:59:00;ADX;ADX (ADATEX);8;1.3500;0.0000;0.00;275;371.25
2026-07-31;11:17:00;ADX;ADX (ADATEX);9;1.3500;0.0000;0.00;25;33.75
2026-07-31;11:32:00;ADX;ADX (ADATEX);10;1.3600;0.0000;0.00;148;201.28
2026-07-31;12:10:00;ADX;ADX (ADATEX);11;1.4700;0.0000;0.00;8;11.76
2026-07-31;13:56:00;ADX;ADX (ADATEX);12;1.4700;0.0000;0.00;3;4.41
2026-07-31;16:16:00;ADX;ADX (ADATEX);13;1.4700;0.0000;0.00;15;22.05
