Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-07;09:00:00;AGORA;AGO (AGORA);1;9.6000;0.0000;0.00;4516;43353.60
2026-09-07;09:09:00;AGORA;AGO (AGORA);2;9.6000;0.0000;0.00;312;2995.20
2026-09-07;09:10:00;AGORA;AGO (AGORA);3;9.6000;0.0000;0.00;1000;9600.00
2026-09-07;09:11:00;AGORA;AGO (AGORA);4;9.5800;0.0000;0.00;150;1437.00
2026-09-07;09:12:00;AGORA;AGO (AGORA);5;9.5800;0.0000;0.00;161;1542.38
2026-09-07;09:19:00;AGORA;AGO (AGORA);6;9.5800;0.0000;0.00;1000;9580.00
2026-09-07;09:21:00;AGORA;AGO (AGORA);7;9.5800;0.0000;0.00;10;95.80
2026-09-07;09:25:00;AGORA;AGO (AGORA);8;9.5000;0.0000;0.00;288;2736.00
2026-09-07;09:32:00;AGORA;AGO (AGORA);9;9.5000;0.0000;0.00;18;171.00
2026-09-07;09:35:00;AGORA;AGO (AGORA);10;9.5800;0.0000;0.00;1002;9599.16
2026-09-07;09:36:00;AGORA;AGO (AGORA);11;9.5600;0.0000;0.00;879;8403.24
2026-09-07;09:39:00;AGORA;AGO (AGORA);12;9.5800;0.0000;0.00;1000;9580.00
2026-09-07;09:56:00;AGORA;AGO (AGORA);13;9.5800;0.0000;0.00;276;2644.08
2026-09-07;10:03:00;AGORA;AGO (AGORA);14;9.5800;0.0000;0.00;640;6131.20
2026-09-07;10:04:00;AGORA;AGO (AGORA);15;9.5800;0.0000;0.00;12;114.96
2026-09-07;10:05:00;AGORA;AGO (AGORA);16;9.5800;0.0000;0.00;1;9.58
2026-09-07;10:13:00;AGORA;AGO (AGORA);17;9.5600;0.0000;0.00;1;9.56
2026-09-07;10:14:00;AGORA;AGO (AGORA);18;9.5400;0.0000;0.00;1;9.54
2026-09-07;10:20:00;AGORA;AGO (AGORA);19;9.5400;0.0000;0.00;275;2623.50
2026-09-07;10:23:00;AGORA;AGO (AGORA);20;9.5600;0.0000;0.00;1;9.56
2026-09-07;10:24:00;AGORA;AGO (AGORA);21;9.5600;0.0000;0.00;6;57.36
2026-09-07;10:26:00;AGORA;AGO (AGORA);22;9.5400;0.0000;0.00;100000;954000.00
2026-09-07;10:37:00;AGORA;AGO (AGORA);23;9.5600;0.0000;0.00;104;994.24
2026-09-07;10:40:00;AGORA;AGO (AGORA);24;9.5600;0.0000;0.00;424;4053.44
2026-09-07;10:50:00;AGORA;AGO (AGORA);25;9.5800;0.0000;0.00;1;9.58
2026-09-07;11:10:00;AGORA;AGO (AGORA);26;9.6200;0.0400;0.42;1684;16155.42
2026-09-07;11:11:00;AGORA;AGO (AGORA);27;9.6200;0.0000;0.00;546;5252.52
2026-09-07;11:12:00;AGORA;AGO (AGORA);28;9.6400;0.0000;0.00;144;1388.16
2026-09-07;11:18:00;AGORA;AGO (AGORA);29;9.6000;0.0000;0.00;100;960.00
2026-09-07;11:22:00;AGORA;AGO (AGORA);30;9.6400;0.0000;0.00;1;9.64
2026-09-07;11:26:00;AGORA;AGO (AGORA);31;9.6000;0.0000;0.00;100;960.00
2026-09-07;11:31:00;AGORA;AGO (AGORA);32;9.6000;0.0000;0.00;90;864.00
2026-09-07;11:37:00;AGORA;AGO (AGORA);33;9.6400;0.0000;0.00;233;2246.12
2026-09-07;11:38:00;AGORA;AGO (AGORA);34;9.6000;0.0000;0.00;90;864.00
2026-09-07;11:43:00;AGORA;AGO (AGORA);35;9.6400;0.0000;0.00;1022;9852.08
2026-09-07;11:44:00;AGORA;AGO (AGORA);36;9.6600;0.0000;0.00;320;3091.20
2026-09-07;11:45:00;AGORA;AGO (AGORA);37;9.6600;0.0000;0.00;5;48.30
2026-09-07;11:46:00;AGORA;AGO (AGORA);38;9.6600;0.0000;0.00;215;2076.90
2026-09-07;11:49:00;AGORA;AGO (AGORA);39;9.6800;0.0200;0.21;3;29.00
2026-09-07;11:54:00;AGORA;AGO (AGORA);40;9.7000;0.0200;0.21;2070;20072.82
2026-09-07;12:02:00;AGORA;AGO (AGORA);41;9.7600;0.0000;0.00;10;97.60
2026-09-07;12:04:00;AGORA;AGO (AGORA);42;9.7600;0.0200;0.21;513;5004.68
2026-09-07;12:07:00;AGORA;AGO (AGORA);43;9.7600;0.0000;0.00;62;605.12
2026-09-07;12:10:00;AGORA;AGO (AGORA);44;9.7400;0.0000;0.00;33;321.42
2026-09-07;12:12:00;AGORA;AGO (AGORA);45;9.7200;0.0000;0.00;52;505.44
2026-09-07;12:15:00;AGORA;AGO (AGORA);46;9.7600;0.0000;0.00;9;87.84
2026-09-07;12:18:00;AGORA;AGO (AGORA);47;9.7400;0.0000;0.00;100;974.00
2026-09-07;12:20:00;AGORA;AGO (AGORA);48;9.7400;0.0000;0.00;500;4870.00
2026-09-07;12:24:00;AGORA;AGO (AGORA);49;9.7400;0.0000;0.00;45;438.30
2026-09-07;12:25:00;AGORA;AGO (AGORA);50;9.7200;0.0000;0.00;65;631.80
2026-09-07;12:31:00;AGORA;AGO (AGORA);51;9.7200;0.0000;0.00;49;476.28
2026-09-07;12:32:00;AGORA;AGO (AGORA);52;9.6800;0.0000;0.00;46;445.28
2026-09-07;12:33:00;AGORA;AGO (AGORA);53;9.7600;0.0000;0.00;204;1991.04
2026-09-07;12:34:00;AGORA;AGO (AGORA);54;9.6800;0.0000;0.00;82;793.76
2026-09-07;12:38:00;AGORA;AGO (AGORA);55;9.6600;-0.0200;-0.21;90;869.86
2026-09-07;12:39:00;AGORA;AGO (AGORA);56;9.6600;0.0000;0.00;65;627.90
2026-09-07;12:40:00;AGORA;AGO (AGORA);57;9.6600;0.0000;0.00;1;9.66
2026-09-07;12:44:00;AGORA;AGO (AGORA);58;9.6400;0.0000;0.00;85;819.40
2026-09-07;12:47:00;AGORA;AGO (AGORA);59;9.6600;0.0000;0.00;346;3342.36
2026-09-07;12:54:00;AGORA;AGO (AGORA);60;9.7200;0.0000;0.00;285;2770.20
2026-09-07;12:57:00;AGORA;AGO (AGORA);61;9.7800;0.0400;0.41;787;7683.82
2026-09-07;12:59:00;AGORA;AGO (AGORA);62;9.8000;0.0000;0.00;3291;32251.80
2026-09-07;13:04:00;AGORA;AGO (AGORA);63;9.7200;0.0000;0.00;95;923.40
2026-09-07;13:09:00;AGORA;AGO (AGORA);64;9.7200;0.0000;0.00;50;486.00
2026-09-07;13:10:00;AGORA;AGO (AGORA);65;9.7000;0.0000;0.00;40;388.00
2026-09-07;13:14:00;AGORA;AGO (AGORA);66;9.7200;0.0000;0.00;310;3013.20
2026-09-07;13:17:00;AGORA;AGO (AGORA);67;9.7600;0.0000;0.00;110;1073.60
2026-09-07;13:19:00;AGORA;AGO (AGORA);68;9.7600;0.0000;0.00;5;48.80
2026-09-07;13:22:00;AGORA;AGO (AGORA);69;9.7800;0.0000;0.00;1;9.78
2026-09-07;13:24:00;AGORA;AGO (AGORA);70;9.7800;0.0200;0.20;259;2530.82
2026-09-07;13:25:00;AGORA;AGO (AGORA);71;9.8000;0.0000;0.00;560;5488.00
2026-09-07;13:28:00;AGORA;AGO (AGORA);72;9.7600;-0.0200;-0.20;433;4226.24
2026-09-07;13:33:00;AGORA;AGO (AGORA);73;9.7000;-0.0600;-0.61;100;972.16
2026-09-07;13:36:00;AGORA;AGO (AGORA);74;9.7000;0.0000;0.00;110;1067.00
2026-09-07;13:42:00;AGORA;AGO (AGORA);75;9.7000;0.0000;0.00;95;921.50
2026-09-07;13:45:00;AGORA;AGO (AGORA);76;9.7600;0.0400;0.41;335;3265.60
2026-09-07;13:50:00;AGORA;AGO (AGORA);77;9.7600;0.0000;0.00;234;2283.84
2026-09-07;13:51:00;AGORA;AGO (AGORA);78;9.7600;0.0000;0.00;95;927.20
2026-09-07;13:53:00;AGORA;AGO (AGORA);79;9.7800;0.0200;0.20;490;4778.08
2026-09-07;14:01:00;AGORA;AGO (AGORA);80;9.7600;-0.0200;-0.20;360;3518.60
2026-09-07;14:06:00;AGORA;AGO (AGORA);81;9.7600;0.0000;0.00;110;1073.60
2026-09-07;14:10:00;AGORA;AGO (AGORA);82;9.7600;0.0000;0.00;90;878.40
2026-09-07;14:14:00;AGORA;AGO (AGORA);83;9.7600;0.0000;0.00;300;2928.00
2026-09-07;14:15:00;AGORA;AGO (AGORA);84;9.7600;0.0000;0.00;82;800.32
2026-09-07;14:16:00;AGORA;AGO (AGORA);85;9.7800;0.0600;0.62;96;936.60
2026-09-07;14:20:00;AGORA;AGO (AGORA);86;9.7600;0.0000;0.00;90;878.40
2026-09-07;14:24:00;AGORA;AGO (AGORA);87;9.7000;-0.0600;-0.61;2093;20313.46
2026-09-07;14:25:00;AGORA;AGO (AGORA);88;9.7000;0.0000;0.00;398;3860.60
2026-09-07;14:26:00;AGORA;AGO (AGORA);89;9.6800;0.0000;0.00;353;3417.04
2026-09-07;14:27:00;AGORA;AGO (AGORA);90;9.7000;0.0200;0.21;193;1869.16
2026-09-07;14:28:00;AGORA;AGO (AGORA);91;9.7000;-0.0600;-0.61;48;468.24
2026-09-07;14:29:00;AGORA;AGO (AGORA);92;9.7200;0.0200;0.21;1000;9710.00
2026-09-07;14:30:00;AGORA;AGO (AGORA);93;9.7000;-0.0200;-0.21;230;2234.34
2026-09-07;14:31:00;AGORA;AGO (AGORA);94;9.6800;0.0000;0.00;1518;14694.24
2026-09-07;14:35:00;AGORA;AGO (AGORA);95;9.6600;0.0000;0.00;4168;40262.88
2026-09-07;14:36:00;AGORA;AGO (AGORA);96;9.7800;0.1000;1.03;3000;29315.40
2026-09-07;14:38:00;AGORA;AGO (AGORA);97;9.7800;0.0000;0.00;250;2445.00
2026-09-07;14:39:00;AGORA;AGO (AGORA);98;9.8000;0.0000;0.00;250;2450.00
2026-09-07;14:42:00;AGORA;AGO (AGORA);99;9.8200;0.0000;0.00;4;39.28
2026-09-07;14:47:00;AGORA;AGO (AGORA);100;9.8000;0.0000;0.00;110;1078.00
2026-09-07;14:49:00;AGORA;AGO (AGORA);101;9.8000;0.0000;0.00;140;1372.00
2026-09-07;14:52:00;AGORA;AGO (AGORA);102;9.8000;0.0000;0.00;120;1176.00
2026-09-07;14:54:00;AGORA;AGO (AGORA);103;9.8000;0.0000;0.00;1;9.80
2026-09-07;14:57:00;AGORA;AGO (AGORA);104;9.8000;0.0000;0.00;110;1078.00
2026-09-07;14:59:00;AGORA;AGO (AGORA);105;9.8200;0.0000;0.00;5;49.10
2026-09-07;15:01:00;AGORA;AGO (AGORA);106;9.8200;0.0000;0.00;541;5312.62
2026-09-07;15:03:00;AGORA;AGO (AGORA);107;9.8400;0.0000;0.00;309;3040.56
2026-09-07;15:05:00;AGORA;AGO (AGORA);108;9.8200;0.0000;0.00;1;9.82
2026-09-07;15:06:00;AGORA;AGO (AGORA);109;9.8000;0.0000;0.00;95;931.00
2026-09-07;15:11:00;AGORA;AGO (AGORA);110;9.8000;0.0000;0.00;90;882.00
2026-09-07;15:13:00;AGORA;AGO (AGORA);111;9.8200;0.0000;0.00;189;1855.98
2026-09-07;15:20:00;AGORA;AGO (AGORA);112;9.8200;0.0000;0.00;95;932.90
2026-09-07;15:22:00;AGORA;AGO (AGORA);113;9.8200;0.0000;0.00;300;2946.00
2026-09-07;15:23:00;AGORA;AGO (AGORA);114;9.8400;0.0000;0.00;250;2460.00
2026-09-07;15:25:00;AGORA;AGO (AGORA);115;9.8200;0.0000;0.00;100;982.00
2026-09-07;15:26:00;AGORA;AGO (AGORA);116;9.8200;0.0000;0.00;67;657.94
2026-09-07;15:30:00;AGORA;AGO (AGORA);117;9.7800;-0.0200;-0.20;90;881.88
2026-09-07;15:31:00;AGORA;AGO (AGORA);118;9.8800;0.0600;0.61;2814;27750.30
2026-09-07;15:34:00;AGORA;AGO (AGORA);119;9.8200;0.0000;0.00;200;1964.00
2026-09-07;15:35:00;AGORA;AGO (AGORA);120;9.8200;-0.0600;-0.61;598;5893.90
2026-09-07;15:36:00;AGORA;AGO (AGORA);121;9.9400;0.0400;0.40;1176;11654.08
2026-09-07;15:38:00;AGORA;AGO (AGORA);122;10.0000;0.0600;0.60;11859;118481.86
2026-09-07;15:40:00;AGORA;AGO (AGORA);123;9.8600;-0.0400;-0.40;101;998.94
2026-09-07;15:44:00;AGORA;AGO (AGORA);124;9.9000;0.0000;0.00;110;1089.00
2026-09-07;15:47:00;AGORA;AGO (AGORA);125;9.9200;0.0000;0.00;103;1021.76
2026-09-07;15:49:00;AGORA;AGO (AGORA);126;9.9200;0.0000;0.00;110;1091.20
2026-09-07;15:50:00;AGORA;AGO (AGORA);127;9.8800;-0.0600;-0.60;7368;73099.26
2026-09-07;15:53:00;AGORA;AGO (AGORA);128;9.8000;-0.0200;-0.20;95;931.80
2026-09-07;15:58:00;AGORA;AGO (AGORA);129;9.8000;0.0000;0.00;85;833.00
2026-09-07;16:02:00;AGORA;AGO (AGORA);130;9.8000;0.0000;0.00;110;1078.00
2026-09-07;16:07:00;AGORA;AGO (AGORA);131;9.8000;0.0000;0.00;95;931.00
2026-09-07;16:10:00;AGORA;AGO (AGORA);132;9.8000;0.0000;0.00;110;1078.00
2026-09-07;16:12:00;AGORA;AGO (AGORA);133;9.9000;0.0000;0.00;298;2950.20
2026-09-07;16:15:00;AGORA;AGO (AGORA);134;9.9000;0.0000;0.00;202;1999.80
2026-09-07;16:16:00;AGORA;AGO (AGORA);135;9.8000;0.0000;0.00;90;882.00
2026-09-07;16:17:00;AGORA;AGO (AGORA);136;9.8800;0.0000;0.00;1;9.88
2026-09-07;16:19:00;AGORA;AGO (AGORA);137;9.8000;0.0000;0.00;109;1068.20
2026-09-07;16:25:00;AGORA;AGO (AGORA);138;9.8000;0.0000;0.00;85;833.00
2026-09-07;16:28:00;AGORA;AGO (AGORA);139;9.7800;-0.0200;-0.20;64;626.40
2026-09-07;16:29:00;AGORA;AGO (AGORA);140;9.7800;0.0000;0.00;50;489.00
2026-09-07;16:30:00;AGORA;AGO (AGORA);141;9.7800;0.0000;0.00;380;3722.40
2026-09-07;16:31:00;AGORA;AGO (AGORA);142;9.7800;-0.0200;-0.20;50;489.50
2026-09-07;16:32:00;AGORA;AGO (AGORA);143;9.8200;0.0200;0.20;80;785.10
2026-09-07;16:33:00;AGORA;AGO (AGORA);144;9.8000;-0.0200;-0.20;50;490.88
2026-09-07;16:34:00;AGORA;AGO (AGORA);145;9.8000;0.0000;0.00;65;637.00
