Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-31;09:00:00;AGROTON;AGT (AGROTON);1;4.2200;0.0000;0.00;211;890.42
2026-08-31;09:01:00;AGROTON;AGT (AGROTON);2;4.2500;0.0100;0.24;10;42.44
2026-08-31;09:07:00;AGROTON;AGT (AGROTON);3;4.2900;0.0300;0.70;2;8.54
2026-08-31;09:32:00;AGROTON;AGT (AGROTON);4;4.2300;0.0000;0.00;5;21.15
2026-08-31;09:37:00;AGROTON;AGT (AGROTON);5;4.2900;0.0000;0.00;5;21.45
2026-08-31;10:09:00;AGROTON;AGT (AGROTON);6;4.2300;0.0000;0.00;25;105.75
2026-08-31;10:10:00;AGROTON;AGT (AGROTON);7;4.3000;0.0100;0.23;250;1074.36
2026-08-31;11:44:00;AGROTON;AGT (AGROTON);8;4.2300;0.0000;0.00;27;114.21
2026-08-31;12:01:00;AGROTON;AGT (AGROTON);9;4.2300;0.0000;0.00;1;4.23
2026-08-31;13:01:00;AGROTON;AGT (AGROTON);10;4.2200;0.0000;0.00;1;4.22
2026-08-31;13:44:00;AGROTON;AGT (AGROTON);11;4.2300;0.0000;0.00;179;757.17
2026-08-31;13:51:00;AGROTON;AGT (AGROTON);12;4.3000;0.0500;1.18;2523;10738.45
2026-08-31;13:52:00;AGROTON;AGT (AGROTON);13;4.3000;0.0000;0.00;2799;12035.70
2026-08-31;14:00:00;AGROTON;AGT (AGROTON);14;4.3000;0.0000;0.00;700;3010.00
2026-08-31;14:03:00;AGROTON;AGT (AGROTON);15;4.3000;0.0000;0.00;23;98.90
2026-08-31;15:50:00;AGROTON;AGT (AGROTON);16;4.3000;0.0000;0.00;47;202.10
2026-08-31;15:51:00;AGROTON;AGT (AGROTON);17;4.3000;0.0000;0.00;20;86.00
2026-08-31;16:07:00;AGROTON;AGT (AGROTON);18;4.3200;0.0000;0.00;3;12.95
2026-08-31;16:28:00;AGROTON;AGT (AGROTON);19;4.3000;0.0000;0.00;1;4.30
2026-08-31;16:40:00;AGROTON;AGT (AGROTON);20;4.3200;0.0000;0.00;8;34.52
2026-08-31;17:00:00;AGROTON;AGT (AGROTON);21;4.3000;0.0000;0.00;9;38.70
