Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;AIRWAY-MEDIX;AWM (AIRWAY);1;0.2755;0.0000;0.00;900;247.95
2026-08-05;09:18:00;AIRWAY-MEDIX;AWM (AIRWAY);2;0.2790;0.0020;0.72;2000;556.00
2026-08-05;09:50:00;AIRWAY-MEDIX;AWM (AIRWAY);3;0.2785;0.0000;0.00;100;27.85
2026-08-05;09:51:00;AIRWAY-MEDIX;AWM (AIRWAY);4;0.2785;0.0000;0.00;860;239.51
2026-08-05;10:41:00;AIRWAY-MEDIX;AWM (AIRWAY);5;0.2720;-0.0010;-0.37;3993;1088.10
2026-08-05;10:42:00;AIRWAY-MEDIX;AWM (AIRWAY);6;0.2720;0.0000;0.00;2000;544.00
2026-08-05;11:22:00;AIRWAY-MEDIX;AWM (AIRWAY);7;0.2700;0.0000;0.00;1507;406.89
2026-08-05;11:28:00;AIRWAY-MEDIX;AWM (AIRWAY);8;0.2700;0.0000;0.00;5000;1350.00
2026-08-05;11:40:00;AIRWAY-MEDIX;AWM (AIRWAY);9;0.2720;0.0000;0.00;7;1.90
2026-08-05;11:48:00;AIRWAY-MEDIX;AWM (AIRWAY);10;0.2690;-0.0030;-1.10;1000;269.38
2026-08-05;11:52:00;AIRWAY-MEDIX;AWM (AIRWAY);11;0.2690;0.0000;0.00;21;5.65
2026-08-05;12:00:00;AIRWAY-MEDIX;AWM (AIRWAY);12;0.2760;0.0000;0.00;355;97.98
2026-08-05;12:12:00;AIRWAY-MEDIX;AWM (AIRWAY);13;0.2760;0.0000;0.00;3145;868.02
2026-08-05;12:14:00;AIRWAY-MEDIX;AWM (AIRWAY);14;0.2760;0.0000;0.00;655;180.78
2026-08-05;12:36:00;AIRWAY-MEDIX;AWM (AIRWAY);15;0.2700;-0.0010;-0.37;263;71.09
2026-08-05;12:42:00;AIRWAY-MEDIX;AWM (AIRWAY);16;0.2700;0.0000;0.00;11547;3117.69
2026-08-05;12:43:00;AIRWAY-MEDIX;AWM (AIRWAY);17;0.2700;0.0000;0.00;453;122.31
2026-08-05;13:31:00;AIRWAY-MEDIX;AWM (AIRWAY);18;0.2700;0.0000;0.00;3147;849.69
2026-08-05;13:46:00;AIRWAY-MEDIX;AWM (AIRWAY);19;0.2700;0.0000;0.00;1053;284.31
2026-08-05;14:47:00;AIRWAY-MEDIX;AWM (AIRWAY);20;0.2700;0.0000;0.00;3700;999.00
2026-08-05;15:19:00;AIRWAY-MEDIX;AWM (AIRWAY);21;0.2670;-0.0030;-1.11;40000;10716.95
2026-08-05;15:24:00;AIRWAY-MEDIX;AWM (AIRWAY);22;0.2730;0.0000;0.00;3700;1010.10
2026-08-05;16:36:00;AIRWAY-MEDIX;AWM (AIRWAY);23;0.2675;0.0000;0.00;3500;936.25
2026-08-05;16:46:00;AIRWAY-MEDIX;AWM (AIRWAY);24;0.2670;-0.0005;-0.19;310;82.85
2026-08-05;16:47:00;AIRWAY-MEDIX;AWM (AIRWAY);25;0.2645;-0.0015;-0.56;12450;3300.08
2026-08-05;16:49:00;AIRWAY-MEDIX;AWM (AIRWAY);26;0.2650;0.0000;0.00;10000;2650.00
2026-08-05;17:00:00;AIRWAY-MEDIX;AWM (AIRWAY);27;0.2695;0.0000;0.00;2222;598.83
