Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-21;09:00:00;ALE;ALE (ALLEGRO);1;44.8550;0.2400;0.54;5357;239497.11
2026-08-21;09:01:00;ALE;ALE (ALLEGRO);2;44.9550;0.0900;0.20;8309;373368.01
2026-08-21;09:02:00;ALE;ALE (ALLEGRO);3;44.8850;-0.0850;-0.19;5209;233837.82
2026-08-21;09:03:00;ALE;ALE (ALLEGRO);4;44.9900;0.0850;0.19;9186;412951.27
2026-08-21;09:04:00;ALE;ALE (ALLEGRO);5;44.9900;-0.0100;-0.02;5530;248769.17
2026-08-21;09:05:00;ALE;ALE (ALLEGRO);6;45.0500;0.0400;0.09;4930;221999.35
2026-08-21;09:06:00;ALE;ALE (ALLEGRO);7;45.0700;0.0200;0.04;4779;215434.89
2026-08-21;09:07:00;ALE;ALE (ALLEGRO);8;45.0900;0.0200;0.04;5358;241645.92
2026-08-21;09:08:00;ALE;ALE (ALLEGRO);9;45.0400;-0.0800;-0.18;5288;238329.39
2026-08-21;09:09:00;ALE;ALE (ALLEGRO);10;45.0700;0.0050;0.01;2154;97078.35
2026-08-21;09:10:00;ALE;ALE (ALLEGRO);11;45.1250;0.0500;0.11;3056;137791.25
2026-08-21;09:11:00;ALE;ALE (ALLEGRO);12;45.1200;0.0050;0.01;305;13760.19
2026-08-21;09:12:00;ALE;ALE (ALLEGRO);13;45.0200;-0.1000;-0.22;3359;151527.94
2026-08-21;09:13:00;ALE;ALE (ALLEGRO);14;45.0100;0.0050;0.01;2129;95817.13
2026-08-21;09:14:00;ALE;ALE (ALLEGRO);15;45.0750;0.0400;0.09;1888;85045.09
2026-08-21;09:15:00;ALE;ALE (ALLEGRO);16;44.9950;-0.0800;-0.18;2877;129700.92
2026-08-21;09:16:00;ALE;ALE (ALLEGRO);17;44.9950;0.0150;0.03;2272;102193.93
2026-08-21;09:17:00;ALE;ALE (ALLEGRO);18;45.0150;0.0050;0.01;4728;212884.31
2026-08-21;09:18:00;ALE;ALE (ALLEGRO);19;45.1000;0.0700;0.16;2958;133253.92
2026-08-21;09:19:00;ALE;ALE (ALLEGRO);20;45.0850;-0.0100;-0.02;1772;79894.65
2026-08-21;09:20:00;ALE;ALE (ALLEGRO);21;45.0850;-0.0050;-0.01;4098;184836.60
2026-08-21;09:21:00;ALE;ALE (ALLEGRO);22;45.0650;-0.0400;-0.09;615;27723.15
2026-08-21;09:22:00;ALE;ALE (ALLEGRO);23;45.0550;-0.0150;-0.03;394;17757.37
