Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-08;09:00:00;ALG;ALG (AIGAMES);1;0.7680;0.0000;0.00;57;43.78
2026-09-08;09:07:00;ALG;ALG (AIGAMES);2;0.7480;0.0000;0.00;12;8.98
2026-09-08;09:08:00;ALG;ALG (AIGAMES);3;0.7880;0.0200;2.60;180;138.60
2026-09-08;09:09:00;ALG;ALG (AIGAMES);4;0.7460;-0.0020;-0.27;185;138.18
2026-09-08;09:10:00;ALG;ALG (AIGAMES);5;0.7880;0.0000;0.00;2;1.58
2026-09-08;11:29:00;ALG;ALG (AIGAMES);6;0.7420;-0.0060;-0.80;306;228.08
2026-09-08;11:30:00;ALG;ALG (AIGAMES);7;0.7400;0.0000;0.00;2235;1653.90
2026-09-08;11:31:00;ALG;ALG (AIGAMES);8;0.7840;0.0000;0.00;2;1.57
2026-09-08;11:49:00;ALG;ALG (AIGAMES);9;0.7820;0.0000;0.00;25;19.55
2026-09-08;11:51:00;ALG;ALG (AIGAMES);10;0.7840;0.0000;0.00;2;1.57
2026-09-08;15:57:00;ALG;ALG (AIGAMES);11;0.7680;0.0000;0.00;500;384.00
