Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-01;09:00:00;ALIOR-BANK;ALR (ALIOR);1;132.8000;0.7000;0.53;1084;143501.70
2026-09-01;09:01:00;ALIOR-BANK;ALR (ALIOR);2;133.2000;0.2000;0.15;643;85538.90
2026-09-01;09:02:00;ALIOR-BANK;ALR (ALIOR);3;133.0500;-0.1500;-0.11;446;59344.60
2026-09-01;09:03:00;ALIOR-BANK;ALR (ALIOR);4;132.4000;-0.3000;-0.23;177;23460.00
2026-09-01;09:04:00;ALIOR-BANK;ALR (ALIOR);5;132.4000;0.1000;0.08;93;12312.50
2026-09-01;09:05:00;ALIOR-BANK;ALR (ALIOR);6;132.7000;0.3000;0.23;28;3712.15
2026-09-01;09:06:00;ALIOR-BANK;ALR (ALIOR);7;132.4000;-0.2000;-0.15;70;9268.20
2026-09-01;09:07:00;ALIOR-BANK;ALR (ALIOR);8;132.8500;0.5000;0.38;763;101120.35
2026-09-01;09:09:00;ALIOR-BANK;ALR (ALIOR);9;132.6500;0.0000;0.00;3;397.95
2026-09-01;09:10:00;ALIOR-BANK;ALR (ALIOR);10;132.5500;-0.2000;-0.15;60;7965.30
2026-09-01;09:11:00;ALIOR-BANK;ALR (ALIOR);11;132.7000;0.0000;0.00;100;13270.00
2026-09-01;09:12:00;ALIOR-BANK;ALR (ALIOR);12;132.7000;0.0000;0.00;7;928.90
2026-09-01;09:13:00;ALIOR-BANK;ALR (ALIOR);13;132.8500;0.0500;0.04;80;10627.40
2026-09-01;09:16:00;ALIOR-BANK;ALR (ALIOR);14;133.0000;0.2000;0.15;243;32288.70
2026-09-01;09:18:00;ALIOR-BANK;ALR (ALIOR);15;133.0000;0.0000;0.00;128;17028.00
2026-09-01;09:19:00;ALIOR-BANK;ALR (ALIOR);16;133.2000;0.0500;0.04;84;11187.75
2026-09-01;09:20:00;ALIOR-BANK;ALR (ALIOR);17;132.8500;-0.5000;-0.37;902;120090.60
2026-09-01;09:21:00;ALIOR-BANK;ALR (ALIOR);18;132.9500;0.0000;0.00;16;2127.20
2026-09-01;09:22:00;ALIOR-BANK;ALR (ALIOR);19;132.9000;0.1000;0.08;257;34160.00
2026-09-01;09:23:00;ALIOR-BANK;ALR (ALIOR);20;132.7500;0.0000;0.00;72;9558.00
2026-09-01;09:24:00;ALIOR-BANK;ALR (ALIOR);21;132.5500;-0.1000;-0.08;174;23074.65
2026-09-01;09:25:00;ALIOR-BANK;ALR (ALIOR);22;132.4000;0.0000;0.00;100;13240.00
2026-09-01;09:27:00;ALIOR-BANK;ALR (ALIOR);23;132.5500;0.1500;0.11;150;19862.25
2026-09-01;09:28:00;ALIOR-BANK;ALR (ALIOR);24;132.8000;0.0000;0.00;1;132.80
2026-09-01;09:30:00;ALIOR-BANK;ALR (ALIOR);25;133.0000;0.0000;0.00;17;2261.00
2026-09-01;09:31:00;ALIOR-BANK;ALR (ALIOR);26;132.9000;0.0500;0.04;138;18320.90
2026-09-01;09:33:00;ALIOR-BANK;ALR (ALIOR);27;133.0000;0.0000;0.00;1;133.00
2026-09-01;09:34:00;ALIOR-BANK;ALR (ALIOR);28;132.4500;-0.2000;-0.15;188;24932.90
2026-09-01;09:36:00;ALIOR-BANK;ALR (ALIOR);29;132.3000;0.0000;0.00;3;396.90
2026-09-01;09:37:00;ALIOR-BANK;ALR (ALIOR);30;132.3500;0.0000;0.00;20;2647.00
2026-09-01;09:38:00;ALIOR-BANK;ALR (ALIOR);31;132.2000;-0.3000;-0.23;296;39155.80
2026-09-01;09:39:00;ALIOR-BANK;ALR (ALIOR);32;132.3000;0.0000;0.00;184;24343.20
2026-09-01;09:40:00;ALIOR-BANK;ALR (ALIOR);33;132.2000;0.0000;0.00;145;19169.00
2026-09-01;09:41:00;ALIOR-BANK;ALR (ALIOR);34;132.2000;0.0500;0.04;233;30791.35
2026-09-01;09:45:00;ALIOR-BANK;ALR (ALIOR);35;132.0500;-0.1000;-0.08;516;68147.45
2026-09-01;09:46:00;ALIOR-BANK;ALR (ALIOR);36;132.1000;0.1000;0.08;64;8449.80
2026-09-01;09:47:00;ALIOR-BANK;ALR (ALIOR);37;132.3000;0.1000;0.08;178;23541.50
2026-09-01;09:48:00;ALIOR-BANK;ALR (ALIOR);38;132.3000;0.0000;0.00;19;2513.70
2026-09-01;09:49:00;ALIOR-BANK;ALR (ALIOR);39;132.3000;0.0000;0.00;13;1719.90
2026-09-01;09:50:00;ALIOR-BANK;ALR (ALIOR);40;132.3000;0.0000;0.00;6;793.80
2026-09-01;09:51:00;ALIOR-BANK;ALR (ALIOR);41;132.3000;0.0000;0.00;8;1058.40
2026-09-01;09:52:00;ALIOR-BANK;ALR (ALIOR);42;132.4000;0.1000;0.08;15;1985.15
