Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-21;09:00:00;ALL;ALL (AILLERON);1;15.6600;0.0000;0.00;56;876.96
2026-08-21;09:05:00;ALL;ALL (AILLERON);2;15.6600;0.0000;0.00;27;422.82
2026-08-21;09:08:00;ALL;ALL (AILLERON);3;15.6400;0.0000;0.00;1362;21301.68
2026-08-21;09:11:00;ALL;ALL (AILLERON);4;15.6600;0.0000;0.00;30;469.80
2026-08-21;09:13:00;ALL;ALL (AILLERON);5;15.6600;0.0000;0.00;60;939.60
2026-08-21;09:44:00;ALL;ALL (AILLERON);6;15.6400;0.0000;0.00;6;93.84
2026-08-21;09:45:00;ALL;ALL (AILLERON);7;15.6400;0.0000;0.00;6;93.84
2026-08-21;10:25:00;ALL;ALL (AILLERON);8;15.5600;0.0000;0.00;20;311.20
2026-08-21;10:26:00;ALL;ALL (AILLERON);9;15.5000;-0.0200;-0.13;515;7984.50
2026-08-21;10:30:00;ALL;ALL (AILLERON);10;15.5600;0.0000;0.00;4;62.24
2026-08-21;11:42:00;ALL;ALL (AILLERON);11;15.5600;0.0000;0.00;6;93.36
2026-08-21;11:49:00;ALL;ALL (AILLERON);12;15.4800;0.0000;0.00;19;294.12
2026-08-21;12:15:00;ALL;ALL (AILLERON);13;15.4800;0.0000;0.00;130;2012.40
2026-08-21;12:18:00;ALL;ALL (AILLERON);14;15.5600;0.0000;0.00;40;622.40
2026-08-21;12:29:00;ALL;ALL (AILLERON);15;15.6200;0.0000;0.00;50;781.00
2026-08-21;12:31:00;ALL;ALL (AILLERON);16;15.6200;0.0000;0.00;50;781.00
2026-08-21;13:45:00;ALL;ALL (AILLERON);17;15.6200;0.0000;0.00;20;312.40
2026-08-21;13:53:00;ALL;ALL (AILLERON);18;15.6200;0.0000;0.00;1;15.62
2026-08-21;14:50:00;ALL;ALL (AILLERON);19;15.6200;0.0000;0.00;150;2343.00
2026-08-21;15:06:00;ALL;ALL (AILLERON);20;15.6400;0.0000;0.00;16;250.24
2026-08-21;15:21:00;ALL;ALL (AILLERON);21;15.6400;0.0000;0.00;150;2346.00
2026-08-21;15:33:00;ALL;ALL (AILLERON);22;15.3600;-0.2400;-1.54;271;4167.08
2026-08-21;15:36:00;ALL;ALL (AILLERON);23;15.3800;0.0000;0.00;500;7690.00
2026-08-21;16:27:00;ALL;ALL (AILLERON);24;15.6200;0.2400;1.56;140;2174.62
