Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-01;09:19:00;ALTUS;ALI (ALTUS);1;3.4600;0.0000;0.00;155;536.30
2026-09-01;09:38:00;ALTUS;ALI (ALTUS);2;3.5500;0.0000;0.00;6;21.30
2026-09-01;09:44:00;ALTUS;ALI (ALTUS);3;3.5500;0.0000;0.00;3;10.65
2026-09-01;10:09:00;ALTUS;ALI (ALTUS);4;3.6000;0.0500;1.41;100;356.85
2026-09-01;10:31:00;ALTUS;ALI (ALTUS);5;3.6000;0.0000;0.00;74532;268315.21
2026-09-01;11:33:00;ALTUS;ALI (ALTUS);6;3.5000;-0.0400;-1.13;4111;14412.50
2026-09-01;11:40:00;ALTUS;ALI (ALTUS);7;3.5000;0.0000;0.00;1200;4200.00
2026-09-01;11:43:00;ALTUS;ALI (ALTUS);8;3.5000;0.0000;0.00;273;955.50
2026-09-01;11:46:00;ALTUS;ALI (ALTUS);9;3.5000;0.0000;0.00;2000;7000.00
2026-09-01;12:37:00;ALTUS;ALI (ALTUS);10;3.4700;0.0000;0.00;290;1006.30
2026-09-01;12:39:00;ALTUS;ALI (ALTUS);11;3.5500;0.0800;2.31;7400;26262.00
2026-09-01;12:51:00;ALTUS;ALI (ALTUS);12;3.5500;0.0000;0.00;5;17.75
2026-09-01;13:36:00;ALTUS;ALI (ALTUS);13;3.5500;0.0000;0.00;20;71.00
2026-09-01;13:51:00;ALTUS;ALI (ALTUS);14;3.5500;0.0000;0.00;10000;35500.00
2026-09-01;14:38:00;ALTUS;ALI (ALTUS);15;3.4600;-0.0400;-1.14;55;190.86
2026-09-01;15:14:00;ALTUS;ALI (ALTUS);16;3.5500;0.0000;0.00;7;24.85
2026-09-01;16:06:00;ALTUS;ALI (ALTUS);17;3.4900;0.0000;0.00;500;1745.00
2026-09-01;17:00:00;ALTUS;ALI (ALTUS);18;3.5500;0.0000;0.00;1;3.55
