Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-04;09:00:00;AMBRA;AMB (AMBRA);1;18.2000;0.0000;0.00;18;327.60
2026-09-04;09:13:00;AMBRA;AMB (AMBRA);2;18.2000;0.0000;0.00;2;36.40
2026-09-04;09:25:00;AMBRA;AMB (AMBRA);3;18.1800;-0.0200;-0.11;3;54.56
2026-09-04;09:32:00;AMBRA;AMB (AMBRA);4;18.2000;0.0000;0.00;1;18.20
2026-09-04;09:40:00;AMBRA;AMB (AMBRA);5;18.1600;-0.0200;-0.11;300;5448.52
2026-09-04;09:41:00;AMBRA;AMB (AMBRA);6;18.1600;0.0000;0.00;10;181.60
2026-09-04;09:43:00;AMBRA;AMB (AMBRA);7;18.2000;0.0000;0.00;2;36.40
2026-09-04;09:44:00;AMBRA;AMB (AMBRA);8;18.2000;0.0400;0.22;120;2179.42
2026-09-04;09:51:00;AMBRA;AMB (AMBRA);9;18.1400;0.0000;0.00;50;907.00
2026-09-04;09:58:00;AMBRA;AMB (AMBRA);10;18.1200;0.0000;0.00;150;2718.00
2026-09-04;10:04:00;AMBRA;AMB (AMBRA);11;18.2000;0.0000;0.00;10;182.00
2026-09-04;10:18:00;AMBRA;AMB (AMBRA);12;18.2000;0.0000;0.00;3;54.60
2026-09-04;10:35:00;AMBRA;AMB (AMBRA);13;18.2000;0.0000;0.00;27;491.40
2026-09-04;10:39:00;AMBRA;AMB (AMBRA);14;18.2000;0.0000;0.00;509;9263.80
2026-09-04;10:50:00;AMBRA;AMB (AMBRA);15;18.2200;0.0000;0.00;5;91.10
2026-09-04;11:02:00;AMBRA;AMB (AMBRA);16;18.2000;0.0000;0.00;67;1219.40
2026-09-04;11:03:00;AMBRA;AMB (AMBRA);17;18.2000;0.0000;0.00;20;364.00
2026-09-04;11:05:00;AMBRA;AMB (AMBRA);18;18.2200;0.0000;0.00;2;36.44
2026-09-04;11:06:00;AMBRA;AMB (AMBRA);19;18.2200;0.0000;0.00;109;1985.98
2026-09-04;11:14:00;AMBRA;AMB (AMBRA);20;18.2200;0.0000;0.00;1;18.22
2026-09-04;11:17:00;AMBRA;AMB (AMBRA);21;18.2200;0.0000;0.00;2;36.44
2026-09-04;11:20:00;AMBRA;AMB (AMBRA);22;18.2200;0.0000;0.00;2;36.44
2026-09-04;11:27:00;AMBRA;AMB (AMBRA);23;18.2000;0.0000;0.00;104;1892.80
2026-09-04;11:30:00;AMBRA;AMB (AMBRA);24;18.2200;0.0000;0.00;13;236.86
2026-09-04;11:31:00;AMBRA;AMB (AMBRA);25;18.2200;0.0000;0.00;11;200.42
2026-09-04;11:33:00;AMBRA;AMB (AMBRA);26;18.1400;0.0000;0.00;25;453.50
2026-09-04;11:53:00;AMBRA;AMB (AMBRA);27;18.2200;0.0000;0.00;1;18.22
2026-09-04;11:55:00;AMBRA;AMB (AMBRA);28;18.2200;0.0000;0.00;1;18.22
2026-09-04;12:04:00;AMBRA;AMB (AMBRA);29;18.2000;0.0000;0.00;20;364.00
2026-09-04;12:12:00;AMBRA;AMB (AMBRA);30;18.2000;0.0000;0.00;305;5551.00
2026-09-04;12:20:00;AMBRA;AMB (AMBRA);31;18.2200;0.0000;0.00;1;18.22
2026-09-04;12:30:00;AMBRA;AMB (AMBRA);32;18.2200;0.0000;0.00;20;364.40
2026-09-04;12:37:00;AMBRA;AMB (AMBRA);33;18.2200;0.0000;0.00;116;2113.52
2026-09-04;12:59:00;AMBRA;AMB (AMBRA);34;18.2000;0.0000;0.00;50;910.00
2026-09-04;13:38:00;AMBRA;AMB (AMBRA);35;18.2200;0.0000;0.00;48;874.56
2026-09-04;13:46:00;AMBRA;AMB (AMBRA);36;18.1200;-0.0200;-0.11;892;16174.54
2026-09-04;14:22:00;AMBRA;AMB (AMBRA);37;18.2200;0.0000;0.00;50;911.00
2026-09-04;14:56:00;AMBRA;AMB (AMBRA);38;18.1200;-0.0800;-0.44;20;363.68
2026-09-04;15:15:00;AMBRA;AMB (AMBRA);39;18.2000;0.0000;0.00;55;1001.00
2026-09-04;15:20:00;AMBRA;AMB (AMBRA);40;18.1200;-0.0600;-0.33;8;145.26
2026-09-04;15:21:00;AMBRA;AMB (AMBRA);41;18.1200;0.0000;0.00;4;72.48
2026-09-04;15:52:00;AMBRA;AMB (AMBRA);42;18.2000;0.0000;0.00;2;36.40
2026-09-04;16:03:00;AMBRA;AMB (AMBRA);43;18.1600;0.0000;0.00;1;18.16
2026-09-04;16:07:00;AMBRA;AMB (AMBRA);44;18.1600;0.0000;0.00;137;2487.92
2026-09-04;16:17:00;AMBRA;AMB (AMBRA);45;18.1600;0.0000;0.00;10;181.60
2026-09-04;16:20:00;AMBRA;AMB (AMBRA);46;18.2000;0.0000;0.00;275;5005.00
2026-09-04;16:21:00;AMBRA;AMB (AMBRA);47;18.2000;0.0000;0.00;338;6151.60
2026-09-04;16:39:00;AMBRA;AMB (AMBRA);48;18.2000;0.0000;0.00;10;182.00
