Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-15;09:00:00;AMICA;AMC (AMICA);1;46.1500;0.0000;0.00;87;4015.15
2026-09-15;09:06:00;AMICA;AMC (AMICA);2;46.5000;0.3000;0.65;217;10065.60
2026-09-15;09:15:00;AMICA;AMC (AMICA);3;46.5000;0.0000;0.00;6;279.00
2026-09-15;09:26:00;AMICA;AMC (AMICA);4;46.5000;0.0000;0.00;2;93.00
2026-09-15;09:29:00;AMICA;AMC (AMICA);5;46.5000;0.0000;0.00;2;93.00
2026-09-15;09:30:00;AMICA;AMC (AMICA);6;46.5000;0.0000;0.00;4;186.00
2026-09-15;09:46:00;AMICA;AMC (AMICA);7;46.5000;0.0000;0.00;5;232.50
2026-09-15;09:47:00;AMICA;AMC (AMICA);8;46.4000;0.0000;0.00;2;92.80
2026-09-15;09:54:00;AMICA;AMC (AMICA);9;46.4000;0.0000;0.00;5;232.00
2026-09-15;09:55:00;AMICA;AMC (AMICA);10;46.4000;0.0000;0.00;3;139.20
2026-09-15;09:56:00;AMICA;AMC (AMICA);11;46.5000;0.0000;0.00;3;139.50
2026-09-15;10:00:00;AMICA;AMC (AMICA);12;46.5000;0.0000;0.00;51;2371.50
2026-09-15;10:01:00;AMICA;AMC (AMICA);13;46.9500;0.4500;0.97;100;4650.75
2026-09-15;10:02:00;AMICA;AMC (AMICA);14;46.9500;0.0000;0.00;20;939.00
2026-09-15;10:03:00;AMICA;AMC (AMICA);15;46.4000;-0.5500;-1.17;119;5522.55
2026-09-15;10:05:00;AMICA;AMC (AMICA);16;46.0000;-0.3500;-0.76;2914;134305.85
2026-09-15;10:10:00;AMICA;AMC (AMICA);17;45.7500;-0.3500;-0.76;883;40568.65
2026-09-15;10:16:00;AMICA;AMC (AMICA);18;45.7500;-0.0500;-0.11;50;2287.55
2026-09-15;10:27:00;AMICA;AMC (AMICA);19;46.1000;0.0000;0.00;20;922.00
2026-09-15;10:28:00;AMICA;AMC (AMICA);20;46.1000;0.0000;0.00;2;92.20
2026-09-15;10:30:00;AMICA;AMC (AMICA);21;46.1000;0.0000;0.00;1;46.10
2026-09-15;10:31:00;AMICA;AMC (AMICA);22;46.0000;-0.0500;-0.11;3;138.05
2026-09-15;10:32:00;AMICA;AMC (AMICA);23;46.0000;0.0000;0.00;1;46.00
2026-09-15;10:33:00;AMICA;AMC (AMICA);24;46.0000;0.0000;0.00;100;4600.00
2026-09-15;10:36:00;AMICA;AMC (AMICA);25;46.0000;0.2000;0.44;305;13961.90
2026-09-15;10:37:00;AMICA;AMC (AMICA);26;46.0000;0.3000;0.66;573;26118.50
2026-09-15;10:39:00;AMICA;AMC (AMICA);27;45.5000;0.0000;0.00;1;45.50
2026-09-15;10:42:00;AMICA;AMC (AMICA);28;45.9500;0.0000;0.00;21;964.95
2026-09-15;10:44:00;AMICA;AMC (AMICA);29;45.8500;0.3000;0.66;44;2004.80
2026-09-15;10:47:00;AMICA;AMC (AMICA);30;45.4500;-0.1500;-0.33;5;227.85
2026-09-15;10:50:00;AMICA;AMC (AMICA);31;45.7500;0.0000;0.00;1;45.75
2026-09-15;10:51:00;AMICA;AMC (AMICA);32;45.7000;0.0000;0.00;23;1051.10
2026-09-15;10:57:00;AMICA;AMC (AMICA);33;45.7000;0.0000;0.00;2;91.40
2026-09-15;10:59:00;AMICA;AMC (AMICA);34;45.7500;0.0500;0.11;626;28638.15
2026-09-15;11:03:00;AMICA;AMC (AMICA);35;45.6500;0.0000;0.00;6;273.90
2026-09-15;11:09:00;AMICA;AMC (AMICA);36;45.7000;0.0000;0.00;84;3838.80
2026-09-15;11:11:00;AMICA;AMC (AMICA);37;45.5500;-0.1000;-0.22;250;11401.40
2026-09-15;11:22:00;AMICA;AMC (AMICA);38;45.6000;0.0000;0.00;100;4560.00
2026-09-15;11:23:00;AMICA;AMC (AMICA);39;45.9000;0.0000;0.00;1;45.90
2026-09-15;11:26:00;AMICA;AMC (AMICA);40;45.9000;0.0000;0.00;20;918.00
2026-09-15;11:31:00;AMICA;AMC (AMICA);41;45.9000;0.0000;0.00;1;45.90
2026-09-15;11:35:00;AMICA;AMC (AMICA);42;45.9500;0.0500;0.11;515;23639.25
2026-09-15;11:36:00;AMICA;AMC (AMICA);43;45.9500;0.0000;0.00;2;91.90
2026-09-15;11:39:00;AMICA;AMC (AMICA);44;45.9500;0.0000;0.00;9;413.55
2026-09-15;11:40:00;AMICA;AMC (AMICA);45;45.9500;0.0000;0.00;2;91.90
2026-09-15;11:42:00;AMICA;AMC (AMICA);46;45.7000;0.0000;0.00;34;1553.80
2026-09-15;11:44:00;AMICA;AMC (AMICA);47;46.0000;0.0500;0.11;400;18399.85
2026-09-15;11:53:00;AMICA;AMC (AMICA);48;46.0000;0.0000;0.00;200;9200.00
2026-09-15;12:02:00;AMICA;AMC (AMICA);49;46.0000;0.0000;0.00;2;92.00
2026-09-15;12:09:00;AMICA;AMC (AMICA);50;45.8000;-0.2000;-0.43;57;2621.00
2026-09-15;12:15:00;AMICA;AMC (AMICA);51;46.0000;0.0000;0.00;30;1380.00
2026-09-15;12:27:00;AMICA;AMC (AMICA);52;45.9500;0.0000;0.00;20;919.00
2026-09-15;12:28:00;AMICA;AMC (AMICA);53;46.1000;0.1500;0.33;2173;99966.65
2026-09-15;12:29:00;AMICA;AMC (AMICA);54;46.1000;0.0000;0.00;1;46.10
2026-09-15;12:37:00;AMICA;AMC (AMICA);55;46.1000;0.0000;0.00;185;8528.50
2026-09-15;12:38:00;AMICA;AMC (AMICA);56;46.1000;0.0000;0.00;195;8989.50
2026-09-15;12:39:00;AMICA;AMC (AMICA);57;46.1000;0.0000;0.00;93;4287.30
2026-09-15;12:41:00;AMICA;AMC (AMICA);58;46.1000;0.0000;0.00;372;17149.20
2026-09-15;12:43:00;AMICA;AMC (AMICA);59;46.2500;0.0000;0.00;93;4301.25
2026-09-15;12:47:00;AMICA;AMC (AMICA);60;46.0000;0.0000;0.00;1610;74060.00
2026-09-15;12:50:00;AMICA;AMC (AMICA);61;46.2500;0.0000;0.00;13;601.25
2026-09-15;12:54:00;AMICA;AMC (AMICA);62;46.2500;0.0000;0.00;10;462.50
2026-09-15;13:00:00;AMICA;AMC (AMICA);63;46.2500;0.0000;0.00;68;3145.00
2026-09-15;13:01:00;AMICA;AMC (AMICA);64;46.0000;0.0000;0.00;1390;63940.00
2026-09-15;13:03:00;AMICA;AMC (AMICA);65;46.2000;0.0000;0.00;181;8362.20
2026-09-15;13:12:00;AMICA;AMC (AMICA);66;46.2500;0.0000;0.00;2;92.50
2026-09-15;13:13:00;AMICA;AMC (AMICA);67;46.2000;0.0000;0.00;10;462.00
2026-09-15;13:16:00;AMICA;AMC (AMICA);68;46.1000;-0.0500;-0.11;209;9644.90
2026-09-15;13:36:00;AMICA;AMC (AMICA);69;46.2000;0.0000;0.00;25;1155.00
2026-09-15;13:45:00;AMICA;AMC (AMICA);70;46.2000;0.0500;0.11;10;461.95
2026-09-15;13:46:00;AMICA;AMC (AMICA);71;46.2000;0.0000;0.00;38;1755.60
2026-09-15;13:47:00;AMICA;AMC (AMICA);72;46.2000;0.0000;0.00;10;462.00
2026-09-15;14:09:00;AMICA;AMC (AMICA);73;46.2000;0.0000;0.00;108;4989.60
2026-09-15;14:12:00;AMICA;AMC (AMICA);74;46.2000;0.0000;0.00;5;231.00
2026-09-15;14:26:00;AMICA;AMC (AMICA);75;46.2000;0.0000;0.00;21;970.20
2026-09-15;14:33:00;AMICA;AMC (AMICA);76;46.2000;0.0000;0.00;1608;74289.60
2026-09-15;14:47:00;AMICA;AMC (AMICA);77;46.2500;0.0000;0.00;279;12903.75
2026-09-15;15:13:00;AMICA;AMC (AMICA);78;46.2500;0.0000;0.00;293;13551.25
2026-09-15;15:22:00;AMICA;AMC (AMICA);79;46.2000;0.0000;0.00;40;1848.00
2026-09-15;15:26:00;AMICA;AMC (AMICA);80;46.1000;0.0000;0.00;1;46.10
2026-09-15;15:30:00;AMICA;AMC (AMICA);81;46.1000;0.0000;0.00;2;92.20
2026-09-15;15:32:00;AMICA;AMC (AMICA);82;46.1000;0.0000;0.00;5;230.50
2026-09-15;15:45:00;AMICA;AMC (AMICA);83;46.1000;0.0000;0.00;1;46.10
2026-09-15;15:49:00;AMICA;AMC (AMICA);84;46.1000;-0.1500;-0.32;36;1659.75
2026-09-15;15:52:00;AMICA;AMC (AMICA);85;46.2500;0.0000;0.00;2;92.50
2026-09-15;15:54:00;AMICA;AMC (AMICA);86;46.2500;0.0000;0.00;1;46.25
2026-09-15;15:55:00;AMICA;AMC (AMICA);87;46.2500;0.0000;0.00;1;46.25
2026-09-15;15:59:00;AMICA;AMC (AMICA);88;46.1500;0.0000;0.00;1;46.15
2026-09-15;16:00:00;AMICA;AMC (AMICA);89;46.2500;0.0000;0.00;1;46.25
2026-09-15;16:01:00;AMICA;AMC (AMICA);90;46.2500;0.0000;0.00;1;46.25
2026-09-15;16:05:00;AMICA;AMC (AMICA);91;46.2500;0.0000;0.00;9;416.25
2026-09-15;16:24:00;AMICA;AMC (AMICA);92;46.2500;0.0000;0.00;27;1248.75
2026-09-15;16:25:00;AMICA;AMC (AMICA);93;46.2500;0.0000;0.00;22;1017.50
2026-09-15;16:26:00;AMICA;AMC (AMICA);94;46.4500;0.1500;0.32;377;17501.60
2026-09-15;16:28:00;AMICA;AMC (AMICA);95;46.4500;0.0000;0.00;105;4877.25
2026-09-15;16:30:00;AMICA;AMC (AMICA);96;46.4500;0.0000;0.00;20;929.00
2026-09-15;16:35:00;AMICA;AMC (AMICA);97;46.2500;0.0000;0.00;1;46.25
2026-09-15;16:36:00;AMICA;AMC (AMICA);98;46.6500;0.0000;0.00;5;233.25
2026-09-15;16:40:00;AMICA;AMC (AMICA);99;46.7500;0.0000;0.00;2;93.50
2026-09-15;16:46:00;AMICA;AMC (AMICA);100;46.9500;0.0000;0.00;2;93.90
2026-09-15;16:49:00;AMICA;AMC (AMICA);101;46.9500;0.0000;0.00;17;798.15
2026-09-15;17:00:00;AMICA;AMC (AMICA);102;46.9500;0.0000;0.00;8;375.60
