Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-07;09:00:00;APATOR;APT (APATOR);1;27.0500;-0.1000;-0.37;234;6345.80
2026-09-07;09:02:00;APATOR;APT (APATOR);2;27.0000;0.0000;0.00;10;270.00
2026-09-07;09:03:00;APATOR;APT (APATOR);3;27.1500;0.0000;0.00;2;54.30
2026-09-07;09:04:00;APATOR;APT (APATOR);4;27.1500;0.0000;0.00;7;190.05
2026-09-07;09:05:00;APATOR;APT (APATOR);5;27.1500;0.0000;0.00;600;16290.00
2026-09-07;09:06:00;APATOR;APT (APATOR);6;27.1500;0.0000;0.00;10;271.50
2026-09-07;09:12:00;APATOR;APT (APATOR);7;27.1500;0.0000;0.00;4;108.60
2026-09-07;09:19:00;APATOR;APT (APATOR);8;27.1500;0.0000;0.00;74;2009.10
2026-09-07;09:25:00;APATOR;APT (APATOR);9;27.0500;0.0000;0.00;3;81.15
2026-09-07;09:29:00;APATOR;APT (APATOR);10;27.1500;0.0000;0.00;20;543.00
2026-09-07;09:31:00;APATOR;APT (APATOR);11;27.1000;0.0000;0.00;50;1355.00
2026-09-07;09:33:00;APATOR;APT (APATOR);12;27.1500;0.0000;0.00;10;271.50
2026-09-07;09:35:00;APATOR;APT (APATOR);13;27.1500;0.0000;0.00;10;271.50
2026-09-07;09:42:00;APATOR;APT (APATOR);14;27.1500;0.0000;0.00;200;5430.00
2026-09-07;09:46:00;APATOR;APT (APATOR);15;27.1500;0.0000;0.00;124;3366.60
2026-09-07;09:57:00;APATOR;APT (APATOR);16;27.1000;0.0000;0.00;2;54.20
2026-09-07;10:20:00;APATOR;APT (APATOR);17;27.1500;0.0000;0.00;1;27.15
2026-09-07;10:35:00;APATOR;APT (APATOR);18;27.1500;0.0000;0.00;37;1004.55
2026-09-07;10:43:00;APATOR;APT (APATOR);19;27.1500;0.0000;0.00;3;81.45
2026-09-07;10:49:00;APATOR;APT (APATOR);20;27.1500;0.0000;0.00;350;9502.50
2026-09-07;10:56:00;APATOR;APT (APATOR);21;27.1500;0.0000;0.00;250;6787.50
2026-09-07;11:04:00;APATOR;APT (APATOR);22;27.1000;0.0000;0.00;1;27.10
2026-09-07;11:08:00;APATOR;APT (APATOR);23;27.1500;0.0000;0.00;22;597.30
2026-09-07;11:31:00;APATOR;APT (APATOR);24;27.1500;0.0000;0.00;50;1357.50
2026-09-07;11:46:00;APATOR;APT (APATOR);25;27.1000;0.0000;0.00;10;271.00
2026-09-07;11:47:00;APATOR;APT (APATOR);26;27.1000;0.0000;0.00;10;271.00
2026-09-07;11:49:00;APATOR;APT (APATOR);27;27.1500;0.0000;0.00;3;81.45
2026-09-07;11:54:00;APATOR;APT (APATOR);28;27.1000;0.0000;0.00;200;5420.00
2026-09-07;11:55:00;APATOR;APT (APATOR);29;27.0500;-0.0500;-0.18;300;8115.10
2026-09-07;12:10:00;APATOR;APT (APATOR);30;27.0500;0.0000;0.00;13;351.65
2026-09-07;12:15:00;APATOR;APT (APATOR);31;27.1500;0.0000;0.00;2;54.30
2026-09-07;12:20:00;APATOR;APT (APATOR);32;27.1500;0.0000;0.00;4;108.60
2026-09-07;12:23:00;APATOR;APT (APATOR);33;27.1500;0.0000;0.00;195;5294.25
2026-09-07;12:29:00;APATOR;APT (APATOR);34;27.0500;0.0000;0.00;610;16500.50
2026-09-07;12:34:00;APATOR;APT (APATOR);35;27.1500;0.0000;0.00;2;54.30
2026-09-07;12:39:00;APATOR;APT (APATOR);36;27.1500;0.0000;0.00;4;108.60
2026-09-07;12:46:00;APATOR;APT (APATOR);37;27.1000;0.0000;0.00;1;27.10
2026-09-07;12:55:00;APATOR;APT (APATOR);38;27.1500;0.0000;0.00;40;1086.00
2026-09-07;13:07:00;APATOR;APT (APATOR);39;27.1500;0.0000;0.00;18;488.70
