Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-18;09:00:00;APLISENS;APN (APLISENS);1;20.8000;0.0000;0.00;10;208.00
2026-08-18;09:18:00;APLISENS;APN (APLISENS);2;20.8000;0.0000;0.00;1;20.80
2026-08-18;09:38:00;APLISENS;APN (APLISENS);3;20.7000;0.0000;0.00;1;20.70
2026-08-18;09:55:00;APLISENS;APN (APLISENS);4;20.9000;0.1000;0.48;193;4019.90
2026-08-18;10:05:00;APLISENS;APN (APLISENS);5;20.9000;0.0000;0.00;2;41.80
2026-08-18;10:48:00;APLISENS;APN (APLISENS);6;20.9000;0.0000;0.00;10;209.00
2026-08-18;10:58:00;APLISENS;APN (APLISENS);7;20.9000;0.0000;0.00;10;209.00
2026-08-18;13:35:00;APLISENS;APN (APLISENS);8;20.9000;0.0000;0.00;50;1045.00
2026-08-18;13:40:00;APLISENS;APN (APLISENS);9;20.9000;0.1000;0.48;104;2165.60
2026-08-18;13:46:00;APLISENS;APN (APLISENS);10;20.8000;0.0000;0.00;10;208.00
2026-08-18;14:10:00;APLISENS;APN (APLISENS);11;20.8000;0.0000;0.00;25;520.00
2026-08-18;14:35:00;APLISENS;APN (APLISENS);12;20.8000;0.0000;0.00;19;395.20
2026-08-18;14:36:00;APLISENS;APN (APLISENS);13;20.6000;0.0000;0.00;15;309.00
2026-08-18;14:44:00;APLISENS;APN (APLISENS);14;20.9000;0.0000;0.00;47;982.30
2026-08-18;17:00:00;APLISENS;APN (APLISENS);15;20.9000;0.0000;0.00;1;20.90
