Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-03;09:00:00;APR;APR (AUTOPARTN);1;30.6500;0.0000;0.00;1854;56845.85
2026-09-03;09:01:00;APR;APR (AUTOPARTN);2;30.6500;-0.0500;-0.16;92;2820.00
2026-09-03;09:02:00;APR;APR (AUTOPARTN);3;30.5500;0.0000;0.00;712;21732.20
2026-09-03;09:03:00;APR;APR (AUTOPARTN);4;30.4000;-0.1000;-0.33;409;12439.50
2026-09-03;09:05:00;APR;APR (AUTOPARTN);5;30.4000;0.0000;0.00;65;1976.00
2026-09-03;09:06:00;APR;APR (AUTOPARTN);6;30.4000;0.0000;0.00;63;1915.20
2026-09-03;09:07:00;APR;APR (AUTOPARTN);7;30.3500;-0.1500;-0.49;651;19758.00
2026-09-03;09:10:00;APR;APR (AUTOPARTN);8;30.4500;0.1000;0.33;634;19297.40
2026-09-03;09:11:00;APR;APR (AUTOPARTN);9;30.6500;0.1500;0.49;1070;32651.80
2026-09-03;09:12:00;APR;APR (AUTOPARTN);10;30.6500;0.0000;0.00;1;30.65
2026-09-03;09:15:00;APR;APR (AUTOPARTN);11;30.6000;-0.0500;-0.16;193;5915.40
2026-09-03;09:18:00;APR;APR (AUTOPARTN);12;30.6000;-0.1000;-0.33;13;399.00
2026-09-03;09:20:00;APR;APR (AUTOPARTN);13;30.7000;0.0000;0.00;9;276.30
2026-09-03;09:22:00;APR;APR (AUTOPARTN);14;30.6000;-0.1000;-0.33;1163;35648.50
2026-09-03;09:23:00;APR;APR (AUTOPARTN);15;30.7000;0.1500;0.49;216;6622.10
2026-09-03;09:24:00;APR;APR (AUTOPARTN);16;30.5500;0.0000;0.00;33;1008.15
2026-09-03;09:25:00;APR;APR (AUTOPARTN);17;30.7000;0.0000;0.00;7;214.90
2026-09-03;09:27:00;APR;APR (AUTOPARTN);18;30.7000;0.0500;0.16;591;18133.30
2026-09-03;09:32:00;APR;APR (AUTOPARTN);19;30.7500;0.0000;0.00;1;30.75
2026-09-03;09:34:00;APR;APR (AUTOPARTN);20;30.7000;0.0000;0.00;810;24867.00
2026-09-03;09:35:00;APR;APR (AUTOPARTN);21;30.6500;0.0000;0.00;215;6589.75
2026-09-03;09:38:00;APR;APR (AUTOPARTN);22;30.7000;0.0000;0.00;10;307.00
2026-09-03;09:39:00;APR;APR (AUTOPARTN);23;30.6500;0.0000;0.00;3;91.95
2026-09-03;09:40:00;APR;APR (AUTOPARTN);24;30.7000;0.0000;0.00;421;12924.70
2026-09-03;09:43:00;APR;APR (AUTOPARTN);25;30.7500;0.1000;0.33;110;3374.50
2026-09-03;09:45:00;APR;APR (AUTOPARTN);26;30.6500;-0.0500;-0.16;263;8073.95
2026-09-03;09:46:00;APR;APR (AUTOPARTN);27;30.7000;0.0000;0.00;33;1013.10
2026-09-03;09:47:00;APR;APR (AUTOPARTN);28;30.7000;0.0000;0.00;2;61.40
2026-09-03;09:51:00;APR;APR (AUTOPARTN);29;30.5500;-0.1000;-0.33;1123;34323.90
2026-09-03;09:52:00;APR;APR (AUTOPARTN);30;30.5000;-0.0500;-0.16;493;15061.10
2026-09-03;09:53:00;APR;APR (AUTOPARTN);31;30.5000;0.0000;0.00;522;15921.00
2026-09-03;09:54:00;APR;APR (AUTOPARTN);32;30.5500;0.0000;0.00;153;4674.15
2026-09-03;09:55:00;APR;APR (AUTOPARTN);33;30.6000;0.0000;0.00;15;459.00
2026-09-03;09:57:00;APR;APR (AUTOPARTN);34;30.6000;0.0000;0.00;494;15116.40
