Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;APS-ENERGIA;APE (APSENERGY);1;5.8600;0.0000;0.00;83;486.38
2026-08-07;09:11:00;APS-ENERGIA;APE (APSENERGY);2;5.8400;0.0000;0.00;856;4999.04
2026-08-07;09:16:00;APS-ENERGIA;APE (APSENERGY);3;5.8200;0.0000;0.00;90;523.80
2026-08-07;09:18:00;APS-ENERGIA;APE (APSENERGY);4;5.7800;0.0000;0.00;66;381.48
2026-08-07;09:19:00;APS-ENERGIA;APE (APSENERGY);5;5.7600;0.0000;0.00;23;132.48
2026-08-07;09:23:00;APS-ENERGIA;APE (APSENERGY);6;5.7800;0.0000;0.00;20;115.60
2026-08-07;09:24:00;APS-ENERGIA;APE (APSENERGY);7;5.7800;0.0000;0.00;1;5.78
2026-08-07;09:34:00;APS-ENERGIA;APE (APSENERGY);8;5.7000;-0.0800;-1.38;635;3635.60
2026-08-07;09:37:00;APS-ENERGIA;APE (APSENERGY);9;5.7400;0.0000;0.00;10;57.40
2026-08-07;09:50:00;APS-ENERGIA;APE (APSENERGY);10;5.7000;0.0000;0.00;780;4446.00
2026-08-07;09:54:00;APS-ENERGIA;APE (APSENERGY);11;5.6800;-0.0200;-0.35;250;1424.40
2026-08-07;09:58:00;APS-ENERGIA;APE (APSENERGY);12;5.7400;0.0200;0.35;1330;7634.16
2026-08-07;10:01:00;APS-ENERGIA;APE (APSENERGY);13;5.7400;0.0000;0.00;520;2984.80
2026-08-07;10:08:00;APS-ENERGIA;APE (APSENERGY);14;5.7400;0.0000;0.00;1109;6365.66
2026-08-07;10:11:00;APS-ENERGIA;APE (APSENERGY);15;5.7400;0.0000;0.00;691;3966.34
2026-08-07;10:31:00;APS-ENERGIA;APE (APSENERGY);16;5.8000;0.0000;0.00;100;580.00
2026-08-07;10:44:00;APS-ENERGIA;APE (APSENERGY);17;5.8000;0.0000;0.00;10;58.00
