Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-21;09:00:00;ARCTIC-PAPER;ATC (ARCTIC);1;6.6600;0.0000;0.00;456;3036.96
2026-08-21;09:08:00;ARCTIC-PAPER;ATC (ARCTIC);2;6.6000;0.0000;0.00;213;1405.80
2026-08-21;09:23:00;ARCTIC-PAPER;ATC (ARCTIC);3;6.5500;-0.0600;-0.91;2514;16507.09
2026-08-21;09:24:00;ARCTIC-PAPER;ATC (ARCTIC);4;6.6200;0.0000;0.00;1;6.62
2026-08-21;09:32:00;ARCTIC-PAPER;ATC (ARCTIC);5;6.6300;0.0600;0.91;3312;21741.56
2026-08-21;09:37:00;ARCTIC-PAPER;ATC (ARCTIC);6;6.5700;0.0000;0.00;250;1642.50
2026-08-21;09:48:00;ARCTIC-PAPER;ATC (ARCTIC);7;6.6200;0.0000;0.00;1;6.62
2026-08-21;09:57:00;ARCTIC-PAPER;ATC (ARCTIC);8;6.6200;0.0000;0.00;60;397.20
2026-08-21;10:13:00;ARCTIC-PAPER;ATC (ARCTIC);9;6.6000;0.0000;0.00;360;2376.00
2026-08-21;10:18:00;ARCTIC-PAPER;ATC (ARCTIC);10;6.5900;0.0000;0.00;30;197.70
2026-08-21;10:23:00;ARCTIC-PAPER;ATC (ARCTIC);11;6.5900;0.0000;0.00;10;65.90
2026-08-21;10:24:00;ARCTIC-PAPER;ATC (ARCTIC);12;6.6000;0.0000;0.00;20;132.00
2026-08-21;10:25:00;ARCTIC-PAPER;ATC (ARCTIC);13;6.5600;-0.0200;-0.30;500;3288.00
2026-08-21;10:26:00;ARCTIC-PAPER;ATC (ARCTIC);14;6.5500;0.0000;0.00;1077;7054.35
2026-08-21;10:39:00;ARCTIC-PAPER;ATC (ARCTIC);15;6.5600;0.0000;0.00;540;3542.40
2026-08-21;10:42:00;ARCTIC-PAPER;ATC (ARCTIC);16;6.5600;0.0000;0.00;622;4080.32
2026-08-21;10:48:00;ARCTIC-PAPER;ATC (ARCTIC);17;6.5700;0.0000;0.00;10;65.70
2026-08-21;10:52:00;ARCTIC-PAPER;ATC (ARCTIC);18;6.5700;0.0000;0.00;20;131.40
2026-08-21;11:41:00;ARCTIC-PAPER;ATC (ARCTIC);19;6.5900;0.0000;0.00;612;4033.08
2026-08-21;11:42:00;ARCTIC-PAPER;ATC (ARCTIC);20;6.5900;0.0000;0.00;578;3809.02
2026-08-21;11:44:00;ARCTIC-PAPER;ATC (ARCTIC);21;6.6000;0.0000;0.00;20;132.00
2026-08-21;11:49:00;ARCTIC-PAPER;ATC (ARCTIC);22;6.6000;0.0000;0.00;252;1663.20
2026-08-21;11:59:00;ARCTIC-PAPER;ATC (ARCTIC);23;6.6100;0.0000;0.00;350;2313.50
2026-08-21;12:12:00;ARCTIC-PAPER;ATC (ARCTIC);24;6.6100;0.0000;0.00;17;112.37
2026-08-21;12:22:00;ARCTIC-PAPER;ATC (ARCTIC);25;6.6000;0.0000;0.00;4;26.40
2026-08-21;12:23:00;ARCTIC-PAPER;ATC (ARCTIC);26;6.6200;0.0200;0.30;200;1322.14
2026-08-21;12:32:00;ARCTIC-PAPER;ATC (ARCTIC);27;6.5900;0.0000;0.00;360;2372.40
2026-08-21;13:08:00;ARCTIC-PAPER;ATC (ARCTIC);28;6.5900;0.0000;0.00;100;659.00
2026-08-21;13:24:00;ARCTIC-PAPER;ATC (ARCTIC);29;6.6100;0.0000;0.00;5;33.05
2026-08-21;13:45:00;ARCTIC-PAPER;ATC (ARCTIC);30;6.6200;0.0100;0.15;1193;7892.66
2026-08-21;13:48:00;ARCTIC-PAPER;ATC (ARCTIC);31;6.6200;0.0000;0.00;488;3230.56
2026-08-21;14:20:00;ARCTIC-PAPER;ATC (ARCTIC);32;6.6200;0.0000;0.00;20;132.40
2026-08-21;14:28:00;ARCTIC-PAPER;ATC (ARCTIC);33;6.5900;-0.0200;-0.30;466;3070.96
2026-08-21;14:51:00;ARCTIC-PAPER;ATC (ARCTIC);34;6.6000;0.0000;0.00;80;528.00
2026-08-21;15:05:00;ARCTIC-PAPER;ATC (ARCTIC);35;6.6300;0.0000;0.00;400;2652.00
2026-08-21;15:40:00;ARCTIC-PAPER;ATC (ARCTIC);36;6.6400;0.0100;0.15;2355;15637.00
2026-08-21;15:41:00;ARCTIC-PAPER;ATC (ARCTIC);37;6.6500;0.0000;0.00;50;332.50
2026-08-21;15:42:00;ARCTIC-PAPER;ATC (ARCTIC);38;6.6900;0.0300;0.45;1740;11613.40
2026-08-21;15:43:00;ARCTIC-PAPER;ATC (ARCTIC);39;6.7400;0.0400;0.60;101;677.70
2026-08-21;15:44:00;ARCTIC-PAPER;ATC (ARCTIC);40;6.7400;0.0000;0.00;225;1516.50
2026-08-21;15:46:00;ARCTIC-PAPER;ATC (ARCTIC);41;6.7500;0.0000;0.00;4;27.00
2026-08-21;15:47:00;ARCTIC-PAPER;ATC (ARCTIC);42;6.7600;0.0000;0.00;25;169.00
2026-08-21;15:49:00;ARCTIC-PAPER;ATC (ARCTIC);43;6.7600;0.0000;0.00;577;3900.52
2026-08-21;15:51:00;ARCTIC-PAPER;ATC (ARCTIC);44;6.8000;0.0000;0.00;100;680.00
2026-08-21;15:53:00;ARCTIC-PAPER;ATC (ARCTIC);45;6.7500;0.0000;0.00;200;1350.00
2026-08-21;16:03:00;ARCTIC-PAPER;ATC (ARCTIC);46;6.7800;0.0000;0.00;83;562.74
2026-08-21;16:06:00;ARCTIC-PAPER;ATC (ARCTIC);47;6.7800;0.0000;0.00;80;542.40
2026-08-21;16:07:00;ARCTIC-PAPER;ATC (ARCTIC);48;6.7800;0.0000;0.00;120;813.60
2026-08-21;17:00:00;ARCTIC-PAPER;ATC (ARCTIC);49;6.7600;0.0000;0.00;303;2048.28
