Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:15:00;ARH;ARH (ARCHICOM);1;52.0000;-0.6000;-1.14;112;5884.00
2026-08-07;10:51:00;ARH;ARH (ARCHICOM);2;52.6000;0.0000;0.00;10;526.00
2026-08-07;11:05:00;ARH;ARH (ARCHICOM);3;52.0000;0.0000;0.00;8;416.00
2026-08-07;11:31:00;ARH;ARH (ARCHICOM);4;52.6000;0.0000;0.00;2;105.20
2026-08-07;11:39:00;ARH;ARH (ARCHICOM);5;52.0000;0.0000;0.00;14;728.00
2026-08-07;11:59:00;ARH;ARH (ARCHICOM);6;52.6000;0.0000;0.00;4;210.40
2026-08-07;12:56:00;ARH;ARH (ARCHICOM);7;52.6000;0.0000;0.00;28;1472.80
2026-08-07;13:41:00;ARH;ARH (ARCHICOM);8;52.4000;0.0000;0.00;6;314.40
2026-08-07;14:04:00;ARH;ARH (ARCHICOM);9;52.6000;0.0000;0.00;5;263.00
2026-08-07;14:47:00;ARH;ARH (ARCHICOM);10;52.6000;0.2000;0.38;13;681.40
2026-08-07;15:06:00;ARH;ARH (ARCHICOM);11;52.6000;0.0000;0.00;12;631.20
2026-08-07;15:55:00;ARH;ARH (ARCHICOM);12;52.6000;0.0000;0.00;1;52.60
2026-08-07;16:24:00;ARH;ARH (ARCHICOM);13;52.6000;0.0000;0.00;38;1998.80
2026-08-07;16:33:00;ARH;ARH (ARCHICOM);14;52.0000;-0.4000;-0.76;5;260.80
