Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-04;09:15:00;ARL;ARL (ARLEN);1;24.0000;0.0000;0.00;1;24.00
2026-09-04;09:36:00;ARL;ARL (ARLEN);2;23.8000;-0.2000;-0.83;384;9143.00
2026-09-04;09:53:00;ARL;ARL (ARLEN);3;24.2500;0.1500;0.62;10;242.35
2026-09-04;10:04:00;ARL;ARL (ARLEN);4;23.8000;0.0000;0.00;139;3308.20
2026-09-04;10:17:00;ARL;ARL (ARLEN);5;24.2500;0.0000;0.00;100;2425.00
2026-09-04;10:18:00;ARL;ARL (ARLEN);6;23.8500;0.0000;0.00;94;2241.90
2026-09-04;10:24:00;ARL;ARL (ARLEN);7;24.4000;0.2000;0.83;21;511.00
2026-09-04;10:33:00;ARL;ARL (ARLEN);8;23.8000;-0.1000;-0.42;68;1619.20
2026-09-04;11:25:00;ARL;ARL (ARLEN);9;23.8500;0.0000;0.00;50;1192.50
2026-09-04;11:51:00;ARL;ARL (ARLEN);10;23.8500;0.0000;0.00;22;524.70
2026-09-04;12:07:00;ARL;ARL (ARLEN);11;24.3000;0.0000;0.00;1;24.30
2026-09-04;12:43:00;ARL;ARL (ARLEN);12;24.2500;0.0000;0.00;2;48.50
2026-09-04;12:50:00;ARL;ARL (ARLEN);13;24.2500;0.0000;0.00;38;921.50
2026-09-04;13:09:00;ARL;ARL (ARLEN);14;24.2500;0.0000;0.00;374;9069.50
2026-09-04;13:28:00;ARL;ARL (ARLEN);15;24.3500;0.0500;0.21;12;291.75
2026-09-04;14:56:00;ARL;ARL (ARLEN);16;24.4000;0.0000;0.00;55;1342.00
2026-09-04;15:10:00;ARL;ARL (ARLEN);17;24.0500;0.0000;0.00;1;24.05
2026-09-04;15:11:00;ARL;ARL (ARLEN);18;24.4000;0.0000;0.00;3;73.20
2026-09-04;15:35:00;ARL;ARL (ARLEN);19;24.2000;0.0000;0.00;8;193.60
2026-09-04;15:42:00;ARL;ARL (ARLEN);20;24.2000;0.0000;0.00;1;24.20
2026-09-04;15:45:00;ARL;ARL (ARLEN);21;24.4000;0.0000;0.00;176;4294.40
2026-09-04;15:47:00;ARL;ARL (ARLEN);22;24.0500;0.0000;0.00;1;24.05
2026-09-04;16:31:00;ARL;ARL (ARLEN);23;24.4000;0.0000;0.00;2;48.80
2026-09-04;16:35:00;ARL;ARL (ARLEN);24;24.4000;0.0000;0.00;20;488.00
