Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-22;09:00:00;ARTIFEX;ART (ARTIFEX);1;21.2000;0.0000;0.00;9;190.80
2026-07-22;09:01:00;ARTIFEX;ART (ARTIFEX);2;21.2000;-0.1000;-0.47;96;2035.70
2026-07-22;09:05:00;ARTIFEX;ART (ARTIFEX);3;21.0000;0.0000;0.00;400;8400.00
2026-07-22;09:28:00;ARTIFEX;ART (ARTIFEX);4;21.0500;0.0000;0.00;4;84.20
2026-07-22;09:38:00;ARTIFEX;ART (ARTIFEX);5;21.0000;-0.0500;-0.24;24;504.10
2026-07-22;09:40:00;ARTIFEX;ART (ARTIFEX);6;21.0000;0.0000;0.00;396;8316.00
2026-07-22;09:50:00;ARTIFEX;ART (ARTIFEX);7;21.2500;0.0000;0.00;100;2125.00
2026-07-22;09:52:00;ARTIFEX;ART (ARTIFEX);8;21.2500;0.0000;0.00;800;17000.00
2026-07-22;10:19:00;ARTIFEX;ART (ARTIFEX);9;21.3000;0.0000;0.00;45;958.50
2026-07-22;10:29:00;ARTIFEX;ART (ARTIFEX);10;21.3000;0.0000;0.00;1;21.30
2026-07-22;10:46:00;ARTIFEX;ART (ARTIFEX);11;21.3000;0.0000;0.00;4;85.20
2026-07-22;10:50:00;ARTIFEX;ART (ARTIFEX);12;21.2500;0.0000;0.00;2;42.50
2026-07-22;10:53:00;ARTIFEX;ART (ARTIFEX);13;21.0500;-0.0500;-0.24;453;9535.90
2026-07-22;10:54:00;ARTIFEX;ART (ARTIFEX);14;21.0500;0.0000;0.00;293;6167.65
2026-07-22;10:57:00;ARTIFEX;ART (ARTIFEX);15;21.0000;-0.2000;-0.94;155;3259.60
2026-07-22;11:09:00;ARTIFEX;ART (ARTIFEX);16;21.0000;-0.0500;-0.24;965;20265.75
2026-07-22;11:16:00;ARTIFEX;ART (ARTIFEX);17;21.0000;0.0000;0.00;182;3822.00
2026-07-22;11:22:00;ARTIFEX;ART (ARTIFEX);18;21.0000;0.0000;0.00;568;11928.00
2026-07-22;11:24:00;ARTIFEX;ART (ARTIFEX);19;20.9500;-0.0500;-0.24;128;2687.60
2026-07-22;11:27:00;ARTIFEX;ART (ARTIFEX);20;20.9500;0.0000;0.00;467;9783.65
2026-07-22;11:29:00;ARTIFEX;ART (ARTIFEX);21;20.9500;0.0000;0.00;198;4148.10
2026-07-22;11:32:00;ARTIFEX;ART (ARTIFEX);22;21.1500;0.0000;0.00;92;1945.80
2026-07-22;11:37:00;ARTIFEX;ART (ARTIFEX);23;20.9500;0.0000;0.00;191;4001.45
