Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-07;09:00:00;ASBISC;ASB (ASBIS);1;134.4000;0.4000;0.30;2064;276705.70
2026-09-07;09:01:00;ASBISC;ASB (ASBIS);2;133.5000;-0.6000;-0.45;197;26362.10
2026-09-07;09:02:00;ASBISC;ASB (ASBIS);3;134.9000;1.1000;0.82;574;77033.50
2026-09-07;09:03:00;ASBISC;ASB (ASBIS);4;135.1000;0.2000;0.15;485;65433.50
2026-09-07;09:04:00;ASBISC;ASB (ASBIS);5;135.4000;0.7000;0.52;1027;138750.00
2026-09-07;09:05:00;ASBISC;ASB (ASBIS);6;135.2000;-0.2000;-0.15;223;30090.50
2026-09-07;09:06:00;ASBISC;ASB (ASBIS);7;134.7000;-0.5000;-0.37;443;59715.50
2026-09-07;09:07:00;ASBISC;ASB (ASBIS);8;135.1000;0.2000;0.15;322;43470.30
2026-09-07;09:08:00;ASBISC;ASB (ASBIS);9;135.2000;0.1000;0.07;132;17842.20
2026-09-07;09:09:00;ASBISC;ASB (ASBIS);10;134.9000;-0.4000;-0.30;586;79270.00
2026-09-07;09:10:00;ASBISC;ASB (ASBIS);11;134.9000;-0.6000;-0.44;32;4318.00
2026-09-07;09:11:00;ASBISC;ASB (ASBIS);12;135.3000;-0.1000;-0.07;11;1489.20
2026-09-07;09:12:00;ASBISC;ASB (ASBIS);13;134.8000;-0.3000;-0.22;40;5400.00
2026-09-07;09:13:00;ASBISC;ASB (ASBIS);14;135.4000;0.2000;0.15;1090;147523.30
2026-09-07;09:14:00;ASBISC;ASB (ASBIS);15;135.9000;0.2000;0.15;3550;482789.50
2026-09-07;09:15:00;ASBISC;ASB (ASBIS);16;136.4000;0.3000;0.22;1373;187194.20
2026-09-07;09:16:00;ASBISC;ASB (ASBIS);17;136.2000;-0.3000;-0.22;239;32644.90
2026-09-07;09:17:00;ASBISC;ASB (ASBIS);18;136.7000;0.5000;0.37;304;41535.50
2026-09-07;09:18:00;ASBISC;ASB (ASBIS);19;136.5000;-0.1000;-0.07;772;105582.30
2026-09-07;09:19:00;ASBISC;ASB (ASBIS);20;136.9000;0.3000;0.22;239;32673.50
