Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-30;09:00:00;ASM-GROUP;ASM (ASMGROUP);1;0.1635;0.0000;0.00;68;11.12
2026-07-30;09:06:00;ASM-GROUP;ASM (ASMGROUP);2;0.1620;0.0000;0.00;279;45.20
2026-07-30;09:09:00;ASM-GROUP;ASM (ASMGROUP);3;0.1620;0.0000;0.00;3118;505.12
2026-07-30;09:10:00;ASM-GROUP;ASM (ASMGROUP);4;0.1640;0.0020;1.23;8214;1339.16
2026-07-30;09:17:00;ASM-GROUP;ASM (ASMGROUP);5;0.1645;0.0000;0.00;4000;658.00
2026-07-30;09:18:00;ASM-GROUP;ASM (ASMGROUP);6;0.1645;0.0000;0.00;4000;658.00
2026-07-30;09:23:00;ASM-GROUP;ASM (ASMGROUP);7;0.1650;0.0005;0.30;6693;1104.20
2026-07-30;09:24:00;ASM-GROUP;ASM (ASMGROUP);8;0.1660;0.0005;0.30;10900;1806.40
2026-07-30;09:25:00;ASM-GROUP;ASM (ASMGROUP);9;0.1675;0.0000;0.00;1800;301.50
2026-07-30;09:28:00;ASM-GROUP;ASM (ASMGROUP);10;0.1655;0.0000;0.00;5000;827.50
2026-07-30;09:37:00;ASM-GROUP;ASM (ASMGROUP);11;0.1670;0.0000;0.00;100;16.70
2026-07-30;09:51:00;ASM-GROUP;ASM (ASMGROUP);12;0.1630;0.0000;0.00;3787;617.29
2026-07-30;10:00:00;ASM-GROUP;ASM (ASMGROUP);13;0.1625;0.0000;0.00;8000;1300.00
2026-07-30;10:01:00;ASM-GROUP;ASM (ASMGROUP);14;0.1610;-0.0010;-0.62;26216;4232.78
2026-07-30;10:16:00;ASM-GROUP;ASM (ASMGROUP);15;0.1600;-0.0030;-1.84;73676;11856.70
2026-07-30;10:30:00;ASM-GROUP;ASM (ASMGROUP);16;0.1630;0.0000;0.00;3000;489.00
2026-07-30;10:31:00;ASM-GROUP;ASM (ASMGROUP);17;0.1650;0.0015;0.92;22500;3700.00
2026-07-30;10:32:00;ASM-GROUP;ASM (ASMGROUP);18;0.1650;0.0000;0.00;8122;1340.13
2026-07-30;10:33:00;ASM-GROUP;ASM (ASMGROUP);19;0.1650;0.0000;0.00;5500;907.50
2026-07-30;10:36:00;ASM-GROUP;ASM (ASMGROUP);20;0.1650;0.0000;0.00;504;83.16
2026-07-30;10:41:00;ASM-GROUP;ASM (ASMGROUP);21;0.1640;0.0000;0.00;9666;1585.22
2026-07-30;10:42:00;ASM-GROUP;ASM (ASMGROUP);22;0.1640;0.0000;0.00;334;54.78
2026-07-30;11:06:00;ASM-GROUP;ASM (ASMGROUP);23;0.1640;0.0000;0.00;10000;1640.00
2026-07-30;11:56:00;ASM-GROUP;ASM (ASMGROUP);24;0.1620;-0.0010;-0.61;453;73.44
2026-07-30;12:12:00;ASM-GROUP;ASM (ASMGROUP);25;0.1630;0.0000;0.00;10118;1649.23
2026-07-30;12:14:00;ASM-GROUP;ASM (ASMGROUP);26;0.1645;0.0000;0.00;2300;378.35
2026-07-30;12:21:00;ASM-GROUP;ASM (ASMGROUP);27;0.1660;0.0015;0.91;17800;2943.50
2026-07-30;12:29:00;ASM-GROUP;ASM (ASMGROUP);28;0.1660;0.0000;0.00;72;11.95
2026-07-30;12:31:00;ASM-GROUP;ASM (ASMGROUP);29;0.1660;0.0000;0.00;3328;552.45
2026-07-30;12:34:00;ASM-GROUP;ASM (ASMGROUP);30;0.1665;0.0000;0.00;200;33.30
2026-07-30;12:40:00;ASM-GROUP;ASM (ASMGROUP);31;0.1630;0.0000;0.00;5382;877.27
2026-07-30;12:46:00;ASM-GROUP;ASM (ASMGROUP);32;0.1615;-0.0005;-0.31;30000;4856.00
2026-07-30;12:48:00;ASM-GROUP;ASM (ASMGROUP);33;0.1665;0.0000;0.00;5000;832.50
2026-07-30;13:11:00;ASM-GROUP;ASM (ASMGROUP);34;0.1665;0.0000;0.00;2000;333.00
2026-07-30;13:22:00;ASM-GROUP;ASM (ASMGROUP);35;0.1640;0.0000;0.00;1500;246.00
2026-07-30;13:37:00;ASM-GROUP;ASM (ASMGROUP);36;0.1660;0.0000;0.00;3000;498.00
2026-07-30;13:48:00;ASM-GROUP;ASM (ASMGROUP);37;0.1650;0.0000;0.00;500;82.50
2026-07-30;14:52:00;ASM-GROUP;ASM (ASMGROUP);38;0.1625;0.0000;0.00;8500;1381.25
2026-07-30;14:54:00;ASM-GROUP;ASM (ASMGROUP);39;0.1620;-0.0030;-1.82;13575;2199.38
2026-07-30;15:01:00;ASM-GROUP;ASM (ASMGROUP);40;0.1650;0.0000;0.00;150;24.75
2026-07-30;15:47:00;ASM-GROUP;ASM (ASMGROUP);41;0.1645;0.0000;0.00;5000;822.50
2026-07-30;16:15:00;ASM-GROUP;ASM (ASMGROUP);42;0.1615;0.0000;0.00;37900;6120.85
2026-07-30;16:25:00;ASM-GROUP;ASM (ASMGROUP);43;0.1610;0.0000;0.00;10394;1673.43
2026-07-30;17:00:00;ASM-GROUP;ASM (ASMGROUP);44;0.1610;0.0000;0.00;1850;297.85
