Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-29;09:00:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);1;88.0000;0.0000;0.00;16;1408.00
2026-07-29;09:03:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);2;88.0000;0.0000;0.00;2;176.00
2026-07-29;09:07:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);3;86.2000;-1.2000;-1.37;63;5458.60
2026-07-29;09:08:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);4;88.0000;0.0000;0.00;1;88.00
2026-07-29;09:10:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);5;88.0000;0.0000;0.00;5;440.00
2026-07-29;09:12:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);6;88.0000;0.0000;0.00;57;5016.00
2026-07-29;09:20:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);7;88.0000;0.0000;0.00;55;4840.00
2026-07-29;09:39:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);8;88.0000;0.0000;0.00;2;176.00
2026-07-29;09:40:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);9;88.0000;0.0000;0.00;11;968.00
2026-07-29;09:53:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);10;88.0000;0.0000;0.00;1;88.00
2026-07-29;09:55:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);11;87.0000;0.0000;0.00;3;261.00
2026-07-29;09:59:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);12;88.0000;0.0000;0.00;23;2024.00
2026-07-29;10:09:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);13;88.0000;0.0000;0.00;7;616.00
2026-07-29;10:11:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);14;87.0000;0.0000;0.00;4;348.00
2026-07-29;11:06:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);15;88.0000;0.0000;0.00;1;88.00
2026-07-29;11:17:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);16;88.0000;0.0000;0.00;1;88.00
2026-07-29;11:18:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);17;88.0000;0.0000;0.00;3;264.00
2026-07-29;11:24:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);18;87.2000;0.0000;0.00;100;8720.00
2026-07-29;11:25:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);19;87.0000;0.0000;0.00;5;435.00
2026-07-29;12:07:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);20;87.0000;0.0000;0.00;70;6090.00
2026-07-29;12:24:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);21;87.0000;0.0000;0.00;1;87.00
2026-07-29;12:25:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);22;87.0000;0.0000;0.00;4;348.00
2026-07-29;12:31:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);23;87.2000;0.0000;0.00;2;174.40
2026-07-29;12:37:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);24;87.2000;0.2000;0.23;2;174.20
2026-07-29;13:14:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);25;88.0000;0.0000;0.00;101;8888.00
2026-07-29;13:37:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);26;88.0000;0.0000;0.00;3;264.00
2026-07-29;13:56:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);27;87.2000;0.0000;0.00;3;261.60
2026-07-29;14:13:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);28;88.0000;0.0000;0.00;1;88.00
2026-07-29;14:48:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);29;87.2000;0.0000;0.00;2;174.40
2026-07-29;15:09:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);30;87.2000;-0.2000;-0.23;12;1047.80
2026-07-29;15:42:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);31;87.2000;0.0000;0.00;36;3139.20
2026-07-29;15:43:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);32;87.2000;0.0000;0.00;49;4272.80
2026-07-29;15:51:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);33;88.0000;0.0000;0.00;1;88.00
2026-07-29;15:55:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);34;87.0000;0.0000;0.00;2;174.00
2026-07-29;15:57:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);35;87.0000;0.0000;0.00;33;2871.00
2026-07-29;16:33:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);36;87.2000;0.0000;0.00;7;610.40
2026-07-29;16:41:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);37;87.2000;0.0000;0.00;30;2616.00
2026-07-29;17:00:00;ASSECO-BUSINESS-SOLUTIONS;ABS (ASSECOBS);38;88.0000;0.0000;0.00;2;176.00
