Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-28;09:00:00;ASSECO-POLAND;ACP (ASSECOPOL);1;192.5000;0.5000;0.26;2548;489856.20
2026-07-28;09:01:00;ASSECO-POLAND;ACP (ASSECOPOL);2;192.7500;-0.2000;-0.10;4070;785737.85
2026-07-28;09:02:00;ASSECO-POLAND;ACP (ASSECOPOL);3;192.9500;-0.4500;-0.23;154;29759.40
2026-07-28;09:03:00;ASSECO-POLAND;ACP (ASSECOPOL);4;192.2000;-0.7500;-0.39;503;96951.95
2026-07-28;09:04:00;ASSECO-POLAND;ACP (ASSECOPOL);5;192.2000;-0.0500;-0.03;192;36908.65
2026-07-28;09:05:00;ASSECO-POLAND;ACP (ASSECOPOL);6;193.2000;0.9500;0.49;1405;271215.35
2026-07-28;09:06:00;ASSECO-POLAND;ACP (ASSECOPOL);7;193.2000;0.1500;0.08;297;57302.00
2026-07-28;09:07:00;ASSECO-POLAND;ACP (ASSECOPOL);8;193.7000;0.5000;0.26;640;123804.00
2026-07-28;09:08:00;ASSECO-POLAND;ACP (ASSECOPOL);9;193.5500;0.1500;0.08;350;67746.10
2026-07-28;09:09:00;ASSECO-POLAND;ACP (ASSECOPOL);10;193.4500;-0.2500;-0.13;334;64657.05
2026-07-28;09:10:00;ASSECO-POLAND;ACP (ASSECOPOL);11;193.4500;0.0000;0.00;112;21666.40
2026-07-28;09:11:00;ASSECO-POLAND;ACP (ASSECOPOL);12;193.2500;-0.5500;-0.28;184;35594.95
2026-07-28;09:12:00;ASSECO-POLAND;ACP (ASSECOPOL);13;193.0000;-0.6000;-0.31;1060;204667.75
2026-07-28;09:13:00;ASSECO-POLAND;ACP (ASSECOPOL);14;193.6000;0.0000;0.00;84;16248.00
2026-07-28;09:14:00;ASSECO-POLAND;ACP (ASSECOPOL);15;193.7000;0.0500;0.03;718;139100.70
2026-07-28;09:15:00;ASSECO-POLAND;ACP (ASSECOPOL);16;194.2500;0.3500;0.18;881;170907.15
2026-07-28;09:16:00;ASSECO-POLAND;ACP (ASSECOPOL);17;194.2500;-0.1000;-0.05;910;176894.85
2026-07-28;09:17:00;ASSECO-POLAND;ACP (ASSECOPOL);18;194.0000;-0.3000;-0.15;573;111319.40
2026-07-28;09:18:00;ASSECO-POLAND;ACP (ASSECOPOL);19;193.9500;0.1500;0.08;1482;287527.90
2026-07-28;09:19:00;ASSECO-POLAND;ACP (ASSECOPOL);20;193.5000;-0.4500;-0.23;1529;296518.55
2026-07-28;09:20:00;ASSECO-POLAND;ACP (ASSECOPOL);21;193.4500;0.0000;0.00;3;580.35
2026-07-28;09:21:00;ASSECO-POLAND;ACP (ASSECOPOL);22;193.5000;0.0000;0.00;28;5418.00
2026-07-28;09:22:00;ASSECO-POLAND;ACP (ASSECOPOL);23;193.7500;-0.2000;-0.10;529;102203.20
2026-07-28;09:23:00;ASSECO-POLAND;ACP (ASSECOPOL);24;192.8500;-0.8000;-0.41;3;580.15
2026-07-28;09:25:00;ASSECO-POLAND;ACP (ASSECOPOL);25;193.0500;-0.5000;-0.26;102;19757.15
2026-07-28;09:26:00;ASSECO-POLAND;ACP (ASSECOPOL);26;193.5500;0.3000;0.16;157;30312.90
2026-07-28;09:27:00;ASSECO-POLAND;ACP (ASSECOPOL);27;193.5500;0.4000;0.21;119;23028.85
2026-07-28;09:28:00;ASSECO-POLAND;ACP (ASSECOPOL);28;193.3000;-0.2500;-0.13;158;30549.75
2026-07-28;09:29:00;ASSECO-POLAND;ACP (ASSECOPOL);29;193.5500;0.0000;0.00;5;967.75
2026-07-28;09:30:00;ASSECO-POLAND;ACP (ASSECOPOL);30;193.5000;-0.0500;-0.03;96;18580.50
2026-07-28;09:31:00;ASSECO-POLAND;ACP (ASSECOPOL);31;193.6500;0.1000;0.05;260;50324.00
2026-07-28;09:32:00;ASSECO-POLAND;ACP (ASSECOPOL);32;193.2000;-0.2000;-0.10;255;49294.45
2026-07-28;09:33:00;ASSECO-POLAND;ACP (ASSECOPOL);33;193.0000;-0.1500;-0.08;130;25102.70
2026-07-28;09:34:00;ASSECO-POLAND;ACP (ASSECOPOL);34;192.9500;0.0000;0.00;12;2315.40
2026-07-28;09:35:00;ASSECO-POLAND;ACP (ASSECOPOL);35;193.1000;-0.1500;-0.08;112;21640.70
2026-07-28;09:36:00;ASSECO-POLAND;ACP (ASSECOPOL);36;193.1500;0.0500;0.03;170;32785.45
2026-07-28;09:37:00;ASSECO-POLAND;ACP (ASSECOPOL);37;191.9000;-0.8500;-0.44;220;42299.60
2026-07-28;09:38:00;ASSECO-POLAND;ACP (ASSECOPOL);38;192.5000;0.6000;0.31;552;106125.40
2026-07-28;09:39:00;ASSECO-POLAND;ACP (ASSECOPOL);39;192.4000;-0.2000;-0.10;260;50079.00
2026-07-28;09:40:00;ASSECO-POLAND;ACP (ASSECOPOL);40;192.2500;-0.1500;-0.08;122;23456.45
2026-07-28;09:41:00;ASSECO-POLAND;ACP (ASSECOPOL);41;191.9000;-0.6500;-0.34;20;3841.80
2026-07-28;09:43:00;ASSECO-POLAND;ACP (ASSECOPOL);42;191.3500;-0.2000;-0.10;103;19712.30
2026-07-28;09:44:00;ASSECO-POLAND;ACP (ASSECOPOL);43;191.3500;0.0000;0.00;53;10141.55
2026-07-28;09:45:00;ASSECO-POLAND;ACP (ASSECOPOL);44;191.2000;0.0000;0.00;50;9560.00
2026-07-28;09:46:00;ASSECO-POLAND;ACP (ASSECOPOL);45;191.1000;-0.1000;-0.05;231;44154.35
