Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-15;09:00:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);1;76.0000;0.9000;1.20;44;3305.30
2026-09-15;09:01:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);2;76.0000;0.1000;0.13;65;4935.10
2026-09-15;09:08:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);3;75.7000;0.0000;0.00;1;75.70
2026-09-15;09:12:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);4;75.8000;0.0000;0.00;7;530.60
2026-09-15;09:15:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);5;75.7000;0.0000;0.00;10;757.00
2026-09-15;10:20:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);6;75.1000;0.0000;0.00;299;22454.90
2026-09-15;10:36:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);7;75.2000;0.0000;0.00;4;300.80
2026-09-15;11:00:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);8;75.1000;0.0000;0.00;1;75.10
2026-09-15;11:08:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);9;74.2000;0.0000;0.00;10;742.00
2026-09-15;11:30:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);10;74.2000;0.0000;0.00;20;1484.00
2026-09-15;11:34:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);11;73.6000;0.0000;0.00;15;1104.00
2026-09-15;11:35:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);12;73.2000;0.0000;0.00;134;9805.80
2026-09-15;11:45:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);13;73.2000;-0.1000;-0.14;56;4100.20
2026-09-15;11:46:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);14;73.6000;0.0000;0.00;2;147.20
2026-09-15;11:53:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);15;73.2000;0.0000;0.00;30;2196.00
2026-09-15;11:55:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);16;73.7000;0.5000;0.68;73;5367.30
2026-09-15;11:56:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);17;73.8000;0.0000;0.00;3;221.40
2026-09-15;12:02:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);18;73.8000;0.0000;0.00;1;73.80
2026-09-15;12:05:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);19;73.8000;0.0000;0.00;65;4797.00
2026-09-15;12:25:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);20;73.9000;0.0000;0.00;1;73.90
2026-09-15;12:45:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);21;73.0000;-0.2000;-0.27;12;876.40
2026-09-15;12:58:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);22;73.7000;0.0000;0.00;2;147.40
2026-09-15;13:05:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);23;73.7000;0.0000;0.00;6;442.20
2026-09-15;13:25:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);24;73.0000;0.0000;0.00;8;584.00
2026-09-15;13:38:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);25;73.0000;0.0000;0.00;3;219.00
2026-09-15;13:46:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);26;73.0000;0.0000;0.00;14;1022.00
2026-09-15;13:57:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);27;73.6000;0.0000;0.00;4;294.40
2026-09-15;14:10:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);28;73.6000;0.0000;0.00;1;73.60
2026-09-15;14:14:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);29;73.6000;0.0000;0.00;1;73.60
2026-09-15;14:22:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);30;74.3000;0.7000;0.95;123;9108.10
2026-09-15;15:17:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);31;74.9000;0.0000;0.00;15;1123.50
2026-09-15;15:20:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);32;75.0000;0.0000;0.00;2;150.00
2026-09-15;15:54:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);33;74.3000;0.0000;0.00;10;743.00
2026-09-15;15:55:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);34;74.2000;0.0000;0.00;10;742.00
2026-09-15;16:00:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);35;74.2000;0.0000;0.00;100;7420.00
2026-09-15;16:23:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);36;74.0000;-0.2000;-0.27;185;13693.00
2026-09-15;16:48:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);37;74.9000;0.0000;0.00;80;5992.00
2026-09-15;17:00:00;ASSECO-SOUTH-EASTERN-EUROPE;ASE (ASSECOSEE);38;72.7000;0.0000;0.00;458;33296.60
