Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;ASTARTA;AST (ASTARTA);1;45.0000;0.4500;1.01;1873;84097.40
2026-07-15;09:32:00;ASTARTA;AST (ASTARTA);2;44.9000;0.0000;0.00;300;13470.00
2026-07-15;09:34:00;ASTARTA;AST (ASTARTA);3;44.9000;0.0000;0.00;10;449.00
2026-07-15;09:35:00;ASTARTA;AST (ASTARTA);4;44.5000;0.0000;0.00;400;17800.00
2026-07-15;09:36:00;ASTARTA;AST (ASTARTA);5;44.9000;0.0000;0.00;42;1885.80
2026-07-15;09:38:00;ASTARTA;AST (ASTARTA);6;44.0500;-0.2000;-0.45;352;15544.90
2026-07-15;09:45:00;ASTARTA;AST (ASTARTA);7;44.0000;0.0000;0.00;73;3212.00
2026-07-15;09:47:00;ASTARTA;AST (ASTARTA);8;43.7000;-0.2000;-0.46;827;36211.00
2026-07-15;10:04:00;ASTARTA;AST (ASTARTA);9;44.0000;0.0000;0.00;5;220.00
2026-07-15;10:05:00;ASTARTA;AST (ASTARTA);10;43.7000;0.0000;0.00;396;17305.20
2026-07-15;10:06:00;ASTARTA;AST (ASTARTA);11;44.0000;0.0000;0.00;10;440.00
2026-07-15;10:28:00;ASTARTA;AST (ASTARTA);12;44.0000;0.0000;0.00;2;88.00
2026-07-15;10:37:00;ASTARTA;AST (ASTARTA);13;44.0000;0.0000;0.00;50;2200.00
2026-07-15;10:43:00;ASTARTA;AST (ASTARTA);14;44.0000;0.0000;0.00;20;880.00
2026-07-15;10:56:00;ASTARTA;AST (ASTARTA);15;44.4000;0.0000;0.00;22;976.80
2026-07-15;11:06:00;ASTARTA;AST (ASTARTA);16;44.4000;0.0000;0.00;1;44.40
2026-07-15;11:21:00;ASTARTA;AST (ASTARTA);17;44.4000;0.0000;0.00;1;44.40
