Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-25;09:00:00;ATAL;1AT (ATAL);1;56.4000;0.0000;0.00;287;16186.80
2026-08-25;09:02:00;ATAL;1AT (ATAL);2;56.4000;-0.1000;-0.18;71;4009.40
2026-08-25;09:04:00;ATAL;1AT (ATAL);3;56.5000;0.0000;0.00;38;2148.80
2026-08-25;09:05:00;ATAL;1AT (ATAL);4;56.8000;0.0000;0.00;9;511.20
2026-08-25;09:07:00;ATAL;1AT (ATAL);5;56.4000;0.0000;0.00;149;8403.60
2026-08-25;09:13:00;ATAL;1AT (ATAL);6;56.8000;0.3000;0.53;4;226.30
2026-08-25;09:20:00;ATAL;1AT (ATAL);7;56.4000;0.0000;0.00;40;2256.00
2026-08-25;09:24:00;ATAL;1AT (ATAL);8;56.4000;0.0000;0.00;13;733.20
2026-08-25;09:31:00;ATAL;1AT (ATAL);9;56.8000;0.0000;0.00;4;227.20
2026-08-25;09:57:00;ATAL;1AT (ATAL);10;56.4000;-0.2000;-0.35;109;6157.60
2026-08-25;10:13:00;ATAL;1AT (ATAL);11;56.4000;0.0000;0.00;143;8065.20
2026-08-25;10:15:00;ATAL;1AT (ATAL);12;56.5000;0.0000;0.00;47;2655.50
2026-08-25;10:25:00;ATAL;1AT (ATAL);13;56.8000;0.0000;0.00;15;852.00
2026-08-25;10:26:00;ATAL;1AT (ATAL);14;56.4000;-0.4000;-0.70;37;2095.10
2026-08-25;10:42:00;ATAL;1AT (ATAL);15;56.2000;-0.2000;-0.35;122;6878.40
2026-08-25;10:48:00;ATAL;1AT (ATAL);16;56.5000;0.0000;0.00;1;56.50
2026-08-25;10:55:00;ATAL;1AT (ATAL);17;56.2000;-0.1000;-0.18;45;2532.10
2026-08-25;11:14:00;ATAL;1AT (ATAL);18;56.2000;0.0000;0.00;50;2810.00
2026-08-25;11:18:00;ATAL;1AT (ATAL);19;56.1000;-0.1000;-0.18;82;4605.90
2026-08-25;11:27:00;ATAL;1AT (ATAL);20;56.2000;0.0000;0.00;1;56.20
2026-08-25;11:34:00;ATAL;1AT (ATAL);21;56.1000;0.0000;0.00;1;56.10
2026-08-25;11:37:00;ATAL;1AT (ATAL);22;56.1000;-0.1000;-0.18;115;6459.50
2026-08-25;11:41:00;ATAL;1AT (ATAL);23;56.1000;-0.1000;-0.18;71;3988.10
2026-08-25;11:44:00;ATAL;1AT (ATAL);24;56.2000;0.0000;0.00;1;56.20
2026-08-25;11:51:00;ATAL;1AT (ATAL);25;56.1000;-0.1000;-0.18;72;4044.20
2026-08-25;11:57:00;ATAL;1AT (ATAL);26;56.2000;0.0000;0.00;5;281.00
2026-08-25;12:04:00;ATAL;1AT (ATAL);27;56.2000;-0.2000;-0.35;55;3093.40
2026-08-25;12:13:00;ATAL;1AT (ATAL);28;56.4000;0.0000;0.00;18;1015.20
2026-08-25;12:21:00;ATAL;1AT (ATAL);29;56.5000;0.1000;0.18;100;5648.00
2026-08-25;12:22:00;ATAL;1AT (ATAL);30;56.2000;0.0000;0.00;51;2866.20
2026-08-25;12:38:00;ATAL;1AT (ATAL);31;56.5000;0.0000;0.00;2;113.00
2026-08-25;12:40:00;ATAL;1AT (ATAL);32;56.2000;0.0000;0.00;1;56.20
2026-08-25;12:44:00;ATAL;1AT (ATAL);33;56.5000;0.0000;0.00;5;282.50
2026-08-25;12:48:00;ATAL;1AT (ATAL);34;56.3000;-0.2000;-0.35;29;1636.30
2026-08-25;12:54:00;ATAL;1AT (ATAL);35;56.3000;-0.2000;-0.35;257;14505.10
2026-08-25;12:57:00;ATAL;1AT (ATAL);36;56.5000;0.0000;0.00;9;508.50
2026-08-25;13:17:00;ATAL;1AT (ATAL);37;56.5000;0.0000;0.00;9;508.50
2026-08-25;13:26:00;ATAL;1AT (ATAL);38;56.1000;-0.2000;-0.36;185;10394.50
2026-08-25;13:40:00;ATAL;1AT (ATAL);39;56.5000;0.0000;0.00;10;565.00
2026-08-25;13:47:00;ATAL;1AT (ATAL);40;56.5000;0.0000;0.00;5;282.50
2026-08-25;14:04:00;ATAL;1AT (ATAL);41;56.5000;0.0000;0.00;2;113.00
2026-08-25;14:51:00;ATAL;1AT (ATAL);42;56.2000;-0.3000;-0.53;18;1014.00
