Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-24;09:00:00;ATENDE;ATD (ATENDE);1;3.7300;0.0000;0.00;3239;12081.47
2026-07-24;09:01:00;ATENDE;ATD (ATENDE);2;3.7400;0.0000;0.00;53;198.22
2026-07-24;09:09:00;ATENDE;ATD (ATENDE);3;3.7300;0.0000;0.00;599;2234.27
2026-07-24;09:21:00;ATENDE;ATD (ATENDE);4;3.7300;0.0000;0.00;1000;3730.00
2026-07-24;09:24:00;ATENDE;ATD (ATENDE);5;3.7400;0.0000;0.00;1904;7120.96
2026-07-24;09:25:00;ATENDE;ATD (ATENDE);6;3.8100;0.0700;1.87;300;1139.99
2026-07-24;09:33:00;ATENDE;ATD (ATENDE);7;3.8400;0.0100;0.26;10;38.37
2026-07-24;09:39:00;ATENDE;ATD (ATENDE);8;3.8800;0.0000;0.00;2200;8536.00
2026-07-24;09:51:00;ATENDE;ATD (ATENDE);9;3.7600;0.0000;0.00;29;109.04
2026-07-24;10:35:00;ATENDE;ATD (ATENDE);10;3.8600;0.0000;0.00;387;1493.82
2026-07-24;11:26:00;ATENDE;ATD (ATENDE);11;3.8500;0.0000;0.00;390;1501.50
2026-07-24;11:29:00;ATENDE;ATD (ATENDE);12;3.8500;0.0000;0.00;10;38.50
2026-07-24;11:32:00;ATENDE;ATD (ATENDE);13;3.8500;0.0000;0.00;3;11.55
2026-07-24;12:00:00;ATENDE;ATD (ATENDE);14;3.8000;0.0000;0.00;969;3682.20
2026-07-24;12:25:00;ATENDE;ATD (ATENDE);15;3.8500;0.0500;1.32;100;383.45
2026-07-24;12:49:00;ATENDE;ATD (ATENDE);16;3.8500;0.0000;0.00;608;2340.80
2026-07-24;12:52:00;ATENDE;ATD (ATENDE);17;3.8600;0.0000;0.00;1;3.86
2026-07-24;13:01:00;ATENDE;ATD (ATENDE);18;3.8500;0.0000;0.00;169;650.65
2026-07-24;13:02:00;ATENDE;ATD (ATENDE);19;3.8500;0.0000;0.00;52;200.20
2026-07-24;14:16:00;ATENDE;ATD (ATENDE);20;3.8100;0.0000;0.00;6;22.86
2026-07-24;14:43:00;ATENDE;ATD (ATENDE);21;3.8500;0.0000;0.00;500;1925.00
2026-07-24;14:44:00;ATENDE;ATD (ATENDE);22;3.8500;0.0000;0.00;191;735.35
2026-07-24;14:45:00;ATENDE;ATD (ATENDE);23;3.8500;0.0000;0.00;309;1189.65
2026-07-24;14:58:00;ATENDE;ATD (ATENDE);24;3.8100;0.0000;0.00;488;1859.28
2026-07-24;15:10:00;ATENDE;ATD (ATENDE);25;3.8500;0.0000;0.00;5;19.25
2026-07-24;15:28:00;ATENDE;ATD (ATENDE);26;3.8500;0.0000;0.00;13;50.05
2026-07-24;15:29:00;ATENDE;ATD (ATENDE);27;3.8500;0.0000;0.00;2;7.70
