Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-17;09:00:00;ATM-GRUPA;ATG (ATMGRUPA);1;3.6600;0.0000;0.00;1010;3696.60
2026-07-17;09:01:00;ATM-GRUPA;ATG (ATMGRUPA);2;3.6600;0.0000;0.00;72;263.52
2026-07-17;09:02:00;ATM-GRUPA;ATG (ATMGRUPA);3;3.6600;0.0000;0.00;10;36.60
2026-07-17;09:07:00;ATM-GRUPA;ATG (ATMGRUPA);4;3.6600;0.0000;0.00;1;3.66
2026-07-17;10:00:00;ATM-GRUPA;ATG (ATMGRUPA);5;3.6600;0.0000;0.00;1000;3660.00
2026-07-17;10:12:00;ATM-GRUPA;ATG (ATMGRUPA);6;3.6600;0.0000;0.00;9;32.94
2026-07-17;10:16:00;ATM-GRUPA;ATG (ATMGRUPA);7;3.6600;0.0000;0.00;3;10.98
2026-07-17;10:29:00;ATM-GRUPA;ATG (ATMGRUPA);8;3.6600;0.0000;0.00;5;18.30
2026-07-17;10:52:00;ATM-GRUPA;ATG (ATMGRUPA);9;3.6500;0.0000;0.00;2000;7300.00
2026-07-17;10:55:00;ATM-GRUPA;ATG (ATMGRUPA);10;3.6600;0.0000;0.00;20;73.20
2026-07-17;10:58:00;ATM-GRUPA;ATG (ATMGRUPA);11;3.6600;0.0000;0.00;13;47.58
2026-07-17;11:04:00;ATM-GRUPA;ATG (ATMGRUPA);12;3.6600;0.0000;0.00;6;21.96
2026-07-17;11:07:00;ATM-GRUPA;ATG (ATMGRUPA);13;3.6500;0.0000;0.00;1000;3650.00
2026-07-17;11:25:00;ATM-GRUPA;ATG (ATMGRUPA);14;3.6500;0.0000;0.00;14000;51100.00
2026-07-17;11:31:00;ATM-GRUPA;ATG (ATMGRUPA);15;3.6400;-0.0100;-0.27;3000;10942.14
2026-07-17;11:41:00;ATM-GRUPA;ATG (ATMGRUPA);16;3.6500;0.0000;0.00;850;3102.50
2026-07-17;11:58:00;ATM-GRUPA;ATG (ATMGRUPA);17;3.6500;0.0000;0.00;270;985.50
2026-07-17;12:11:00;ATM-GRUPA;ATG (ATMGRUPA);18;3.6600;0.0000;0.00;12;43.92
2026-07-17;12:33:00;ATM-GRUPA;ATG (ATMGRUPA);19;3.6500;0.0000;0.00;2000;7300.00
2026-07-17;12:36:00;ATM-GRUPA;ATG (ATMGRUPA);20;3.6600;0.0000;0.00;100;366.00
2026-07-17;12:54:00;ATM-GRUPA;ATG (ATMGRUPA);21;3.6600;0.0000;0.00;7;25.62
2026-07-17;13:03:00;ATM-GRUPA;ATG (ATMGRUPA);22;3.6500;0.0000;0.00;25;91.25
2026-07-17;13:28:00;ATM-GRUPA;ATG (ATMGRUPA);23;3.6500;0.0000;0.00;89;324.85
2026-07-17;13:36:00;ATM-GRUPA;ATG (ATMGRUPA);24;3.6400;-0.0100;-0.27;18588;67675.12
2026-07-17;14:03:00;ATM-GRUPA;ATG (ATMGRUPA);25;3.6500;0.0000;0.00;273;996.45
2026-07-17;15:34:00;ATM-GRUPA;ATG (ATMGRUPA);26;3.6400;-0.0100;-0.27;88;320.92
2026-07-17;16:24:00;ATM-GRUPA;ATG (ATMGRUPA);27;3.6400;0.0000;0.00;3972;14458.08
2026-07-17;16:25:00;ATM-GRUPA;ATG (ATMGRUPA);28;3.6400;0.0000;0.00;100;364.00
2026-07-17;16:26:00;ATM-GRUPA;ATG (ATMGRUPA);29;3.6400;0.0000;0.00;2;7.28
2026-07-17;16:36:00;ATM-GRUPA;ATG (ATMGRUPA);30;3.6400;0.0000;0.00;370;1346.80
2026-07-17;16:37:00;ATM-GRUPA;ATG (ATMGRUPA);31;3.6600;0.0200;0.55;1500;5477.93
2026-07-17;16:39:00;ATM-GRUPA;ATG (ATMGRUPA);32;3.6600;0.0300;0.83;40;145.26
