Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-30;09:00:00;ATREM;ATR (ATREM);1;62.0000;0.8000;1.31;1279;78983.90
2026-07-30;09:01:00;ATREM;ATR (ATREM);2;61.5000;0.0000;0.00;40;2460.00
2026-07-30;09:02:00;ATREM;ATR (ATREM);3;61.2000;-0.3000;-0.49;500;30707.70
2026-07-30;09:03:00;ATREM;ATR (ATREM);4;61.2000;0.0000;0.00;5;306.00
2026-07-30;09:05:00;ATREM;ATR (ATREM);5;62.2000;0.0000;0.00;63;3918.60
2026-07-30;09:07:00;ATREM;ATR (ATREM);6;62.3000;0.1000;0.16;5;311.10
2026-07-30;09:08:00;ATREM;ATR (ATREM);7;62.3000;0.1000;0.16;94;5845.90
2026-07-30;09:11:00;ATREM;ATR (ATREM);8;62.3000;0.0000;0.00;1;62.30
2026-07-30;09:12:00;ATREM;ATR (ATREM);9;62.3000;0.0000;0.00;3;186.90
2026-07-30;09:13:00;ATREM;ATR (ATREM);10;62.3000;0.7000;1.14;13;801.50
2026-07-30;09:16:00;ATREM;ATR (ATREM);11;62.3000;0.0000;0.00;2;124.60
2026-07-30;09:19:00;ATREM;ATR (ATREM);12;62.0000;-0.3000;-0.48;6;373.50
2026-07-30;09:20:00;ATREM;ATR (ATREM);13;62.3000;0.0000;0.00;5;311.50
2026-07-30;09:21:00;ATREM;ATR (ATREM);14;62.0000;-0.3000;-0.48;72;4441.90
2026-07-30;09:32:00;ATREM;ATR (ATREM);15;62.0000;0.0000;0.00;403;24986.00
2026-07-30;09:35:00;ATREM;ATR (ATREM);16;61.6000;0.0000;0.00;50;3080.00
2026-07-30;09:36:00;ATREM;ATR (ATREM);17;61.6000;0.0000;0.00;16;985.60
2026-07-30;09:38:00;ATREM;ATR (ATREM);18;61.5000;0.0000;0.00;6;369.00
2026-07-30;09:41:00;ATREM;ATR (ATREM);19;62.0000;0.0000;0.00;1;62.00
2026-07-30;09:43:00;ATREM;ATR (ATREM);20;62.0000;0.0000;0.00;5;310.00
2026-07-30;09:46:00;ATREM;ATR (ATREM);21;62.0000;0.5000;0.81;2;123.50
2026-07-30;09:48:00;ATREM;ATR (ATREM);22;62.4000;0.4000;0.65;1000;62261.70
2026-07-30;09:53:00;ATREM;ATR (ATREM);23;62.4000;0.0000;0.00;1;62.40
2026-07-30;09:54:00;ATREM;ATR (ATREM);24;62.4000;0.0000;0.00;2;124.80
2026-07-30;09:55:00;ATREM;ATR (ATREM);25;61.6000;0.0000;0.00;4;246.40
2026-07-30;09:56:00;ATREM;ATR (ATREM);26;62.4000;0.0000;0.00;100;6240.00
2026-07-30;09:58:00;ATREM;ATR (ATREM);27;61.8000;0.0000;0.00;165;10197.00
2026-07-30;10:00:00;ATREM;ATR (ATREM);28;62.4000;0.0000;0.00;1;62.40
2026-07-30;10:02:00;ATREM;ATR (ATREM);29;62.0000;0.0000;0.00;1;62.00
2026-07-30;10:04:00;ATREM;ATR (ATREM);30;62.1000;0.0000;0.00;20;1242.00
2026-07-30;10:16:00;ATREM;ATR (ATREM);31;62.1000;0.0000;0.00;10;621.00
2026-07-30;10:17:00;ATREM;ATR (ATREM);32;62.1000;0.0000;0.00;1;62.10
2026-07-30;10:20:00;ATREM;ATR (ATREM);33;62.1000;0.0000;0.00;2;124.20
2026-07-30;10:21:00;ATREM;ATR (ATREM);34;62.0000;0.0000;0.00;8;496.00
2026-07-30;10:23:00;ATREM;ATR (ATREM);35;62.5000;0.4000;0.64;246;15353.30
2026-07-30;10:27:00;ATREM;ATR (ATREM);36;62.4000;0.0000;0.00;7;436.80
2026-07-30;10:30:00;ATREM;ATR (ATREM);37;62.5000;0.6000;0.97;169;10543.30
2026-07-30;10:38:00;ATREM;ATR (ATREM);38;61.9000;-0.6000;-0.96;4;249.10
2026-07-30;10:39:00;ATREM;ATR (ATREM);39;62.5000;0.0000;0.00;7;437.50
2026-07-30;10:50:00;ATREM;ATR (ATREM);40;61.9000;0.0000;0.00;18;1114.20
2026-07-30;11:04:00;ATREM;ATR (ATREM);41;62.4000;0.0000;0.00;1;62.40
2026-07-30;11:08:00;ATREM;ATR (ATREM);42;62.3000;0.0000;0.00;39;2429.70
2026-07-30;11:10:00;ATREM;ATR (ATREM);43;61.9000;0.0000;0.00;1;61.90
2026-07-30;11:13:00;ATREM;ATR (ATREM);44;62.4000;0.0000;0.00;4;249.60
2026-07-30;11:17:00;ATREM;ATR (ATREM);45;61.9000;-0.5000;-0.80;34;2121.10
2026-07-30;11:18:00;ATREM;ATR (ATREM);46;62.4000;0.0000;0.00;47;2932.80
2026-07-30;11:19:00;ATREM;ATR (ATREM);47;61.9000;0.0000;0.00;5;309.50
2026-07-30;11:22:00;ATREM;ATR (ATREM);48;62.5000;0.1000;0.16;110;6867.50
2026-07-30;11:30:00;ATREM;ATR (ATREM);49;62.5000;0.0000;0.00;80;5000.00
2026-07-30;11:31:00;ATREM;ATR (ATREM);50;62.5000;0.0000;0.00;100;6250.00
2026-07-30;11:34:00;ATREM;ATR (ATREM);51;62.5000;0.0000;0.00;1;62.50
2026-07-30;11:38:00;ATREM;ATR (ATREM);52;62.5000;0.0000;0.00;10;625.00
2026-07-30;11:44:00;ATREM;ATR (ATREM);53;62.1000;0.0000;0.00;30;1863.00
2026-07-30;11:49:00;ATREM;ATR (ATREM);54;62.1000;0.0000;0.00;100;6210.00
2026-07-30;11:57:00;ATREM;ATR (ATREM);55;62.0000;-0.5000;-0.80;4;249.00
2026-07-30;12:04:00;ATREM;ATR (ATREM);56;62.0000;-0.5000;-0.80;4;249.00
2026-07-30;12:07:00;ATREM;ATR (ATREM);57;62.0000;0.0000;0.00;1;62.00
2026-07-30;12:14:00;ATREM;ATR (ATREM);58;62.4000;0.0000;0.00;15;936.00
2026-07-30;12:36:00;ATREM;ATR (ATREM);59;62.4000;0.0000;0.00;25;1560.00
2026-07-30;12:39:00;ATREM;ATR (ATREM);60;62.4000;0.0000;0.00;1;62.40
2026-07-30;12:46:00;ATREM;ATR (ATREM);61;61.9000;-0.1000;-0.16;109;6751.30
2026-07-30;12:53:00;ATREM;ATR (ATREM);62;62.4000;0.0000;0.00;5;312.00
2026-07-30;12:59:00;ATREM;ATR (ATREM);63;61.9000;-0.1000;-0.16;14;867.60
2026-07-30;13:01:00;ATREM;ATR (ATREM);64;62.4000;0.0000;0.00;33;2059.20
2026-07-30;13:17:00;ATREM;ATR (ATREM);65;62.4000;0.0000;0.00;15;936.00
2026-07-30;13:44:00;ATREM;ATR (ATREM);66;62.4000;0.0000;0.00;1;62.40
2026-07-30;13:46:00;ATREM;ATR (ATREM);67;62.4000;0.0000;0.00;1;62.40
2026-07-30;13:51:00;ATREM;ATR (ATREM);68;62.1000;0.0000;0.00;29;1800.90
2026-07-30;13:59:00;ATREM;ATR (ATREM);69;62.4000;0.0000;0.00;2;124.80
2026-07-30;14:04:00;ATREM;ATR (ATREM);70;62.5000;0.1000;0.16;100;6249.30
2026-07-30;14:12:00;ATREM;ATR (ATREM);71;62.5000;0.0000;0.00;11;687.50
2026-07-30;14:25:00;ATREM;ATR (ATREM);72;62.4000;0.0000;0.00;2;124.80
2026-07-30;14:28:00;ATREM;ATR (ATREM);73;62.4000;0.0000;0.00;2;124.80
2026-07-30;14:30:00;ATREM;ATR (ATREM);74;62.5000;0.0000;0.00;1;62.50
2026-07-30;14:33:00;ATREM;ATR (ATREM);75;62.5000;0.0000;0.00;148;9250.00
2026-07-30;14:50:00;ATREM;ATR (ATREM);76;62.0000;-0.1000;-0.16;457;28344.70
2026-07-30;14:52:00;ATREM;ATR (ATREM);77;61.8000;0.0000;0.00;2;123.60
