Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-25;09:00:00;ATT;ATT (GRUPAAZOTY);1;19.3900;0.0500;0.26;2339;45244.26
2026-09-25;09:01:00;ATT;ATT (GRUPAAZOTY);2;19.3300;-0.0600;-0.31;430;8321.28
2026-09-25;09:02:00;ATT;ATT (GRUPAAZOTY);3;19.3300;0.0000;0.00;371;7171.49
2026-09-25;09:03:00;ATT;ATT (GRUPAAZOTY);4;19.3600;0.0000;0.00;50;968.00
2026-09-25;09:04:00;ATT;ATT (GRUPAAZOTY);5;19.3600;0.0000;0.00;40;774.40
2026-09-25;09:05:00;ATT;ATT (GRUPAAZOTY);6;19.2800;-0.0800;-0.41;5362;103425.46
2026-09-25;09:06:00;ATT;ATT (GRUPAAZOTY);7;19.2500;-0.0200;-0.10;240;4615.40
2026-09-25;09:07:00;ATT;ATT (GRUPAAZOTY);8;19.2600;0.0100;0.05;56;1078.51
2026-09-25;09:08:00;ATT;ATT (GRUPAAZOTY);9;19.2700;0.0100;0.05;2469;47597.70
2026-09-25;09:09:00;ATT;ATT (GRUPAAZOTY);10;19.3000;0.0300;0.16;426;8217.18
2026-09-25;09:10:00;ATT;ATT (GRUPAAZOTY);11;19.2700;-0.0100;-0.05;108;2081.94
2026-09-25;09:11:00;ATT;ATT (GRUPAAZOTY);12;19.2800;0.0000;0.00;315;6071.80
2026-09-25;09:13:00;ATT;ATT (GRUPAAZOTY);13;19.2200;-0.0400;-0.21;3601;69281.60
2026-09-25;09:14:00;ATT;ATT (GRUPAAZOTY);14;19.2300;0.0200;0.10;770;14793.82
2026-09-25;09:15:00;ATT;ATT (GRUPAAZOTY);15;19.2000;0.0000;0.00;3053;58610.95
2026-09-25;09:16:00;ATT;ATT (GRUPAAZOTY);16;19.2000;0.0000;0.00;157;3014.53
2026-09-25;09:17:00;ATT;ATT (GRUPAAZOTY);17;19.1700;0.0000;0.00;138;2645.46
2026-09-25;09:18:00;ATT;ATT (GRUPAAZOTY);18;19.1700;0.0000;0.00;216;4140.73
2026-09-25;09:19:00;ATT;ATT (GRUPAAZOTY);19;19.1800;0.0100;0.05;1313;25173.33
2026-09-25;09:21:00;ATT;ATT (GRUPAAZOTY);20;19.2000;0.0000;0.00;30;576.00
2026-09-25;09:22:00;ATT;ATT (GRUPAAZOTY);21;19.2000;0.0000;0.00;254;4876.80
2026-09-25;09:23:00;ATT;ATT (GRUPAAZOTY);22;19.2000;0.0000;0.00;964;18515.65
2026-09-25;09:24:00;ATT;ATT (GRUPAAZOTY);23;19.2000;0.0000;0.00;4;76.80
2026-09-25;09:25:00;ATT;ATT (GRUPAAZOTY);24;19.2300;0.0000;0.00;261;5019.03
2026-09-25;09:26:00;ATT;ATT (GRUPAAZOTY);25;19.2300;0.0000;0.00;20;384.60
2026-09-25;09:27:00;ATT;ATT (GRUPAAZOTY);26;19.2700;0.0400;0.21;86;1654.52
2026-09-25;09:28:00;ATT;ATT (GRUPAAZOTY);27;19.2700;0.0000;0.00;250;4817.50
2026-09-25;09:29:00;ATT;ATT (GRUPAAZOTY);28;19.2400;-0.0200;-0.10;1551;29842.14
2026-09-25;09:30:00;ATT;ATT (GRUPAAZOTY);29;19.2200;-0.0200;-0.10;112;2153.64
2026-09-25;09:32:00;ATT;ATT (GRUPAAZOTY);30;19.2300;0.0000;0.00;2;38.46
2026-09-25;09:34:00;ATT;ATT (GRUPAAZOTY);31;19.2300;0.0000;0.00;25;480.75
2026-09-25;09:35:00;ATT;ATT (GRUPAAZOTY);32;19.2100;0.0000;0.00;9;172.89
2026-09-25;09:36:00;ATT;ATT (GRUPAAZOTY);33;19.2300;0.0000;0.00;26;499.98
2026-09-25;09:37:00;ATT;ATT (GRUPAAZOTY);34;19.2300;0.0100;0.05;101;1941.23
2026-09-25;09:38:00;ATT;ATT (GRUPAAZOTY);35;19.2200;0.0000;0.00;1;19.22
2026-09-25;09:39:00;ATT;ATT (GRUPAAZOTY);36;19.2200;0.0000;0.00;74;1422.28
2026-09-25;09:42:00;ATT;ATT (GRUPAAZOTY);37;19.2200;-0.0100;-0.05;1048;20150.19
2026-09-25;09:44:00;ATT;ATT (GRUPAAZOTY);38;19.2000;-0.0200;-0.10;3258;62579.58
2026-09-25;09:45:00;ATT;ATT (GRUPAAZOTY);39;19.2000;0.0000;0.00;785;15072.00
2026-09-25;09:46:00;ATT;ATT (GRUPAAZOTY);40;19.2300;0.0000;0.00;20;384.60
2026-09-25;09:49:00;ATT;ATT (GRUPAAZOTY);41;19.2000;-0.0200;-0.10;1005;19296.10
2026-09-25;09:50:00;ATT;ATT (GRUPAAZOTY);42;19.1900;0.0000;0.00;2460;47198.57
2026-09-25;09:51:00;ATT;ATT (GRUPAAZOTY);43;19.1600;-0.0300;-0.16;110;2110.60
2026-09-25;09:54:00;ATT;ATT (GRUPAAZOTY);44;19.1700;0.0000;0.00;19;364.23
2026-09-25;09:55:00;ATT;ATT (GRUPAAZOTY);45;19.2200;0.0400;0.21;2624;50367.36
2026-09-25;09:56:00;ATT;ATT (GRUPAAZOTY);46;19.1700;0.0000;0.00;5;95.85
2026-09-25;09:57:00;ATT;ATT (GRUPAAZOTY);47;19.2200;0.0100;0.05;1104;21207.89
2026-09-25;09:58:00;ATT;ATT (GRUPAAZOTY);48;19.1800;-0.0400;-0.21;235;4515.50
2026-09-25;10:00:00;ATT;ATT (GRUPAAZOTY);49;19.2400;0.0200;0.10;309;5939.08
2026-09-25;10:01:00;ATT;ATT (GRUPAAZOTY);50;19.2400;0.0000;0.00;5;96.20
2026-09-25;10:02:00;ATT;ATT (GRUPAAZOTY);51;19.2400;0.0000;0.00;250;4810.00
2026-09-25;10:03:00;ATT;ATT (GRUPAAZOTY);52;19.2400;0.0000;0.00;662;12736.88
2026-09-25;10:04:00;ATT;ATT (GRUPAAZOTY);53;19.2600;0.0000;0.00;1064;20492.63
2026-09-25;10:06:00;ATT;ATT (GRUPAAZOTY);54;19.2600;0.0000;0.00;26;500.76
2026-09-25;10:07:00;ATT;ATT (GRUPAAZOTY);55;19.2600;0.0000;0.00;157;3023.82
2026-09-25;10:09:00;ATT;ATT (GRUPAAZOTY);56;19.2600;0.0000;0.00;202;3890.52
2026-09-25;10:11:00;ATT;ATT (GRUPAAZOTY);57;19.2500;0.0100;0.05;1363;26224.18
2026-09-25;10:15:00;ATT;ATT (GRUPAAZOTY);58;19.2400;0.0100;0.05;1457;28027.71
2026-09-25;10:16:00;ATT;ATT (GRUPAAZOTY);59;19.2500;0.0000;0.00;41;789.25
2026-09-25;10:17:00;ATT;ATT (GRUPAAZOTY);60;19.2500;0.0000;0.00;1;19.25
2026-09-25;10:18:00;ATT;ATT (GRUPAAZOTY);61;19.2200;0.0000;0.00;50;961.00
2026-09-25;10:22:00;ATT;ATT (GRUPAAZOTY);62;19.2300;0.0000;0.00;11;211.53
2026-09-25;10:23:00;ATT;ATT (GRUPAAZOTY);63;19.2200;0.0000;0.00;625;12012.50
2026-09-25;10:24:00;ATT;ATT (GRUPAAZOTY);64;19.2000;-0.0100;-0.05;333;6394.60
2026-09-25;10:25:00;ATT;ATT (GRUPAAZOTY);65;19.2200;0.0000;0.00;10;192.20
2026-09-25;10:27:00;ATT;ATT (GRUPAAZOTY);66;19.2300;0.0100;0.05;1191;22893.94
2026-09-25;10:28:00;ATT;ATT (GRUPAAZOTY);67;19.2500;0.0200;0.10;1343;25816.67
2026-09-25;10:29:00;ATT;ATT (GRUPAAZOTY);68;19.2700;0.0000;0.00;50;963.50
2026-09-25;10:30:00;ATT;ATT (GRUPAAZOTY);69;19.2700;0.0000;0.00;205;3950.35
2026-09-25;10:31:00;ATT;ATT (GRUPAAZOTY);70;19.2600;-0.0100;-0.05;450;8668.50
2026-09-25;10:32:00;ATT;ATT (GRUPAAZOTY);71;19.2600;0.0000;0.00;203;3909.78
2026-09-25;10:33:00;ATT;ATT (GRUPAAZOTY);72;19.2100;-0.0500;-0.26;2010;38660.09
2026-09-25;10:34:00;ATT;ATT (GRUPAAZOTY);73;19.2000;-0.0100;-0.05;3134;60210.08
2026-09-25;10:38:00;ATT;ATT (GRUPAAZOTY);74;19.2200;0.0000;0.00;5;96.10
2026-09-25;10:40:00;ATT;ATT (GRUPAAZOTY);75;19.2200;0.0000;0.00;70;1345.40
2026-09-25;10:42:00;ATT;ATT (GRUPAAZOTY);76;19.2200;0.0000;0.00;117;2248.74
2026-09-25;10:43:00;ATT;ATT (GRUPAAZOTY);77;19.2200;0.0000;0.00;845;16240.90
2026-09-25;10:44:00;ATT;ATT (GRUPAAZOTY);78;19.2300;0.0000;0.00;3;57.69
2026-09-25;10:45:00;ATT;ATT (GRUPAAZOTY);79;19.2300;0.0000;0.00;150;2884.50
2026-09-25;10:46:00;ATT;ATT (GRUPAAZOTY);80;19.2500;0.0200;0.10;2422;46592.30
2026-09-25;10:47:00;ATT;ATT (GRUPAAZOTY);81;19.2200;-0.0300;-0.16;2096;40334.05
2026-09-25;10:48:00;ATT;ATT (GRUPAAZOTY);82;19.2300;0.0000;0.00;58;1115.34
2026-09-25;10:49:00;ATT;ATT (GRUPAAZOTY);83;19.2300;0.0000;0.00;20;384.60
2026-09-25;10:50:00;ATT;ATT (GRUPAAZOTY);84;19.2300;0.0000;0.00;5;96.15
2026-09-25;10:51:00;ATT;ATT (GRUPAAZOTY);85;19.1700;-0.0400;-0.21;1470;28220.76
2026-09-25;10:52:00;ATT;ATT (GRUPAAZOTY);86;19.2000;0.0000;0.00;5;96.00
2026-09-25;10:53:00;ATT;ATT (GRUPAAZOTY);87;19.2100;0.0000;0.00;70;1344.70
2026-09-25;10:54:00;ATT;ATT (GRUPAAZOTY);88;19.1900;0.0000;0.00;5;95.95
2026-09-25;10:55:00;ATT;ATT (GRUPAAZOTY);89;19.1900;0.0000;0.00;100;1919.00
2026-09-25;10:56:00;ATT;ATT (GRUPAAZOTY);90;19.1900;0.0000;0.00;500;9595.00
2026-09-25;10:57:00;ATT;ATT (GRUPAAZOTY);91;19.1900;0.0000;0.00;768;14737.92
2026-09-25;10:59:00;ATT;ATT (GRUPAAZOTY);92;19.2000;0.0100;0.05;945;18137.05
2026-09-25;11:00:00;ATT;ATT (GRUPAAZOTY);93;19.1900;0.0000;0.00;1;19.19
2026-09-25;11:01:00;ATT;ATT (GRUPAAZOTY);94;19.2000;0.0100;0.05;364;6985.76
2026-09-25;11:02:00;ATT;ATT (GRUPAAZOTY);95;19.2000;0.0000;0.00;26;499.20
2026-09-25;11:03:00;ATT;ATT (GRUPAAZOTY);96;19.2000;0.0000;0.00;16;307.20
2026-09-25;11:06:00;ATT;ATT (GRUPAAZOTY);97;19.2000;0.0000;0.00;76;1459.20
2026-09-25;11:07:00;ATT;ATT (GRUPAAZOTY);98;19.1900;0.0000;0.00;50;959.50
2026-09-25;11:08:00;ATT;ATT (GRUPAAZOTY);99;19.2000;0.0100;0.05;346;6640.52
2026-09-25;11:09:00;ATT;ATT (GRUPAAZOTY);100;19.2000;0.0000;0.00;10;192.00
2026-09-25;11:11:00;ATT;ATT (GRUPAAZOTY);101;19.2000;0.0000;0.00;1071;20558.09
2026-09-25;11:12:00;ATT;ATT (GRUPAAZOTY);102;19.2100;0.0000;0.00;326;6262.46
2026-09-25;11:15:00;ATT;ATT (GRUPAAZOTY);103;19.2000;0.0000;0.00;200;3840.00
2026-09-25;11:16:00;ATT;ATT (GRUPAAZOTY);104;19.2000;0.0000;0.00;100;1920.00
2026-09-25;11:20:00;ATT;ATT (GRUPAAZOTY);105;19.2100;0.0100;0.05;676;12982.31
2026-09-25;11:21:00;ATT;ATT (GRUPAAZOTY);106;19.2000;-0.0100;-0.05;459;8815.77
2026-09-25;11:22:00;ATT;ATT (GRUPAAZOTY);107;19.2100;0.0000;0.00;708;13600.68
2026-09-25;11:24:00;ATT;ATT (GRUPAAZOTY);108;19.2100;0.0000;0.00;500;9605.00
2026-09-25;11:25:00;ATT;ATT (GRUPAAZOTY);109;19.2400;0.0200;0.10;1398;26892.07
2026-09-25;11:28:00;ATT;ATT (GRUPAAZOTY);110;19.2900;0.0000;0.00;10;192.90
2026-09-25;11:32:00;ATT;ATT (GRUPAAZOTY);111;19.2900;0.0000;0.00;172;3317.88
2026-09-25;11:33:00;ATT;ATT (GRUPAAZOTY);112;19.3300;0.0300;0.16;20;386.43
2026-09-25;11:34:00;ATT;ATT (GRUPAAZOTY);113;19.3300;0.0000;0.00;180;3479.40
2026-09-25;11:35:00;ATT;ATT (GRUPAAZOTY);114;19.3200;0.0000;0.00;464;8964.48
2026-09-25;11:36:00;ATT;ATT (GRUPAAZOTY);115;19.3400;0.0400;0.21;85;1643.54
2026-09-25;11:39:00;ATT;ATT (GRUPAAZOTY);116;19.3400;0.0000;0.00;100;1934.00
2026-09-25;11:40:00;ATT;ATT (GRUPAAZOTY);117;19.3500;0.0000;0.00;110;2128.50
2026-09-25;11:41:00;ATT;ATT (GRUPAAZOTY);118;19.3500;0.0000;0.00;150;2902.50
2026-09-25;11:42:00;ATT;ATT (GRUPAAZOTY);119;19.3500;0.0300;0.16;2499;48283.71
2026-09-25;11:43:00;ATT;ATT (GRUPAAZOTY);120;19.3500;-0.0300;-0.15;208;4028.01
2026-09-25;11:44:00;ATT;ATT (GRUPAAZOTY);121;19.3800;0.0000;0.00;50;969.00
2026-09-25;11:45:00;ATT;ATT (GRUPAAZOTY);122;19.3800;0.0000;0.00;300;5814.00
2026-09-25;11:46:00;ATT;ATT (GRUPAAZOTY);123;19.3500;0.0000;0.00;2677;51799.95
2026-09-25;11:47:00;ATT;ATT (GRUPAAZOTY);124;19.3800;0.0000;0.00;7;135.66
2026-09-25;11:48:00;ATT;ATT (GRUPAAZOTY);125;19.3800;0.0000;0.00;500;9690.00
2026-09-25;11:49:00;ATT;ATT (GRUPAAZOTY);126;19.3800;0.0000;0.00;10;193.80
2026-09-25;11:52:00;ATT;ATT (GRUPAAZOTY);127;19.3300;-0.0500;-0.26;376;7282.08
2026-09-25;11:57:00;ATT;ATT (GRUPAAZOTY);128;19.3700;0.0000;0.00;5;96.85
2026-09-25;12:04:00;ATT;ATT (GRUPAAZOTY);129;19.3700;0.0000;0.00;100;1937.00
2026-09-25;12:08:00;ATT;ATT (GRUPAAZOTY);130;19.3700;0.0000;0.00;210;4067.70
2026-09-25;12:10:00;ATT;ATT (GRUPAAZOTY);131;19.3700;0.0000;0.00;392;7593.04
2026-09-25;12:11:00;ATT;ATT (GRUPAAZOTY);132;19.3700;0.0000;0.00;10;193.70
2026-09-25;12:13:00;ATT;ATT (GRUPAAZOTY);133;19.3700;0.0000;0.00;26;503.62
2026-09-25;12:15:00;ATT;ATT (GRUPAAZOTY);134;19.3700;0.0000;0.00;52;1007.24
2026-09-25;12:17:00;ATT;ATT (GRUPAAZOTY);135;19.3600;0.0000;0.00;144;2787.84
2026-09-25;12:19:00;ATT;ATT (GRUPAAZOTY);136;19.3600;0.0000;0.00;1;19.36
2026-09-25;12:25:00;ATT;ATT (GRUPAAZOTY);137;19.3600;0.0000;0.00;108;2090.88
2026-09-25;12:26:00;ATT;ATT (GRUPAAZOTY);138;19.3600;0.0200;0.10;2;38.70
2026-09-25;12:27:00;ATT;ATT (GRUPAAZOTY);139;19.3500;-0.0100;-0.05;477;9230.72
2026-09-25;12:28:00;ATT;ATT (GRUPAAZOTY);140;19.3600;0.0000;0.00;26;503.36
2026-09-25;12:29:00;ATT;ATT (GRUPAAZOTY);141;19.3600;0.0000;0.00;301;5827.36
2026-09-25;12:30:00;ATT;ATT (GRUPAAZOTY);142;19.3600;0.0000;0.00;979;18953.44
2026-09-25;12:34:00;ATT;ATT (GRUPAAZOTY);143;19.3500;0.0000;0.00;178;3444.30
2026-09-25;12:35:00;ATT;ATT (GRUPAAZOTY);144;19.3500;0.0100;0.05;875;16922.74
2026-09-25;12:37:00;ATT;ATT (GRUPAAZOTY);145;19.3600;0.0000;0.00;100;1936.00
