Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-10;09:00:00;BANK-HANDLOWY;BHW (HANDLOWY);1;122.0000;-0.6000;-0.49;841;102585.40
2026-08-10;09:02:00;BANK-HANDLOWY;BHW (HANDLOWY);2;121.8000;-0.8000;-0.65;4;488.00
2026-08-10;09:03:00;BANK-HANDLOWY;BHW (HANDLOWY);3;122.6000;0.0000;0.00;1;122.60
2026-08-10;09:06:00;BANK-HANDLOWY;BHW (HANDLOWY);4;122.0000;0.0000;0.00;112;13664.00
2026-08-10;09:08:00;BANK-HANDLOWY;BHW (HANDLOWY);5;122.0000;0.0000;0.00;22;2684.00
2026-08-10;09:09:00;BANK-HANDLOWY;BHW (HANDLOWY);6;121.4000;-0.6000;-0.49;121;14757.40
2026-08-10;09:10:00;BANK-HANDLOWY;BHW (HANDLOWY);7;121.0000;-0.8000;-0.66;944;114400.60
2026-08-10;09:11:00;BANK-HANDLOWY;BHW (HANDLOWY);8;121.8000;0.0000;0.00;61;7429.80
2026-08-10;09:12:00;BANK-HANDLOWY;BHW (HANDLOWY);9;121.0000;0.0000;0.00;130;15775.20
2026-08-10;09:13:00;BANK-HANDLOWY;BHW (HANDLOWY);10;121.2000;0.0000;0.00;112;13574.40
2026-08-10;09:14:00;BANK-HANDLOWY;BHW (HANDLOWY);11;121.2000;-0.4000;-0.33;201;24377.20
2026-08-10;09:15:00;BANK-HANDLOWY;BHW (HANDLOWY);12;121.2000;0.0000;0.00;40;4848.00
2026-08-10;09:17:00;BANK-HANDLOWY;BHW (HANDLOWY);13;121.6000;0.0000;0.00;15;1817.40
2026-08-10;09:20:00;BANK-HANDLOWY;BHW (HANDLOWY);14;121.0000;0.0000;0.00;51;6171.00
2026-08-10;09:24:00;BANK-HANDLOWY;BHW (HANDLOWY);15;121.6000;0.0000;0.00;8;972.80
2026-08-10;09:26:00;BANK-HANDLOWY;BHW (HANDLOWY);16;121.6000;0.0000;0.00;18;2188.80
2026-08-10;09:27:00;BANK-HANDLOWY;BHW (HANDLOWY);17;121.6000;0.0000;0.00;4;486.40
2026-08-10;09:28:00;BANK-HANDLOWY;BHW (HANDLOWY);18;121.6000;0.0000;0.00;8;972.80
2026-08-10;09:33:00;BANK-HANDLOWY;BHW (HANDLOWY);19;121.4000;0.0000;0.00;37;4491.80
2026-08-10;09:37:00;BANK-HANDLOWY;BHW (HANDLOWY);20;121.6000;0.0000;0.00;2;243.20
2026-08-10;09:44:00;BANK-HANDLOWY;BHW (HANDLOWY);21;121.6000;0.0000;0.00;2;243.20
2026-08-10;09:46:00;BANK-HANDLOWY;BHW (HANDLOWY);22;121.6000;0.0000;0.00;10;1216.00
2026-08-10;09:47:00;BANK-HANDLOWY;BHW (HANDLOWY);23;121.2000;0.0000;0.00;109;13210.80
2026-08-10;09:50:00;BANK-HANDLOWY;BHW (HANDLOWY);24;121.2000;0.0000;0.00;60;7272.00
2026-08-10;09:55:00;BANK-HANDLOWY;BHW (HANDLOWY);25;121.0000;-0.6000;-0.49;340;41159.00
2026-08-10;09:56:00;BANK-HANDLOWY;BHW (HANDLOWY);26;121.2000;0.0000;0.00;3;363.60
2026-08-10;09:57:00;BANK-HANDLOWY;BHW (HANDLOWY);27;121.4000;0.2000;0.17;396;48013.60
2026-08-10;09:58:00;BANK-HANDLOWY;BHW (HANDLOWY);28;120.8000;0.0000;0.00;6;724.80
2026-08-10;10:00:00;BANK-HANDLOWY;BHW (HANDLOWY);29;121.6000;0.0000;0.00;2;243.20
2026-08-10;10:01:00;BANK-HANDLOWY;BHW (HANDLOWY);30;121.6000;0.2000;0.16;500;60757.60
2026-08-10;10:02:00;BANK-HANDLOWY;BHW (HANDLOWY);31;121.8000;0.2000;0.16;701;85275.40
2026-08-10;10:03:00;BANK-HANDLOWY;BHW (HANDLOWY);32;122.6000;0.6000;0.49;311;37957.00
2026-08-10;10:04:00;BANK-HANDLOWY;BHW (HANDLOWY);33;122.0000;0.0000;0.00;1018;124196.00
2026-08-10;10:05:00;BANK-HANDLOWY;BHW (HANDLOWY);34;122.4000;0.0000;0.00;59;7221.60
2026-08-10;10:07:00;BANK-HANDLOWY;BHW (HANDLOWY);35;122.0000;0.0000;0.00;5;610.00
