Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-31;09:00:00;BANK-MILLENNIUM;MIL (MILLENNIUM);1;20.0100;-0.0100;-0.05;1105;22122.09
2026-07-31;09:02:00;BANK-MILLENNIUM;MIL (MILLENNIUM);2;20.2500;0.0100;0.05;551;11153.68
2026-07-31;09:03:00;BANK-MILLENNIUM;MIL (MILLENNIUM);3;20.2500;0.2100;1.05;404;8170.08
2026-07-31;09:04:00;BANK-MILLENNIUM;MIL (MILLENNIUM);4;20.1200;-0.1300;-0.64;183;3702.18
2026-07-31;09:05:00;BANK-MILLENNIUM;MIL (MILLENNIUM);5;20.1300;0.0000;0.00;250;5032.50
2026-07-31;09:06:00;BANK-MILLENNIUM;MIL (MILLENNIUM);6;20.2400;0.0000;0.00;25;506.00
2026-07-31;09:13:00;BANK-MILLENNIUM;MIL (MILLENNIUM);7;20.2500;0.0300;0.15;806;16305.18
2026-07-31;09:14:00;BANK-MILLENNIUM;MIL (MILLENNIUM);8;20.2700;0.0000;0.00;148;2999.96
2026-07-31;09:15:00;BANK-MILLENNIUM;MIL (MILLENNIUM);9;20.2500;-0.0100;-0.05;401;8123.34
2026-07-31;09:16:00;BANK-MILLENNIUM;MIL (MILLENNIUM);10;20.3300;0.0600;0.30;703;14248.14
2026-07-31;09:18:00;BANK-MILLENNIUM;MIL (MILLENNIUM);11;20.2700;0.0000;0.00;186;3770.22
2026-07-31;09:21:00;BANK-MILLENNIUM;MIL (MILLENNIUM);12;20.3100;0.0000;0.00;1175;23840.51
2026-07-31;09:23:00;BANK-MILLENNIUM;MIL (MILLENNIUM);13;20.2500;0.0000;0.00;1;20.25
2026-07-31;09:24:00;BANK-MILLENNIUM;MIL (MILLENNIUM);14;20.3000;0.0000;0.00;34;690.20
2026-07-31;09:27:00;BANK-MILLENNIUM;MIL (MILLENNIUM);15;20.2400;-0.0100;-0.05;758;15348.99
2026-07-31;09:28:00;BANK-MILLENNIUM;MIL (MILLENNIUM);16;20.2400;-0.0100;-0.05;1075;21761.96
2026-07-31;09:30:00;BANK-MILLENNIUM;MIL (MILLENNIUM);17;20.2300;0.0000;0.00;15;303.45
2026-07-31;09:32:00;BANK-MILLENNIUM;MIL (MILLENNIUM);18;20.2200;-0.0100;-0.05;408;8252.00
2026-07-31;09:36:00;BANK-MILLENNIUM;MIL (MILLENNIUM);19;20.1600;0.0000;0.00;2965;59770.48
2026-07-31;09:37:00;BANK-MILLENNIUM;MIL (MILLENNIUM);20;20.1800;0.0300;0.15;1486;29945.90
2026-07-31;09:40:00;BANK-MILLENNIUM;MIL (MILLENNIUM);21;20.2200;0.0000;0.00;1501;30352.67
2026-07-31;09:41:00;BANK-MILLENNIUM;MIL (MILLENNIUM);22;20.1700;0.0000;0.00;6;121.02
2026-07-31;09:47:00;BANK-MILLENNIUM;MIL (MILLENNIUM);23;20.1900;0.0000;0.00;227;4583.13
2026-07-31;09:48:00;BANK-MILLENNIUM;MIL (MILLENNIUM);24;20.2200;0.0200;0.10;1307;26407.54
2026-07-31;09:49:00;BANK-MILLENNIUM;MIL (MILLENNIUM);25;20.2600;-0.0500;-0.25;1925;39064.00
2026-07-31;09:50:00;BANK-MILLENNIUM;MIL (MILLENNIUM);26;20.2500;-0.0300;-0.15;3606;73104.93
2026-07-31;09:52:00;BANK-MILLENNIUM;MIL (MILLENNIUM);27;20.2500;-0.0200;-0.10;2571;52123.57
2026-07-31;09:54:00;BANK-MILLENNIUM;MIL (MILLENNIUM);28;20.2400;0.0000;0.00;47;951.28
2026-07-31;09:55:00;BANK-MILLENNIUM;MIL (MILLENNIUM);29;20.2500;-0.0700;-0.34;155;3138.82
2026-07-31;09:57:00;BANK-MILLENNIUM;MIL (MILLENNIUM);30;20.3100;0.0500;0.25;4984;101040.70
2026-07-31;09:59:00;BANK-MILLENNIUM;MIL (MILLENNIUM);31;20.2500;-0.0100;-0.05;4297;87083.65
2026-07-31;10:02:00;BANK-MILLENNIUM;MIL (MILLENNIUM);32;20.3200;0.0000;0.00;397;8067.04
2026-07-31;10:04:00;BANK-MILLENNIUM;MIL (MILLENNIUM);33;20.2400;-0.0700;-0.34;3839;77729.99
2026-07-31;10:06:00;BANK-MILLENNIUM;MIL (MILLENNIUM);34;20.2400;-0.0400;-0.20;3666;74315.84
2026-07-31;10:07:00;BANK-MILLENNIUM;MIL (MILLENNIUM);35;20.2700;0.0000;0.00;1496;30317.66
2026-07-31;10:08:00;BANK-MILLENNIUM;MIL (MILLENNIUM);36;20.2900;0.0200;0.10;1023;20742.33
2026-07-31;10:09:00;BANK-MILLENNIUM;MIL (MILLENNIUM);37;20.2400;-0.0400;-0.20;1004;20346.16
2026-07-31;10:11:00;BANK-MILLENNIUM;MIL (MILLENNIUM);38;20.2200;0.0000;0.00;4;80.88
2026-07-31;10:12:00;BANK-MILLENNIUM;MIL (MILLENNIUM);39;20.3000;0.0800;0.40;3897;78798.54
2026-07-31;10:13:00;BANK-MILLENNIUM;MIL (MILLENNIUM);40;20.2800;0.0200;0.10;1000;20270.00
2026-07-31;10:14:00;BANK-MILLENNIUM;MIL (MILLENNIUM);41;20.3000;0.0100;0.05;774;15708.40
2026-07-31;10:15:00;BANK-MILLENNIUM;MIL (MILLENNIUM);42;20.3400;0.0200;0.10;9895;200349.75
2026-07-31;10:16:00;BANK-MILLENNIUM;MIL (MILLENNIUM);43;20.4100;0.0500;0.25;9183;187363.90
2026-07-31;10:18:00;BANK-MILLENNIUM;MIL (MILLENNIUM);44;20.4100;-0.0100;-0.05;822;16785.15
2026-07-31;10:19:00;BANK-MILLENNIUM;MIL (MILLENNIUM);45;20.4100;-0.0200;-0.10;22;449.04
2026-07-31;10:21:00;BANK-MILLENNIUM;MIL (MILLENNIUM);46;20.4400;0.0300;0.15;1582;32316.05
2026-07-31;10:22:00;BANK-MILLENNIUM;MIL (MILLENNIUM);47;20.4700;0.0200;0.10;2652;54213.53
2026-07-31;10:23:00;BANK-MILLENNIUM;MIL (MILLENNIUM);48;20.4800;0.0000;0.00;10;204.80
2026-07-31;10:24:00;BANK-MILLENNIUM;MIL (MILLENNIUM);49;20.4700;-0.0100;-0.05;769;15745.32
2026-07-31;10:25:00;BANK-MILLENNIUM;MIL (MILLENNIUM);50;20.4500;-0.0300;-0.15;66;1351.53
2026-07-31;10:26:00;BANK-MILLENNIUM;MIL (MILLENNIUM);51;20.4800;0.0000;0.00;9;184.32
2026-07-31;10:27:00;BANK-MILLENNIUM;MIL (MILLENNIUM);52;20.4600;0.0000;0.00;5552;113575.22
2026-07-31;10:28:00;BANK-MILLENNIUM;MIL (MILLENNIUM);53;20.4600;0.0000;0.00;45;920.70
2026-07-31;10:29:00;BANK-MILLENNIUM;MIL (MILLENNIUM);54;20.4500;0.0000;0.00;421;8609.45
2026-07-31;10:30:00;BANK-MILLENNIUM;MIL (MILLENNIUM);55;20.4200;0.0000;0.00;1136;23198.48
2026-07-31;10:31:00;BANK-MILLENNIUM;MIL (MILLENNIUM);56;20.3600;-0.0500;-0.24;6160;125646.46
2026-07-31;10:32:00;BANK-MILLENNIUM;MIL (MILLENNIUM);57;20.3900;0.0000;0.00;1;20.39
2026-07-31;10:34:00;BANK-MILLENNIUM;MIL (MILLENNIUM);58;20.3400;0.0000;0.00;721;14665.14
2026-07-31;10:35:00;BANK-MILLENNIUM;MIL (MILLENNIUM);59;20.3300;0.0000;0.00;25;508.25
2026-07-31;10:36:00;BANK-MILLENNIUM;MIL (MILLENNIUM);60;20.3300;0.0000;0.00;478;9717.74
2026-07-31;10:37:00;BANK-MILLENNIUM;MIL (MILLENNIUM);61;20.3000;-0.0300;-0.15;1691;34357.23
2026-07-31;10:38:00;BANK-MILLENNIUM;MIL (MILLENNIUM);62;20.3500;0.0500;0.25;454;9226.30
2026-07-31;10:40:00;BANK-MILLENNIUM;MIL (MILLENNIUM);63;20.3400;-0.0100;-0.05;2257;45912.64
2026-07-31;10:43:00;BANK-MILLENNIUM;MIL (MILLENNIUM);64;20.3100;0.0000;0.00;45;913.95
2026-07-31;10:48:00;BANK-MILLENNIUM;MIL (MILLENNIUM);65;20.3300;0.0300;0.15;1906;38770.37
2026-07-31;10:49:00;BANK-MILLENNIUM;MIL (MILLENNIUM);66;20.4000;0.0500;0.25;5739;116803.70
2026-07-31;10:50:00;BANK-MILLENNIUM;MIL (MILLENNIUM);67;20.3300;-0.0200;-0.10;758;15421.24
2026-07-31;10:51:00;BANK-MILLENNIUM;MIL (MILLENNIUM);68;20.3300;0.0000;0.00;20;406.60
2026-07-31;10:52:00;BANK-MILLENNIUM;MIL (MILLENNIUM);69;20.3900;0.0000;0.00;4;81.56
2026-07-31;10:54:00;BANK-MILLENNIUM;MIL (MILLENNIUM);70;20.3300;0.0000;0.00;83;1687.39
2026-07-31;10:55:00;BANK-MILLENNIUM;MIL (MILLENNIUM);71;20.3900;0.0000;0.00;378;7707.42
2026-07-31;10:56:00;BANK-MILLENNIUM;MIL (MILLENNIUM);72;20.4000;0.0100;0.05;5419;110269.74
2026-07-31;10:57:00;BANK-MILLENNIUM;MIL (MILLENNIUM);73;20.3400;-0.0200;-0.10;2814;57256.76
2026-07-31;10:58:00;BANK-MILLENNIUM;MIL (MILLENNIUM);74;20.3400;0.0000;0.00;574;11675.16
2026-07-31;10:59:00;BANK-MILLENNIUM;MIL (MILLENNIUM);75;20.3400;0.0000;0.00;1595;32452.30
2026-07-31;11:01:00;BANK-MILLENNIUM;MIL (MILLENNIUM);76;20.3900;0.0000;0.00;36;734.04
2026-07-31;11:02:00;BANK-MILLENNIUM;MIL (MILLENNIUM);77;20.3300;0.0000;0.00;92;1870.36
2026-07-31;11:06:00;BANK-MILLENNIUM;MIL (MILLENNIUM);78;20.3900;0.0500;0.25;4024;81943.16
2026-07-31;11:07:00;BANK-MILLENNIUM;MIL (MILLENNIUM);79;20.3900;0.0000;0.00;1168;23792.17
2026-07-31;11:08:00;BANK-MILLENNIUM;MIL (MILLENNIUM);80;20.3400;0.0000;0.00;420;8542.80
2026-07-31;11:09:00;BANK-MILLENNIUM;MIL (MILLENNIUM);81;20.3000;-0.0300;-0.15;2852;57980.95
2026-07-31;11:10:00;BANK-MILLENNIUM;MIL (MILLENNIUM);82;20.3700;0.0300;0.15;1248;25404.08
2026-07-31;11:11:00;BANK-MILLENNIUM;MIL (MILLENNIUM);83;20.3400;0.0100;0.05;3295;67045.88
2026-07-31;11:12:00;BANK-MILLENNIUM;MIL (MILLENNIUM);84;20.3800;0.0400;0.20;1962;39944.80
2026-07-31;11:13:00;BANK-MILLENNIUM;MIL (MILLENNIUM);85;20.3300;-0.0100;-0.05;2993;60912.99
2026-07-31;11:14:00;BANK-MILLENNIUM;MIL (MILLENNIUM);86;20.3500;-0.0300;-0.15;450;9166.50
2026-07-31;11:16:00;BANK-MILLENNIUM;MIL (MILLENNIUM);87;20.3300;-0.0700;-0.34;1110;22637.91
2026-07-31;11:17:00;BANK-MILLENNIUM;MIL (MILLENNIUM);88;20.3400;-0.0600;-0.29;4517;91949.24
2026-07-31;11:20:00;BANK-MILLENNIUM;MIL (MILLENNIUM);89;20.3800;0.0000;0.00;104;2119.52
2026-07-31;11:22:00;BANK-MILLENNIUM;MIL (MILLENNIUM);90;20.3800;0.0000;0.00;24;489.12
2026-07-31;11:23:00;BANK-MILLENNIUM;MIL (MILLENNIUM);91;20.3300;0.0000;0.00;558;11344.14
2026-07-31;11:24:00;BANK-MILLENNIUM;MIL (MILLENNIUM);92;20.3400;0.0000;0.00;507;10312.38
2026-07-31;11:26:00;BANK-MILLENNIUM;MIL (MILLENNIUM);93;20.3300;-0.0400;-0.20;1024;20833.92
2026-07-31;11:29:00;BANK-MILLENNIUM;MIL (MILLENNIUM);94;20.3100;-0.0400;-0.20;4751;96556.87
2026-07-31;11:30:00;BANK-MILLENNIUM;MIL (MILLENNIUM);95;20.3100;0.0100;0.05;3865;78467.94
2026-07-31;11:31:00;BANK-MILLENNIUM;MIL (MILLENNIUM);96;20.3200;0.0200;0.10;6123;124347.94
2026-07-31;11:35:00;BANK-MILLENNIUM;MIL (MILLENNIUM);97;20.3400;0.0100;0.05;1646;33471.70
2026-07-31;11:36:00;BANK-MILLENNIUM;MIL (MILLENNIUM);98;20.3200;0.0000;0.00;23;467.36
2026-07-31;11:38:00;BANK-MILLENNIUM;MIL (MILLENNIUM);99;20.3800;0.0000;0.00;995;20278.10
2026-07-31;11:39:00;BANK-MILLENNIUM;MIL (MILLENNIUM);100;20.3400;0.0100;0.05;722;14685.46
2026-07-31;11:40:00;BANK-MILLENNIUM;MIL (MILLENNIUM);101;20.3200;-0.0100;-0.05;1501;30513.30
2026-07-31;11:43:00;BANK-MILLENNIUM;MIL (MILLENNIUM);102;20.3600;0.0000;0.00;10;203.60
2026-07-31;11:45:00;BANK-MILLENNIUM;MIL (MILLENNIUM);103;20.3100;-0.0100;-0.05;4959;100794.24
2026-07-31;11:46:00;BANK-MILLENNIUM;MIL (MILLENNIUM);104;20.3000;0.0000;0.00;1900;38570.00
2026-07-31;11:48:00;BANK-MILLENNIUM;MIL (MILLENNIUM);105;20.2800;0.0000;0.00;12;243.36
2026-07-31;11:49:00;BANK-MILLENNIUM;MIL (MILLENNIUM);106;20.3300;0.0500;0.25;537;10890.71
2026-07-31;11:50:00;BANK-MILLENNIUM;MIL (MILLENNIUM);107;20.2900;0.0000;0.00;707;14345.03
2026-07-31;11:52:00;BANK-MILLENNIUM;MIL (MILLENNIUM);108;20.3300;0.0000;0.00;1569;31897.77
2026-07-31;11:53:00;BANK-MILLENNIUM;MIL (MILLENNIUM);109;20.3400;0.0100;0.05;513;10434.30
2026-07-31;11:55:00;BANK-MILLENNIUM;MIL (MILLENNIUM);110;20.3300;0.0000;0.00;1;20.33
2026-07-31;11:56:00;BANK-MILLENNIUM;MIL (MILLENNIUM);111;20.2900;-0.0400;-0.20;5520;112164.48
2026-07-31;11:59:00;BANK-MILLENNIUM;MIL (MILLENNIUM);112;20.2700;0.0000;0.00;363;7358.01
2026-07-31;12:00:00;BANK-MILLENNIUM;MIL (MILLENNIUM);113;20.2700;0.0000;0.00;672;13621.44
2026-07-31;12:01:00;BANK-MILLENNIUM;MIL (MILLENNIUM);114;20.2600;0.0000;0.00;926;18760.76
2026-07-31;12:02:00;BANK-MILLENNIUM;MIL (MILLENNIUM);115;20.2000;-0.0300;-0.15;2221;44894.20
2026-07-31;12:03:00;BANK-MILLENNIUM;MIL (MILLENNIUM);116;20.2400;0.0000;0.00;1326;26838.24
2026-07-31;12:04:00;BANK-MILLENNIUM;MIL (MILLENNIUM);117;20.2600;0.0000;0.00;2350;47611.00
2026-07-31;12:05:00;BANK-MILLENNIUM;MIL (MILLENNIUM);118;20.2100;0.0000;0.00;3;60.63
2026-07-31;12:08:00;BANK-MILLENNIUM;MIL (MILLENNIUM);119;20.2200;0.0000;0.00;1;20.22
2026-07-31;12:10:00;BANK-MILLENNIUM;MIL (MILLENNIUM);120;20.2800;0.0100;0.05;2892;58631.37
2026-07-31;12:12:00;BANK-MILLENNIUM;MIL (MILLENNIUM);121;20.3100;0.0200;0.10;1737;35265.74
2026-07-31;12:13:00;BANK-MILLENNIUM;MIL (MILLENNIUM);122;20.2700;-0.0300;-0.15;3110;63091.10
2026-07-31;12:16:00;BANK-MILLENNIUM;MIL (MILLENNIUM);123;20.2800;0.0100;0.05;4307;87336.14
2026-07-31;12:17:00;BANK-MILLENNIUM;MIL (MILLENNIUM);124;20.2700;-0.0100;-0.05;632;12816.86
2026-07-31;12:18:00;BANK-MILLENNIUM;MIL (MILLENNIUM);125;20.2900;0.0000;0.00;600;12174.00
2026-07-31;12:19:00;BANK-MILLENNIUM;MIL (MILLENNIUM);126;20.3000;0.0000;0.00;189;3836.70
2026-07-31;12:20:00;BANK-MILLENNIUM;MIL (MILLENNIUM);127;20.3000;-0.0100;-0.05;2034;41312.65
2026-07-31;12:22:00;BANK-MILLENNIUM;MIL (MILLENNIUM);128;20.3300;0.0000;0.00;922;18745.77
2026-07-31;12:24:00;BANK-MILLENNIUM;MIL (MILLENNIUM);129;20.3000;-0.0200;-0.10;3926;79746.73
2026-07-31;12:27:00;BANK-MILLENNIUM;MIL (MILLENNIUM);130;20.3200;0.0000;0.00;281;5709.92
2026-07-31;12:28:00;BANK-MILLENNIUM;MIL (MILLENNIUM);131;20.3400;0.0200;0.10;3884;78963.56
2026-07-31;12:29:00;BANK-MILLENNIUM;MIL (MILLENNIUM);132;20.3400;-0.0100;-0.05;605;12310.70
2026-07-31;12:30:00;BANK-MILLENNIUM;MIL (MILLENNIUM);133;20.3300;0.0000;0.00;25;508.25
2026-07-31;12:31:00;BANK-MILLENNIUM;MIL (MILLENNIUM);134;20.3600;0.0000;0.00;3;61.08
2026-07-31;12:32:00;BANK-MILLENNIUM;MIL (MILLENNIUM);135;20.3600;0.0000;0.00;1157;23556.52
2026-07-31;12:33:00;BANK-MILLENNIUM;MIL (MILLENNIUM);136;20.2900;-0.0400;-0.20;5305;107799.18
2026-07-31;12:36:00;BANK-MILLENNIUM;MIL (MILLENNIUM);137;20.3200;0.0000;0.00;300;6096.00
2026-07-31;12:37:00;BANK-MILLENNIUM;MIL (MILLENNIUM);138;20.3400;0.0100;0.05;2079;42259.32
2026-07-31;12:38:00;BANK-MILLENNIUM;MIL (MILLENNIUM);139;20.3500;0.0000;0.00;49;997.15
2026-07-31;12:40:00;BANK-MILLENNIUM;MIL (MILLENNIUM);140;20.3800;0.0300;0.15;1678;34175.89
2026-07-31;12:45:00;BANK-MILLENNIUM;MIL (MILLENNIUM);141;20.3200;-0.0300;-0.15;4774;97058.34
2026-07-31;12:46:00;BANK-MILLENNIUM;MIL (MILLENNIUM);142;20.3300;0.0000;0.00;500;10165.00
2026-07-31;12:53:00;BANK-MILLENNIUM;MIL (MILLENNIUM);143;20.3200;0.0000;0.00;12;243.84
2026-07-31;12:54:00;BANK-MILLENNIUM;MIL (MILLENNIUM);144;20.3200;0.0000;0.00;581;11805.92
2026-07-31;12:55:00;BANK-MILLENNIUM;MIL (MILLENNIUM);145;20.2800;-0.0400;-0.20;5655;114825.99
2026-07-31;12:56:00;BANK-MILLENNIUM;MIL (MILLENNIUM);146;20.2700;-0.0200;-0.10;463;9385.21
2026-07-31;12:57:00;BANK-MILLENNIUM;MIL (MILLENNIUM);147;20.2900;0.0000;0.00;553;11220.37
2026-07-31;12:58:00;BANK-MILLENNIUM;MIL (MILLENNIUM);148;20.2900;0.0000;0.00;2;40.58
2026-07-31;12:59:00;BANK-MILLENNIUM;MIL (MILLENNIUM);149;20.2900;0.0000;0.00;747;15156.63
2026-07-31;13:01:00;BANK-MILLENNIUM;MIL (MILLENNIUM);150;20.3000;0.0000;0.00;1577;32013.10
2026-07-31;13:02:00;BANK-MILLENNIUM;MIL (MILLENNIUM);151;20.3200;0.0200;0.10;5988;121588.66
2026-07-31;13:03:00;BANK-MILLENNIUM;MIL (MILLENNIUM);152;20.3600;0.0200;0.10;2217;45115.60
2026-07-31;13:05:00;BANK-MILLENNIUM;MIL (MILLENNIUM);153;20.3400;-0.0400;-0.20;693;14119.82
2026-07-31;13:06:00;BANK-MILLENNIUM;MIL (MILLENNIUM);154;20.3600;0.0000;0.00;20;407.20
