Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-21;09:00:00;BANK-OCHRONY-SRODOWISKA;BOS;1;10.3400;0.0000;0.00;1157;11963.38
2026-08-21;09:05:00;BANK-OCHRONY-SRODOWISKA;BOS;2;10.3400;0.0000;0.00;542;5604.28
2026-08-21;09:08:00;BANK-OCHRONY-SRODOWISKA;BOS;3;10.3600;0.0000;0.00;3;31.08
2026-08-21;09:09:00;BANK-OCHRONY-SRODOWISKA;BOS;4;10.3400;0.0000;0.00;481;4973.54
2026-08-21;09:17:00;BANK-OCHRONY-SRODOWISKA;BOS;5;10.3000;-0.0200;-0.19;18;185.46
2026-08-21;09:39:00;BANK-OCHRONY-SRODOWISKA;BOS;6;10.2200;-0.0600;-0.58;450;4601.64
2026-08-21;10:00:00;BANK-OCHRONY-SRODOWISKA;BOS;7;10.2200;0.0000;0.00;136;1389.92
2026-08-21;10:21:00;BANK-OCHRONY-SRODOWISKA;BOS;8;10.3000;0.0000;0.00;5;51.50
2026-08-21;10:47:00;BANK-OCHRONY-SRODOWISKA;BOS;9;10.2800;0.0000;0.00;1;10.28
2026-08-21;10:58:00;BANK-OCHRONY-SRODOWISKA;BOS;10;10.2800;0.0000;0.00;1;10.28
2026-08-21;10:59:00;BANK-OCHRONY-SRODOWISKA;BOS;11;10.2800;0.0000;0.00;98;1007.44
2026-08-21;11:02:00;BANK-OCHRONY-SRODOWISKA;BOS;12;10.2800;0.0000;0.00;1;10.28
2026-08-21;11:07:00;BANK-OCHRONY-SRODOWISKA;BOS;13;10.2400;0.0000;0.00;30;307.20
2026-08-21;11:20:00;BANK-OCHRONY-SRODOWISKA;BOS;14;10.2200;-0.0200;-0.20;200;2047.84
2026-08-21;11:24:00;BANK-OCHRONY-SRODOWISKA;BOS;15;10.2200;0.0000;0.00;370;3781.40
2026-08-21;11:30:00;BANK-OCHRONY-SRODOWISKA;BOS;16;10.2000;0.0000;0.00;100;1020.00
2026-08-21;11:33:00;BANK-OCHRONY-SRODOWISKA;BOS;17;10.2000;-0.0200;-0.20;100;1020.02
2026-08-21;11:34:00;BANK-OCHRONY-SRODOWISKA;BOS;18;10.2000;-0.0800;-0.78;205;2091.40
2026-08-21;11:49:00;BANK-OCHRONY-SRODOWISKA;BOS;19;10.2400;0.0000;0.00;218;2232.32
2026-08-21;11:59:00;BANK-OCHRONY-SRODOWISKA;BOS;20;10.2800;0.0000;0.00;1;10.28
2026-08-21;12:00:00;BANK-OCHRONY-SRODOWISKA;BOS;21;10.2200;-0.0200;-0.20;351;3588.56
2026-08-21;12:11:00;BANK-OCHRONY-SRODOWISKA;BOS;22;10.2800;0.0000;0.00;50;514.00
2026-08-21;12:14:00;BANK-OCHRONY-SRODOWISKA;BOS;23;10.2000;-0.0400;-0.39;20000;204009.98
2026-08-21;12:16:00;BANK-OCHRONY-SRODOWISKA;BOS;24;10.4000;0.1200;1.17;8000;82737.58
2026-08-21;12:18:00;BANK-OCHRONY-SRODOWISKA;BOS;25;10.4000;0.0400;0.39;1040;10795.28
2026-08-21;12:32:00;BANK-OCHRONY-SRODOWISKA;BOS;26;10.4000;0.0400;0.39;15000;155966.00
2026-08-21;12:33:00;BANK-OCHRONY-SRODOWISKA;BOS;27;10.4000;0.0000;0.00;5000;52000.00
2026-08-21;12:34:00;BANK-OCHRONY-SRODOWISKA;BOS;28;10.4000;0.0000;0.00;2000;20800.00
2026-08-21;12:35:00;BANK-OCHRONY-SRODOWISKA;BOS;29;10.2800;0.0000;0.00;100;1028.00
2026-08-21;13:12:00;BANK-OCHRONY-SRODOWISKA;BOS;30;10.4000;0.0200;0.19;1500;15570.64
2026-08-21;13:15:00;BANK-OCHRONY-SRODOWISKA;BOS;31;10.4000;0.0200;0.19;500;5198.18
2026-08-21;13:16:00;BANK-OCHRONY-SRODOWISKA;BOS;32;10.4000;0.0000;0.00;32;332.80
2026-08-21;13:19:00;BANK-OCHRONY-SRODOWISKA;BOS;33;10.3000;0.0000;0.00;400;4120.00
2026-08-21;13:20:00;BANK-OCHRONY-SRODOWISKA;BOS;34;10.3000;0.0000;0.00;32;329.60
2026-08-21;13:25:00;BANK-OCHRONY-SRODOWISKA;BOS;35;10.4000;0.0200;0.19;4633;48179.78
2026-08-21;14:31:00;BANK-OCHRONY-SRODOWISKA;BOS;36;10.3000;0.0000;0.00;68;700.40
2026-08-21;14:33:00;BANK-OCHRONY-SRODOWISKA;BOS;37;10.2200;-0.0400;-0.39;50;511.06
2026-08-21;14:39:00;BANK-OCHRONY-SRODOWISKA;BOS;38;10.3000;0.0200;0.19;10;102.98
2026-08-21;15:31:00;BANK-OCHRONY-SRODOWISKA;BOS;39;10.2400;0.0000;0.00;100;1024.00
2026-08-21;15:47:00;BANK-OCHRONY-SRODOWISKA;BOS;40;10.3000;0.0200;0.19;3;30.88
2026-08-21;16:03:00;BANK-OCHRONY-SRODOWISKA;BOS;41;10.3000;0.0000;0.00;104;1071.20
2026-08-21;16:05:00;BANK-OCHRONY-SRODOWISKA;BOS;42;10.3000;0.0000;0.00;777;8003.10
2026-08-21;16:07:00;BANK-OCHRONY-SRODOWISKA;BOS;43;10.3000;0.0000;0.00;140;1442.00
2026-08-21;16:08:00;BANK-OCHRONY-SRODOWISKA;BOS;44;10.3600;0.0000;0.00;336;3480.96
2026-08-21;16:14:00;BANK-OCHRONY-SRODOWISKA;BOS;45;10.3800;0.0200;0.19;232;2403.74
2026-08-21;16:30:00;BANK-OCHRONY-SRODOWISKA;BOS;46;10.3000;0.0000;0.00;3;30.90
2026-08-21;16:31:00;BANK-OCHRONY-SRODOWISKA;BOS;47;10.3000;0.0000;0.00;1;10.30
