Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-23;10:32:00;BBT;BBT (BOOMBIT);1;5.5800;0.0000;0.00;150;837.00
2026-07-23;10:52:00;BBT;BBT (BOOMBIT);2;5.7000;0.0000;0.00;1;5.70
2026-07-23;11:41:00;BBT;BBT (BOOMBIT);3;5.4800;-0.1000;-1.79;4172;23030.78
2026-07-23;11:48:00;BBT;BBT (BOOMBIT);4;5.5000;0.0000;0.00;200;1100.00
2026-07-23;11:58:00;BBT;BBT (BOOMBIT);5;5.5000;-0.1000;-1.79;212;1166.20
2026-07-23;11:59:00;BBT;BBT (BOOMBIT);6;5.6000;0.0000;0.00;2;11.20
2026-07-23;12:50:00;BBT;BBT (BOOMBIT);7;5.5200;0.0000;0.00;240;1324.80
2026-07-23;13:47:00;BBT;BBT (BOOMBIT);8;5.4800;0.0000;0.00;1;5.48
2026-07-23;14:09:00;BBT;BBT (BOOMBIT);9;5.5000;0.0000;0.00;300;1650.00
2026-07-23;14:20:00;BBT;BBT (BOOMBIT);10;5.5000;0.0000;0.00;206;1133.00
2026-07-23;14:26:00;BBT;BBT (BOOMBIT);11;5.5000;0.0000;0.00;16;88.00
2026-07-23;14:34:00;BBT;BBT (BOOMBIT);12;5.5000;0.0000;0.00;400;2200.00
2026-07-23;15:26:00;BBT;BBT (BOOMBIT);13;5.5800;0.0000;0.00;10;55.80
2026-07-23;15:36:00;BBT;BBT (BOOMBIT);14;5.4800;-0.0200;-0.36;194;1063.52
2026-07-23;16:06:00;BBT;BBT (BOOMBIT);15;5.4400;-0.0400;-0.73;598;3263.12
2026-07-23;16:13:00;BBT;BBT (BOOMBIT);16;5.4400;0.0000;0.00;500;2720.00
2026-07-23;16:15:00;BBT;BBT (BOOMBIT);17;5.4400;0.0000;0.00;665;3617.60
2026-07-23;16:16:00;BBT;BBT (BOOMBIT);18;5.4200;0.0000;0.00;335;1815.70
2026-07-23;16:32:00;BBT;BBT (BOOMBIT);19;5.3800;-0.0400;-0.74;549;2960.82
