Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-15;09:08:00;BCS;BCS (BIGCHEESE);1;3.9900;0.0000;0.00;9;35.95
2026-09-15;09:32:00;BCS;BCS (BIGCHEESE);2;3.9900;0.0000;0.00;181;723.10
2026-09-15;09:47:00;BCS;BCS (BIGCHEESE);3;3.9700;-0.0200;-0.50;160;636.96
2026-09-15;09:51:00;BCS;BCS (BIGCHEESE);4;3.9700;0.0000;0.00;100;397.50
2026-09-15;11:11:00;BCS;BCS (BIGCHEESE);5;3.9400;-0.0300;-0.76;2195;8678.14
2026-09-15;11:13:00;BCS;BCS (BIGCHEESE);6;3.9400;0.0000;0.00;812;3199.28
2026-09-15;11:30:00;BCS;BCS (BIGCHEESE);7;3.9900;0.0000;0.00;400;1598.00
2026-09-15;11:34:00;BCS;BCS (BIGCHEESE);8;4.0000;0.0000;0.00;2000;8000.00
2026-09-15;11:38:00;BCS;BCS (BIGCHEESE);9;4.0000;0.0000;0.00;2000;8000.00
2026-09-15;11:49:00;BCS;BCS (BIGCHEESE);10;4.0000;0.0000;0.00;300;1200.00
2026-09-15;11:56:00;BCS;BCS (BIGCHEESE);11;4.0000;0.0000;0.00;329;1316.00
2026-09-15;12:27:00;BCS;BCS (BIGCHEESE);12;4.0000;0.0000;0.00;600;2400.00
2026-09-15;12:52:00;BCS;BCS (BIGCHEESE);13;4.0000;0.0000;0.00;12;48.00
2026-09-15;13:20:00;BCS;BCS (BIGCHEESE);14;4.0000;0.0000;0.00;489;1956.00
2026-09-15;14:34:00;BCS;BCS (BIGCHEESE);15;3.9900;0.0000;0.00;1100;4394.50
2026-09-15;14:35:00;BCS;BCS (BIGCHEESE);16;4.0000;0.0000;0.00;900;3600.00
2026-09-15;14:36:00;BCS;BCS (BIGCHEESE);17;4.0000;0.0000;0.00;250;1000.00
2026-09-15;14:37:00;BCS;BCS (BIGCHEESE);18;4.0000;0.0000;0.00;100;400.00
2026-09-15;14:38:00;BCS;BCS (BIGCHEESE);19;4.0000;0.0000;0.00;1000;4000.00
2026-09-15;15:08:00;BCS;BCS (BIGCHEESE);20;4.0200;0.0000;0.00;900;3618.00
2026-09-15;15:34:00;BCS;BCS (BIGCHEESE);21;4.1400;0.0000;0.00;2;8.27
2026-09-15;16:07:00;BCS;BCS (BIGCHEESE);22;4.0000;-0.0200;-0.50;1000;4002.00
2026-09-15;16:31:00;BCS;BCS (BIGCHEESE);23;4.0000;0.0000;0.00;150;600.00
