Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-26;09:00:00;BCX;BCX (BIOCELTIX);1;80.5000;0.0000;0.00;110;8855.00
2026-08-26;09:06:00;BCX;BCX (BIOCELTIX);2;80.0000;0.0000;0.00;15;1200.00
2026-08-26;09:11:00;BCX;BCX (BIOCELTIX);3;80.0000;0.0000;0.00;10;800.00
2026-08-26;09:12:00;BCX;BCX (BIOCELTIX);4;79.7000;0.0000;0.00;1;79.70
2026-08-26;09:16:00;BCX;BCX (BIOCELTIX);5;80.0000;0.0000;0.00;90;7200.00
2026-08-26;09:45:00;BCX;BCX (BIOCELTIX);6;79.8000;0.0000;0.00;1;79.80
2026-08-26;09:51:00;BCX;BCX (BIOCELTIX);7;80.3000;0.0000;0.00;28;2248.40
2026-08-26;10:11:00;BCX;BCX (BIOCELTIX);8;79.7000;0.0000;0.00;37;2948.90
2026-08-26;10:16:00;BCX;BCX (BIOCELTIX);9;80.0000;0.1000;0.13;90;7197.00
2026-08-26;10:31:00;BCX;BCX (BIOCELTIX);10;80.0000;0.0000;0.00;70;5600.00
2026-08-26;10:36:00;BCX;BCX (BIOCELTIX);11;80.0000;0.0000;0.00;10;800.00
2026-08-26;11:11:00;BCX;BCX (BIOCELTIX);12;80.0000;0.0000;0.00;2;160.00
2026-08-26;11:19:00;BCX;BCX (BIOCELTIX);13;80.0000;0.0000;0.00;38;3040.00
2026-08-26;11:28:00;BCX;BCX (BIOCELTIX);14;80.0000;0.0000;0.00;38;3040.00
2026-08-26;11:31:00;BCX;BCX (BIOCELTIX);15;80.0000;0.0000;0.00;1;80.00
2026-08-26;11:32:00;BCX;BCX (BIOCELTIX);16;80.0000;0.0000;0.00;16;1280.00
2026-08-26;11:36:00;BCX;BCX (BIOCELTIX);17;80.0000;0.0000;0.00;2;160.00
2026-08-26;12:10:00;BCX;BCX (BIOCELTIX);18;80.0000;0.0000;0.00;83;6640.00
2026-08-26;12:14:00;BCX;BCX (BIOCELTIX);19;80.0000;0.0000;0.00;10;800.00
2026-08-26;12:29:00;BCX;BCX (BIOCELTIX);20;80.3000;0.0000;0.00;170;13651.00
2026-08-26;12:30:00;BCX;BCX (BIOCELTIX);21;80.5000;0.0000;0.00;66;5313.00
2026-08-26;12:40:00;BCX;BCX (BIOCELTIX);22;80.0000;0.0000;0.00;2;160.00
2026-08-26;12:44:00;BCX;BCX (BIOCELTIX);23;80.0000;0.0000;0.00;7;560.00
2026-08-26;12:45:00;BCX;BCX (BIOCELTIX);24;79.9000;0.0000;0.00;145;11585.50
2026-08-26;12:46:00;BCX;BCX (BIOCELTIX);25;79.7000;0.0000;0.00;15;1195.50
2026-08-26;12:48:00;BCX;BCX (BIOCELTIX);26;80.6000;1.0000;1.26;246;19582.60
2026-08-26;12:54:00;BCX;BCX (BIOCELTIX);27;80.8000;0.2000;0.25;581;46934.40
2026-08-26;12:56:00;BCX;BCX (BIOCELTIX);28;81.0000;0.1000;0.12;194;15706.60
2026-08-26;13:21:00;BCX;BCX (BIOCELTIX);29;81.2000;0.0000;0.00;6;487.20
2026-08-26;13:31:00;BCX;BCX (BIOCELTIX);30;80.2000;0.0000;0.00;15;1203.00
2026-08-26;13:57:00;BCX;BCX (BIOCELTIX);31;81.2000;0.0000;0.00;13;1055.60
2026-08-26;14:06:00;BCX;BCX (BIOCELTIX);32;81.2000;0.0000;0.00;12;974.40
2026-08-26;14:09:00;BCX;BCX (BIOCELTIX);33;81.2000;0.0000;0.00;6;487.20
2026-08-26;14:18:00;BCX;BCX (BIOCELTIX);34;80.7000;0.0000;0.00;37;2985.90
2026-08-26;14:51:00;BCX;BCX (BIOCELTIX);35;80.1000;0.0000;0.00;18;1441.80
2026-08-26;14:52:00;BCX;BCX (BIOCELTIX);36;81.0000;0.0000;0.00;10;810.00
2026-08-26;15:29:00;BCX;BCX (BIOCELTIX);37;80.1000;0.0000;0.00;1;80.10
2026-08-26;15:42:00;BCX;BCX (BIOCELTIX);38;81.0000;0.0000;0.00;4;324.00
2026-08-26;15:58:00;BCX;BCX (BIOCELTIX);39;80.5000;0.0000;0.00;37;2978.50
2026-08-26;15:59:00;BCX;BCX (BIOCELTIX);40;80.9000;0.0000;0.00;1;80.90
2026-08-26;16:12:00;BCX;BCX (BIOCELTIX);41;80.9000;0.0000;0.00;12;970.80
2026-08-26;16:15:00;BCX;BCX (BIOCELTIX);42;80.9000;0.0000;0.00;1;80.90
2026-08-26;16:22:00;BCX;BCX (BIOCELTIX);43;80.4000;0.0000;0.00;100;8040.00
2026-08-26;16:23:00;BCX;BCX (BIOCELTIX);44;80.3000;0.0000;0.00;277;22242.90
2026-08-26;16:34:00;BCX;BCX (BIOCELTIX);45;80.1000;0.0000;0.00;39;3123.90
2026-08-26;16:36:00;BCX;BCX (BIOCELTIX);46;80.5000;0.0000;0.00;3;241.50
2026-08-26;16:40:00;BCX;BCX (BIOCELTIX);47;79.9000;-0.2000;-0.25;497;39739.90
2026-08-26;16:43:00;BCX;BCX (BIOCELTIX);48;80.5000;0.0000;0.00;1;80.50
2026-08-26;17:00:00;BCX;BCX (BIOCELTIX);49;80.9000;0.0000;0.00;8;647.20
