Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;BENEFIT-SYSTEMS;BFT (BENEFIT);1;5450.0000;10.0000;0.18;4;21790.00
2026-08-07;09:03:00;BENEFIT-SYSTEMS;BFT (BENEFIT);2;5405.0000;-20.0000;-0.37;5;27045.00
2026-08-07;09:04:00;BENEFIT-SYSTEMS;BFT (BENEFIT);3;5420.0000;15.0000;0.28;13;70420.00
2026-08-07;09:06:00;BENEFIT-SYSTEMS;BFT (BENEFIT);4;5410.0000;5.0000;0.09;6;32455.00
2026-08-07;09:15:00;BENEFIT-SYSTEMS;BFT (BENEFIT);5;5415.0000;-5.0000;-0.09;49;265580.00
2026-08-07;09:16:00;BENEFIT-SYSTEMS;BFT (BENEFIT);6;5415.0000;5.0000;0.09;33;178560.00
2026-08-07;09:18:00;BENEFIT-SYSTEMS;BFT (BENEFIT);7;5415.0000;0.0000;0.00;1;5415.00
2026-08-07;09:20:00;BENEFIT-SYSTEMS;BFT (BENEFIT);8;5405.0000;-10.0000;-0.18;19;102825.00
2026-08-07;09:21:00;BENEFIT-SYSTEMS;BFT (BENEFIT);9;5410.0000;0.0000;0.00;9;48690.00
2026-08-07;09:22:00;BENEFIT-SYSTEMS;BFT (BENEFIT);10;5410.0000;0.0000;0.00;1;5410.00
2026-08-07;09:24:00;BENEFIT-SYSTEMS;BFT (BENEFIT);11;5410.0000;0.0000;0.00;1;5410.00
2026-08-07;09:32:00;BENEFIT-SYSTEMS;BFT (BENEFIT);12;5420.0000;0.0000;0.00;8;43360.00
2026-08-07;09:33:00;BENEFIT-SYSTEMS;BFT (BENEFIT);13;5420.0000;0.0000;0.00;3;16260.00
2026-08-07;09:34:00;BENEFIT-SYSTEMS;BFT (BENEFIT);14;5415.0000;0.0000;0.00;9;48740.00
2026-08-07;09:41:00;BENEFIT-SYSTEMS;BFT (BENEFIT);15;5430.0000;15.0000;0.28;7;37965.00
2026-08-07;09:42:00;BENEFIT-SYSTEMS;BFT (BENEFIT);16;5440.0000;10.0000;0.18;4;21730.00
2026-08-07;09:44:00;BENEFIT-SYSTEMS;BFT (BENEFIT);17;5415.0000;0.0000;0.00;2;10830.00
2026-08-07;09:51:00;BENEFIT-SYSTEMS;BFT (BENEFIT);18;5440.0000;0.0000;0.00;1;5440.00
2026-08-07;09:55:00;BENEFIT-SYSTEMS;BFT (BENEFIT);19;5420.0000;0.0000;0.00;26;140920.00
2026-08-07;10:00:00;BENEFIT-SYSTEMS;BFT (BENEFIT);20;5420.0000;0.0000;0.00;3;16260.00
