Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-31;09:00:00;BEST;BST (BEST);1;34.5000;0.0000;0.00;40;1380.00
2026-08-31;09:49:00;BEST;BST (BEST);2;34.0000;-0.5000;-1.45;1754;59768.50
2026-08-31;09:51:00;BEST;BST (BEST);3;34.0000;0.0000;0.00;46;1564.00
2026-08-31;11:07:00;BEST;BST (BEST);4;34.1000;0.0000;0.00;100;3410.00
2026-08-31;11:27:00;BEST;BST (BEST);5;34.1000;0.0000;0.00;111;3785.10
2026-08-31;11:28:00;BEST;BST (BEST);6;34.1000;0.0000;0.00;43;1466.30
2026-08-31;11:32:00;BEST;BST (BEST);7;34.1000;0.0000;0.00;2;68.20
2026-08-31;12:16:00;BEST;BST (BEST);8;34.0000;0.0000;0.00;100;3400.00
2026-08-31;12:24:00;BEST;BST (BEST);9;34.0000;0.0000;0.00;10;340.00
2026-08-31;13:35:00;BEST;BST (BEST);10;33.9000;0.0000;0.00;1;33.90
2026-08-31;13:45:00;BEST;BST (BEST);11;34.0000;0.0000;0.00;10;340.00
2026-08-31;13:48:00;BEST;BST (BEST);12;34.0000;0.1000;0.29;37;1257.80
2026-08-31;14:13:00;BEST;BST (BEST);13;33.9000;0.0000;0.00;250;8475.00
2026-08-31;14:15:00;BEST;BST (BEST);14;33.9000;0.0000;0.00;110;3729.00
2026-08-31;15:29:00;BEST;BST (BEST);15;34.5000;0.0000;0.00;1;34.50
2026-08-31;15:45:00;BEST;BST (BEST);16;33.9000;0.0000;0.00;12;406.80
2026-08-31;17:00:00;BEST;BST (BEST);17;34.0000;0.0000;0.00;30;1020.00
