Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-18;09:00:00;BIO-PLANET;BIP (BIOPLANET);1;24.0000;0.0000;0.00;6;144.00
2026-09-18;09:25:00;BIO-PLANET;BIP (BIOPLANET);2;24.8000;0.0000;0.00;1;24.80
2026-09-18;10:52:00;BIO-PLANET;BIP (BIOPLANET);3;24.9000;0.7000;2.89;570;13752.20
2026-09-18;11:30:00;BIO-PLANET;BIP (BIOPLANET);4;24.0000;0.0000;0.00;20;480.00
2026-09-18;11:37:00;BIO-PLANET;BIP (BIOPLANET);5;24.0000;0.0000;0.00;10;240.00
2026-09-18;11:39:00;BIO-PLANET;BIP (BIOPLANET);6;24.0000;0.0000;0.00;320;7680.00
2026-09-18;11:53:00;BIO-PLANET;BIP (BIOPLANET);7;24.9000;0.9000;3.75;480;11585.00
2026-09-18;11:56:00;BIO-PLANET;BIP (BIOPLANET);8;24.0000;0.0000;0.00;90;2160.00
2026-09-18;12:00:00;BIO-PLANET;BIP (BIOPLANET);9;24.0000;0.0000;0.00;370;8880.00
2026-09-18;12:31:00;BIO-PLANET;BIP (BIOPLANET);10;24.9000;0.1000;0.40;100;2481.00
2026-09-18;13:35:00;BIO-PLANET;BIP (BIOPLANET);11;24.0000;0.0000;0.00;109;2616.00
2026-09-18;14:01:00;BIO-PLANET;BIP (BIOPLANET);12;23.5000;-0.1000;-0.42;66;1556.00
2026-09-18;14:02:00;BIO-PLANET;BIP (BIOPLANET);13;24.0000;0.0000;0.00;1;24.00
2026-09-18;14:03:00;BIO-PLANET;BIP (BIOPLANET);14;23.5000;0.0000;0.00;30;705.00
2026-09-18;15:03:00;BIO-PLANET;BIP (BIOPLANET);15;24.0000;0.0000;0.00;8;192.00
2026-09-18;15:04:00;BIO-PLANET;BIP (BIOPLANET);16;24.0000;0.0000;0.00;8;192.00
2026-09-18;15:17:00;BIO-PLANET;BIP (BIOPLANET);17;23.0000;-0.5000;-2.13;2103;48789.00
2026-09-18;15:18:00;BIO-PLANET;BIP (BIOPLANET);18;24.0000;1.0000;4.35;683;16212.00
2026-09-18;15:19:00;BIO-PLANET;BIP (BIOPLANET);19;24.8000;0.0000;0.00;147;3645.60
2026-09-18;16:06:00;BIO-PLANET;BIP (BIOPLANET);20;24.8000;0.8000;3.33;70;1717.50
2026-09-18;16:10:00;BIO-PLANET;BIP (BIOPLANET);21;24.0000;0.0000;0.00;8;192.00
2026-09-18;16:13:00;BIO-PLANET;BIP (BIOPLANET);22;24.9000;0.1000;0.40;110;2728.10
2026-09-18;16:37:00;BIO-PLANET;BIP (BIOPLANET);23;24.9000;0.0000;0.00;58;1444.20
