Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;BIOMAXIMA;BMX (BIOMAXIMA);1;9.8200;0.0000;0.00;50;491.00
2026-08-05;09:05:00;BIOMAXIMA;BMX (BIOMAXIMA);2;9.8600;0.0000;0.00;22;216.92
2026-08-05;09:23:00;BIOMAXIMA;BMX (BIOMAXIMA);3;9.8600;0.0000;0.00;78;769.08
2026-08-05;12:17:00;BIOMAXIMA;BMX (BIOMAXIMA);4;9.8600;0.0000;0.00;1;9.86
2026-08-05;12:46:00;BIOMAXIMA;BMX (BIOMAXIMA);5;9.8600;0.0000;0.00;5;49.30
2026-08-05;12:59:00;BIOMAXIMA;BMX (BIOMAXIMA);6;9.8200;0.0000;0.00;115;1129.30
2026-08-05;14:26:00;BIOMAXIMA;BMX (BIOMAXIMA);7;9.8600;0.0000;0.00;6;59.16
2026-08-05;15:57:00;BIOMAXIMA;BMX (BIOMAXIMA);8;9.8600;0.0000;0.00;400;3944.00
2026-08-05;15:58:00;BIOMAXIMA;BMX (BIOMAXIMA);9;9.8600;0.0000;0.00;38;374.68
2026-08-05;17:00:00;BIOMAXIMA;BMX (BIOMAXIMA);10;9.9100;0.0000;0.00;11;109.01
