Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-07;09:00:00;BIOTON;BIO (BIOTON);1;3.8400;0.0000;0.00;2135;8187.74
2026-09-07;09:20:00;BIOTON;BIO (BIOTON);2;3.8200;0.0000;0.00;15;57.30
2026-09-07;09:36:00;BIOTON;BIO (BIOTON);3;3.8200;0.0000;0.00;555;2120.10
2026-09-07;10:17:00;BIOTON;BIO (BIOTON);4;3.8200;0.0000;0.00;50;190.75
2026-09-07;10:31:00;BIOTON;BIO (BIOTON);5;3.8200;0.0000;0.00;4;15.26
2026-09-07;10:42:00;BIOTON;BIO (BIOTON);6;3.8200;0.0000;0.00;46;175.49
2026-09-07;10:57:00;BIOTON;BIO (BIOTON);7;3.8200;0.0000;0.00;899;3431.91
2026-09-07;11:01:00;BIOTON;BIO (BIOTON);8;3.8200;0.0000;0.00;6926;26457.32
2026-09-07;11:02:00;BIOTON;BIO (BIOTON);9;3.8000;0.0000;0.00;55;209.00
2026-09-07;11:05:00;BIOTON;BIO (BIOTON);10;3.7800;0.0000;0.00;40;151.20
2026-09-07;11:12:00;BIOTON;BIO (BIOTON);11;3.8000;0.0000;0.00;38;144.21
2026-09-07;11:28:00;BIOTON;BIO (BIOTON);12;3.7900;0.0000;0.00;6;22.74
2026-09-07;11:48:00;BIOTON;BIO (BIOTON);13;3.8100;0.0000;0.00;10;38.05
2026-09-07;11:52:00;BIOTON;BIO (BIOTON);14;3.8400;0.0300;0.79;36;137.19
2026-09-07;11:58:00;BIOTON;BIO (BIOTON);15;3.8100;0.0000;0.00;2;7.61
2026-09-07;11:59:00;BIOTON;BIO (BIOTON);16;3.8400;0.0100;0.26;150;575.21
2026-09-07;12:20:00;BIOTON;BIO (BIOTON);17;3.8400;0.0100;0.26;200;766.99
2026-09-07;12:47:00;BIOTON;BIO (BIOTON);18;3.8400;0.0100;0.26;31;118.87
2026-09-07;12:58:00;BIOTON;BIO (BIOTON);19;3.8100;0.0000;0.00;2;7.62
2026-09-07;13:49:00;BIOTON;BIO (BIOTON);20;3.8000;0.0000;0.00;93;353.40
2026-09-07;13:50:00;BIOTON;BIO (BIOTON);21;3.8000;0.0000;0.00;537;2040.60
2026-09-07;14:06:00;BIOTON;BIO (BIOTON);22;3.7900;0.0000;0.00;38;144.02
2026-09-07;14:12:00;BIOTON;BIO (BIOTON);23;3.7800;-0.0100;-0.26;532;2013.48
2026-09-07;14:16:00;BIOTON;BIO (BIOTON);24;3.7800;0.0000;0.00;150;567.00
