Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-22;09:00:00;BLOOBER-TEAM;BLO (BLOOBER);1;23.3500;0.0000;0.00;22;513.70
2026-07-22;09:04:00;BLOOBER-TEAM;BLO (BLOOBER);2;23.6000;0.0000;0.00;10;236.00
2026-07-22;09:07:00;BLOOBER-TEAM;BLO (BLOOBER);3;23.6000;0.0000;0.00;2;47.20
2026-07-22;09:31:00;BLOOBER-TEAM;BLO (BLOOBER);4;23.6000;0.0000;0.00;48;1132.80
2026-07-22;09:41:00;BLOOBER-TEAM;BLO (BLOOBER);5;23.6000;0.0000;0.00;2;47.20
2026-07-22;09:42:00;BLOOBER-TEAM;BLO (BLOOBER);6;23.6500;0.0500;0.21;100;2364.60
2026-07-22;09:45:00;BLOOBER-TEAM;BLO (BLOOBER);7;23.6000;0.1000;0.43;46;1081.50
2026-07-22;09:51:00;BLOOBER-TEAM;BLO (BLOOBER);8;23.6500;0.0000;0.00;21;496.65
2026-07-22;09:52:00;BLOOBER-TEAM;BLO (BLOOBER);9;23.6000;0.0000;0.00;300;7080.00
2026-07-22;10:02:00;BLOOBER-TEAM;BLO (BLOOBER);10;23.6500;0.0000;0.00;1;23.65
2026-07-22;10:06:00;BLOOBER-TEAM;BLO (BLOOBER);11;23.6500;0.0000;0.00;60;1419.00
2026-07-22;10:08:00;BLOOBER-TEAM;BLO (BLOOBER);12;23.5500;0.0000;0.00;63;1483.65
2026-07-22;10:36:00;BLOOBER-TEAM;BLO (BLOOBER);13;23.6000;-0.0500;-0.21;81;1911.65
2026-07-22;10:37:00;BLOOBER-TEAM;BLO (BLOOBER);14;23.6000;0.0000;0.00;2;47.20
2026-07-22;10:43:00;BLOOBER-TEAM;BLO (BLOOBER);15;23.6500;0.0500;0.21;423;10002.50
2026-07-22;11:19:00;BLOOBER-TEAM;BLO (BLOOBER);16;23.6000;0.0000;0.00;2;47.20
2026-07-22;12:00:00;BLOOBER-TEAM;BLO (BLOOBER);17;23.6000;0.0000;0.00;1;23.60
2026-07-22;12:52:00;BLOOBER-TEAM;BLO (BLOOBER);18;23.1500;-0.4000;-1.70;377;8786.40
2026-07-22;12:53:00;BLOOBER-TEAM;BLO (BLOOBER);19;23.5000;0.0000;0.00;1;23.50
2026-07-22;13:12:00;BLOOBER-TEAM;BLO (BLOOBER);20;23.6000;0.0000;0.00;1;23.60
2026-07-22;13:13:00;BLOOBER-TEAM;BLO (BLOOBER);21;23.6500;0.0000;0.00;100;2365.00
2026-07-22;13:17:00;BLOOBER-TEAM;BLO (BLOOBER);22;23.6000;0.0000;0.00;9;212.40
2026-07-22;13:23:00;BLOOBER-TEAM;BLO (BLOOBER);23;23.2000;-0.1000;-0.43;60;1392.30
2026-07-22;13:25:00;BLOOBER-TEAM;BLO (BLOOBER);24;23.5000;0.0000;0.00;1;23.50
2026-07-22;13:27:00;BLOOBER-TEAM;BLO (BLOOBER);25;23.6000;0.0000;0.00;3;70.80
2026-07-22;13:38:00;BLOOBER-TEAM;BLO (BLOOBER);26;24.0000;0.4000;1.69;3113;74341.95
2026-07-22;13:39:00;BLOOBER-TEAM;BLO (BLOOBER);27;24.5000;0.5500;2.30;2100;50433.55
2026-07-22;13:43:00;BLOOBER-TEAM;BLO (BLOOBER);28;24.1000;0.0000;0.00;4;96.40
2026-07-22;13:45:00;BLOOBER-TEAM;BLO (BLOOBER);29;24.0000;0.0000;0.00;10;240.00
2026-07-22;13:47:00;BLOOBER-TEAM;BLO (BLOOBER);30;24.0000;0.0000;0.00;900;21600.00
2026-07-22;14:02:00;BLOOBER-TEAM;BLO (BLOOBER);31;23.9500;0.0000;0.00;85;2035.75
2026-07-22;14:20:00;BLOOBER-TEAM;BLO (BLOOBER);32;23.5000;-0.1000;-0.42;900;21151.90
2026-07-22;14:24:00;BLOOBER-TEAM;BLO (BLOOBER);33;23.8000;0.0000;0.00;8;190.40
2026-07-22;14:34:00;BLOOBER-TEAM;BLO (BLOOBER);34;23.5000;0.0000;0.00;3;70.50
2026-07-22;14:59:00;BLOOBER-TEAM;BLO (BLOOBER);35;23.4500;-0.0500;-0.21;10;234.75
2026-07-22;15:04:00;BLOOBER-TEAM;BLO (BLOOBER);36;23.8000;0.0000;0.00;121;2879.80
2026-07-22;15:07:00;BLOOBER-TEAM;BLO (BLOOBER);37;23.8000;0.0000;0.00;2;47.60
2026-07-22;15:21:00;BLOOBER-TEAM;BLO (BLOOBER);38;23.8000;0.0000;0.00;3;71.40
2026-07-22;15:27:00;BLOOBER-TEAM;BLO (BLOOBER);39;23.8000;0.0500;0.21;63;1497.80
2026-07-22;15:29:00;BLOOBER-TEAM;BLO (BLOOBER);40;23.7500;0.0000;0.00;23;546.25
2026-07-22;15:30:00;BLOOBER-TEAM;BLO (BLOOBER);41;23.8000;0.0000;0.00;168;3998.40
2026-07-22;15:31:00;BLOOBER-TEAM;BLO (BLOOBER);42;23.6000;-0.2000;-0.84;34;808.40
2026-07-22;15:32:00;BLOOBER-TEAM;BLO (BLOOBER);43;23.8000;0.0000;0.00;42;999.60
2026-07-22;15:35:00;BLOOBER-TEAM;BLO (BLOOBER);44;23.6000;0.0000;0.00;120;2832.00
2026-07-22;15:36:00;BLOOBER-TEAM;BLO (BLOOBER);45;23.8000;0.0000;0.00;2;47.60
2026-07-22;15:48:00;BLOOBER-TEAM;BLO (BLOOBER);46;23.8000;0.0000;0.00;93;2213.40
2026-07-22;15:51:00;BLOOBER-TEAM;BLO (BLOOBER);47;23.6000;0.0000;0.00;200;4720.00
2026-07-22;15:57:00;BLOOBER-TEAM;BLO (BLOOBER);48;23.8000;0.0000;0.00;50;1190.00
2026-07-22;15:59:00;BLOOBER-TEAM;BLO (BLOOBER);49;23.8000;0.0000;0.00;50;1190.00
2026-07-22;16:09:00;BLOOBER-TEAM;BLO (BLOOBER);50;23.6000;0.0000;0.00;27;637.20
2026-07-22;16:16:00;BLOOBER-TEAM;BLO (BLOOBER);51;23.8000;0.0000;0.00;21;499.80
2026-07-22;16:17:00;BLOOBER-TEAM;BLO (BLOOBER);52;23.8000;0.0000;0.00;40;952.00
2026-07-22;16:29:00;BLOOBER-TEAM;BLO (BLOOBER);53;23.8000;0.0000;0.00;5;119.00
2026-07-22;16:32:00;BLOOBER-TEAM;BLO (BLOOBER);54;23.6000;-0.0500;-0.21;780;18414.75
2026-07-22;16:34:00;BLOOBER-TEAM;BLO (BLOOBER);55;23.6500;0.0000;0.00;15;354.75
2026-07-22;16:37:00;BLOOBER-TEAM;BLO (BLOOBER);56;23.6500;0.0000;0.00;300;7095.00
2026-07-22;16:39:00;BLOOBER-TEAM;BLO (BLOOBER);57;23.6500;0.0000;0.00;1;23.65
2026-07-22;16:42:00;BLOOBER-TEAM;BLO (BLOOBER);58;23.6500;0.0000;0.00;60;1419.00
2026-07-22;16:47:00;BLOOBER-TEAM;BLO (BLOOBER);59;23.6500;0.0000;0.00;31;733.15
2026-07-22;16:48:00;BLOOBER-TEAM;BLO (BLOOBER);60;23.6500;0.0000;0.00;165;3902.25
2026-07-22;16:49:00;BLOOBER-TEAM;BLO (BLOOBER);61;23.8000;0.0000;0.00;100;2380.00
