Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;BNP;BNP (BNPPPL);1;155.0000;1.0000;0.65;478;74033.00
2026-08-05;09:04:00;BNP;BNP (BNPPPL);2;154.0000;0.0000;0.00;182;28028.00
2026-08-05;09:05:00;BNP;BNP (BNPPPL);3;154.0000;0.0000;0.00;9;1386.00
2026-08-05;09:06:00;BNP;BNP (BNPPPL);4;154.0000;0.0000;0.00;2;308.00
2026-08-05;09:08:00;BNP;BNP (BNPPPL);5;154.0000;0.0000;0.00;1;154.00
2026-08-05;09:09:00;BNP;BNP (BNPPPL);6;154.0000;0.0000;0.00;8;1232.00
2026-08-05;09:10:00;BNP;BNP (BNPPPL);7;153.8000;0.0000;0.00;129;19840.20
2026-08-05;09:11:00;BNP;BNP (BNPPPL);8;153.6000;0.0000;0.00;7;1075.20
2026-08-05;09:13:00;BNP;BNP (BNPPPL);9;153.0000;0.0000;0.00;140;21420.00
2026-08-05;09:16:00;BNP;BNP (BNPPPL);10;153.0000;0.4000;0.26;3;458.20
2026-08-05;09:19:00;BNP;BNP (BNPPPL);11;153.0000;0.0000;0.00;78;11934.00
2026-08-05;09:22:00;BNP;BNP (BNPPPL);12;153.0000;0.0000;0.00;8;1224.00
2026-08-05;09:26:00;BNP;BNP (BNPPPL);13;153.0000;0.0000;0.00;1;153.00
2026-08-05;09:34:00;BNP;BNP (BNPPPL);14;153.0000;0.0000;0.00;71;10863.00
2026-08-05;09:36:00;BNP;BNP (BNPPPL);15;153.2000;0.0000;0.00;110;16852.00
2026-08-05;09:39:00;BNP;BNP (BNPPPL);16;152.8000;0.0000;0.00;64;9779.20
2026-08-05;09:42:00;BNP;BNP (BNPPPL);17;152.8000;0.0000;0.00;1;152.80
2026-08-05;09:50:00;BNP;BNP (BNPPPL);18;153.0000;0.0000;0.00;1;153.00
2026-08-05;09:51:00;BNP;BNP (BNPPPL);19;152.8000;0.0000;0.00;55;8404.00
2026-08-05;09:53:00;BNP;BNP (BNPPPL);20;152.6000;0.0000;0.00;45;6867.00
2026-08-05;09:55:00;BNP;BNP (BNPPPL);21;152.4000;0.0000;0.00;175;26670.00
2026-08-05;09:57:00;BNP;BNP (BNPPPL);22;152.2000;0.0000;0.00;45;6849.00
2026-08-05;09:58:00;BNP;BNP (BNPPPL);23;147.0000;-5.2000;-3.42;1290;193802.00
2026-08-05;09:59:00;BNP;BNP (BNPPPL);24;151.2000;0.8000;0.53;824;124686.00
2026-08-05;10:00:00;BNP;BNP (BNPPPL);25;152.0000;0.8000;0.53;111;16833.20
2026-08-05;10:01:00;BNP;BNP (BNPPPL);26;151.2000;0.0000;0.00;68;10281.60
2026-08-05;10:05:00;BNP;BNP (BNPPPL);27;151.0000;0.0000;0.00;15;2265.00
2026-08-05;10:06:00;BNP;BNP (BNPPPL);28;151.8000;0.0000;0.00;1;151.80
2026-08-05;10:07:00;BNP;BNP (BNPPPL);29;151.6000;0.0000;0.00;2;303.20
2026-08-05;10:09:00;BNP;BNP (BNPPPL);30;151.8000;0.2000;0.13;90;13652.00
