Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-17;09:00:00;BOGDANKA;LWB (BOGDANKA);1;25.8000;0.0000;0.00;1590;41054.00
2026-09-17;09:01:00;BOGDANKA;LWB (BOGDANKA);2;25.8000;-0.0500;-0.19;3128;80727.05
2026-09-17;09:02:00;BOGDANKA;LWB (BOGDANKA);3;25.9000;0.0000;0.00;70;1813.00
2026-09-17;09:03:00;BOGDANKA;LWB (BOGDANKA);4;25.8000;-0.0500;-0.19;1526;39566.20
2026-09-17;09:04:00;BOGDANKA;LWB (BOGDANKA);5;25.9500;0.0500;0.19;660;17114.15
2026-09-17;09:05:00;BOGDANKA;LWB (BOGDANKA);6;26.0500;0.1000;0.39;1810;47142.20
2026-09-17;09:06:00;BOGDANKA;LWB (BOGDANKA);7;26.1000;0.0500;0.19;6125;159562.50
2026-09-17;09:07:00;BOGDANKA;LWB (BOGDANKA);8;26.2000;0.1000;0.38;2957;77374.80
2026-09-17;09:08:00;BOGDANKA;LWB (BOGDANKA);9;26.1000;0.0000;0.00;500;13050.00
2026-09-17;09:09:00;BOGDANKA;LWB (BOGDANKA);10;26.1000;-0.1000;-0.38;8473;222300.50
2026-09-17;09:10:00;BOGDANKA;LWB (BOGDANKA);11;26.2500;0.0000;0.00;233;6116.25
2026-09-17;09:11:00;BOGDANKA;LWB (BOGDANKA);12;26.4500;0.1500;0.57;8857;234074.00
2026-09-17;09:12:00;BOGDANKA;LWB (BOGDANKA);13;26.5000;0.0000;0.00;25;662.50
2026-09-17;09:13:00;BOGDANKA;LWB (BOGDANKA);14;26.6000;0.1500;0.57;12280;325549.10
2026-09-17;09:14:00;BOGDANKA;LWB (BOGDANKA);15;26.8000;0.1500;0.56;5184;138595.40
2026-09-17;09:15:00;BOGDANKA;LWB (BOGDANKA);16;27.0000;0.1500;0.56;14420;388951.90
2026-09-17;09:16:00;BOGDANKA;LWB (BOGDANKA);17;27.0000;0.0500;0.19;3017;81442.35
2026-09-17;09:17:00;BOGDANKA;LWB (BOGDANKA);18;26.8000;-0.1500;-0.56;1505;40602.60
2026-09-17;09:18:00;BOGDANKA;LWB (BOGDANKA);19;26.8000;-0.0500;-0.19;335;8987.30
2026-09-17;09:19:00;BOGDANKA;LWB (BOGDANKA);20;26.8500;0.0500;0.19;2107;56585.25
2026-09-17;09:20:00;BOGDANKA;LWB (BOGDANKA);21;26.7500;-0.0500;-0.19;786;21054.25
2026-09-17;09:21:00;BOGDANKA;LWB (BOGDANKA);22;26.6500;-0.0500;-0.19;1240;33087.65
2026-09-17;09:22:00;BOGDANKA;LWB (BOGDANKA);23;26.7000;0.0000;0.00;319;8517.30
2026-09-17;09:23:00;BOGDANKA;LWB (BOGDANKA);24;26.7500;-0.1000;-0.37;1077;28827.45
2026-09-17;09:24:00;BOGDANKA;LWB (BOGDANKA);25;26.8000;0.0500;0.19;650;17402.50
2026-09-17;09:25:00;BOGDANKA;LWB (BOGDANKA);26;26.9000;0.0500;0.19;800;21506.70
2026-09-17;09:26:00;BOGDANKA;LWB (BOGDANKA);27;27.0500;0.1000;0.37;9159;247985.10
