Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-19;09:00:00;BORYSZEW;BRS (BORYSZEW);1;5.0000;-0.0100;-0.20;6835;34236.53
2026-08-19;09:02:00;BORYSZEW;BRS (BORYSZEW);2;5.0100;0.0100;0.20;200;1000.78
2026-08-19;09:07:00;BORYSZEW;BRS (BORYSZEW);3;4.9800;-0.0300;-0.60;1231;6139.62
2026-08-19;09:08:00;BORYSZEW;BRS (BORYSZEW);4;5.0100;0.0000;0.00;1;5.01
2026-08-19;09:12:00;BORYSZEW;BRS (BORYSZEW);5;5.0100;0.0200;0.40;5;25.03
2026-08-19;09:13:00;BORYSZEW;BRS (BORYSZEW);6;5.0000;0.0000;0.00;7;35.00
2026-08-19;09:37:00;BORYSZEW;BRS (BORYSZEW);7;5.0000;0.0000;0.00;50;250.00
2026-08-19;09:38:00;BORYSZEW;BRS (BORYSZEW);8;4.9800;0.0000;0.00;196;976.08
2026-08-19;09:41:00;BORYSZEW;BRS (BORYSZEW);9;4.9800;0.0000;0.00;60;298.80
2026-08-19;09:47:00;BORYSZEW;BRS (BORYSZEW);10;5.0000;0.0000;0.00;362;1810.00
2026-08-19;09:55:00;BORYSZEW;BRS (BORYSZEW);11;5.0000;0.0000;0.00;100;500.00
2026-08-19;09:58:00;BORYSZEW;BRS (BORYSZEW);12;4.9900;0.0000;0.00;2751;13738.26
2026-08-19;10:04:00;BORYSZEW;BRS (BORYSZEW);13;5.0000;0.0000;0.00;300;1500.00
2026-08-19;10:07:00;BORYSZEW;BRS (BORYSZEW);14;5.0000;0.0000;0.00;10;50.00
2026-08-19;10:13:00;BORYSZEW;BRS (BORYSZEW);15;5.0000;0.0000;0.00;3;15.00
2026-08-19;10:18:00;BORYSZEW;BRS (BORYSZEW);16;5.0000;0.0000;0.00;100;500.00
2026-08-19;10:27:00;BORYSZEW;BRS (BORYSZEW);17;5.0100;0.0000;0.00;67;335.67
2026-08-19;10:31:00;BORYSZEW;BRS (BORYSZEW);18;4.9900;0.0000;0.00;1450;7228.25
2026-08-19;10:32:00;BORYSZEW;BRS (BORYSZEW);19;5.0100;0.0000;0.00;3;15.03
2026-08-19;10:34:00;BORYSZEW;BRS (BORYSZEW);20;4.9900;0.0000;0.00;150;748.50
2026-08-19;10:37:00;BORYSZEW;BRS (BORYSZEW);21;5.0100;0.0000;0.00;300;1503.00
2026-08-19;10:41:00;BORYSZEW;BRS (BORYSZEW);22;5.0100;0.0000;0.00;5;25.05
2026-08-19;10:45:00;BORYSZEW;BRS (BORYSZEW);23;5.0100;0.0000;0.00;3;15.03
2026-08-19;10:48:00;BORYSZEW;BRS (BORYSZEW);24;5.0100;0.0000;0.00;200;1002.00
2026-08-19;10:50:00;BORYSZEW;BRS (BORYSZEW);25;4.9800;-0.0300;-0.60;1861;9272.78
2026-08-19;11:01:00;BORYSZEW;BRS (BORYSZEW);26;4.9700;-0.0100;-0.20;4778;23726.26
2026-08-19;11:04:00;BORYSZEW;BRS (BORYSZEW);27;4.9700;-0.0200;-0.40;1525;7606.37
2026-08-19;11:11:00;BORYSZEW;BRS (BORYSZEW);28;4.9900;0.0000;0.00;100;499.23
2026-08-19;11:17:00;BORYSZEW;BRS (BORYSZEW);29;4.9700;0.0000;0.00;11;54.67
2026-08-19;11:27:00;BORYSZEW;BRS (BORYSZEW);30;4.9900;0.0000;0.00;20;99.90
2026-08-19;11:30:00;BORYSZEW;BRS (BORYSZEW);31;4.9600;-0.0100;-0.20;3864;19179.29
2026-08-19;11:33:00;BORYSZEW;BRS (BORYSZEW);32;4.9600;-0.0300;-0.60;1422;7053.89
2026-08-19;11:34:00;BORYSZEW;BRS (BORYSZEW);33;4.9500;-0.0100;-0.20;500;2478.25
2026-08-19;11:36:00;BORYSZEW;BRS (BORYSZEW);34;4.9500;0.0000;0.00;1340;6639.71
2026-08-19;11:45:00;BORYSZEW;BRS (BORYSZEW);35;4.9700;0.0000;0.00;5;24.85
2026-08-19;11:46:00;BORYSZEW;BRS (BORYSZEW);36;4.9700;0.0000;0.00;53;263.67
2026-08-19;12:03:00;BORYSZEW;BRS (BORYSZEW);37;4.9500;-0.0100;-0.20;332;1646.31
2026-08-19;12:08:00;BORYSZEW;BRS (BORYSZEW);38;4.9900;0.0200;0.40;250;1245.45
2026-08-19;12:11:00;BORYSZEW;BRS (BORYSZEW);39;4.9700;0.0100;0.20;750;3723.00
2026-08-19;12:15:00;BORYSZEW;BRS (BORYSZEW);40;4.9700;0.0000;0.00;102;507.45
2026-08-19;12:16:00;BORYSZEW;BRS (BORYSZEW);41;4.9700;0.0000;0.00;3;14.93
2026-08-19;12:17:00;BORYSZEW;BRS (BORYSZEW);42;4.9700;0.0000;0.00;3;14.93
2026-08-19;12:25:00;BORYSZEW;BRS (BORYSZEW);43;4.9700;0.0000;0.00;180;895.50
2026-08-19;12:29:00;BORYSZEW;BRS (BORYSZEW);44;4.9700;0.0000;0.00;5;24.82
2026-08-19;12:38:00;BORYSZEW;BRS (BORYSZEW);45;4.9700;0.0000;0.00;1;4.97
2026-08-19;12:44:00;BORYSZEW;BRS (BORYSZEW);46;4.9700;0.0000;0.00;5;24.88
2026-08-19;12:48:00;BORYSZEW;BRS (BORYSZEW);47;4.9700;0.0000;0.00;78;388.05
2026-08-19;12:50:00;BORYSZEW;BRS (BORYSZEW);48;4.9600;-0.0100;-0.20;900;4470.00
2026-08-19;12:51:00;BORYSZEW;BRS (BORYSZEW);49;4.9700;0.0000;0.00;208;1034.80
2026-08-19;13:00:00;BORYSZEW;BRS (BORYSZEW);50;4.9600;-0.0100;-0.20;997;4952.54
2026-08-19;13:05:00;BORYSZEW;BRS (BORYSZEW);51;4.9700;0.0000;0.00;3;14.93
2026-08-19;13:40:00;BORYSZEW;BRS (BORYSZEW);52;4.9700;0.0000;0.00;30;149.25
2026-08-19;13:42:00;BORYSZEW;BRS (BORYSZEW);53;4.9700;0.0000;0.00;266;1322.02
2026-08-19;13:52:00;BORYSZEW;BRS (BORYSZEW);54;4.9800;0.0100;0.20;800;3981.18
2026-08-19;13:55:00;BORYSZEW;BRS (BORYSZEW);55;4.9700;0.0000;0.00;7;34.83
2026-08-19;13:57:00;BORYSZEW;BRS (BORYSZEW);56;4.9700;0.0000;0.00;112;557.20
2026-08-19;13:59:00;BORYSZEW;BRS (BORYSZEW);57;4.9700;0.0000;0.00;32;159.20
2026-08-19;14:01:00;BORYSZEW;BRS (BORYSZEW);58;4.9700;0.0000;0.00;759;3773.03
2026-08-19;14:03:00;BORYSZEW;BRS (BORYSZEW);59;4.9700;0.0000;0.00;1;4.97
2026-08-19;14:23:00;BORYSZEW;BRS (BORYSZEW);60;4.9700;0.0000;0.00;169;839.08
2026-08-19;14:27:00;BORYSZEW;BRS (BORYSZEW);61;4.9600;0.0000;0.00;600;2976.00
2026-08-19;14:34:00;BORYSZEW;BRS (BORYSZEW);62;4.9600;0.0000;0.00;1;4.96
2026-08-19;14:42:00;BORYSZEW;BRS (BORYSZEW);63;4.9600;0.0000;0.00;201;996.96
2026-08-19;14:51:00;BORYSZEW;BRS (BORYSZEW);64;4.9700;0.0000;0.00;2500;12437.50
2026-08-19;14:57:00;BORYSZEW;BRS (BORYSZEW);65;4.9600;0.0000;0.00;500;2480.00
2026-08-19;14:59:00;BORYSZEW;BRS (BORYSZEW);66;4.9700;0.0000;0.00;80;398.00
2026-08-19;15:00:00;BORYSZEW;BRS (BORYSZEW);67;4.9600;0.0000;0.00;40;198.40
2026-08-19;15:05:00;BORYSZEW;BRS (BORYSZEW);68;4.9700;0.0000;0.00;402;1999.94
2026-08-19;15:12:00;BORYSZEW;BRS (BORYSZEW);69;4.9700;0.0000;0.00;241;1198.97
2026-08-19;15:14:00;BORYSZEW;BRS (BORYSZEW);70;4.9700;0.0000;0.00;162;804.62
2026-08-19;15:15:00;BORYSZEW;BRS (BORYSZEW);71;4.9700;0.0000;0.00;100;497.00
2026-08-19;15:20:00;BORYSZEW;BRS (BORYSZEW);72;4.9700;0.0000;0.00;1;4.97
2026-08-19;15:21:00;BORYSZEW;BRS (BORYSZEW);73;4.9800;0.0100;0.20;512;2548.48
2026-08-19;15:22:00;BORYSZEW;BRS (BORYSZEW);74;4.9800;0.0000;0.00;5;24.90
2026-08-19;15:27:00;BORYSZEW;BRS (BORYSZEW);75;4.9700;0.0000;0.00;829;4124.28
2026-08-19;15:28:00;BORYSZEW;BRS (BORYSZEW);76;4.9800;0.0000;0.00;8;39.84
2026-08-19;15:29:00;BORYSZEW;BRS (BORYSZEW);77;4.9800;0.0000;0.00;2531;12604.38
2026-08-19;15:38:00;BORYSZEW;BRS (BORYSZEW);78;4.9800;0.0000;0.00;5;24.90
2026-08-19;15:40:00;BORYSZEW;BRS (BORYSZEW);79;4.9900;0.0200;0.40;601;2992.88
2026-08-19;15:41:00;BORYSZEW;BRS (BORYSZEW);80;4.9900;0.0000;0.00;19;94.81
2026-08-19;15:42:00;BORYSZEW;BRS (BORYSZEW);81;4.9900;0.0100;0.20;356;1772.94
2026-08-19;15:43:00;BORYSZEW;BRS (BORYSZEW);82;4.9600;-0.0200;-0.40;1280;6365.39
2026-08-19;15:44:00;BORYSZEW;BRS (BORYSZEW);83;4.9900;0.0000;0.00;5;24.95
2026-08-19;15:45:00;BORYSZEW;BRS (BORYSZEW);84;4.9700;0.0000;0.00;200;992.99
