Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-26;09:00:00;BOWIM;BOW (BOWIM);1;8.3200;0.0000;0.00;263;2188.16
2026-08-26;09:06:00;BOWIM;BOW (BOWIM);2;8.4800;0.0000;0.00;3;25.44
2026-08-26;09:12:00;BOWIM;BOW (BOWIM);3;8.4800;0.0000;0.00;3;25.44
2026-08-26;10:02:00;BOWIM;BOW (BOWIM);4;8.3400;-0.0400;-0.48;140;1171.62
2026-08-26;10:23:00;BOWIM;BOW (BOWIM);5;8.4000;0.0000;0.00;2;16.80
2026-08-26;10:27:00;BOWIM;BOW (BOWIM);6;8.4400;0.0000;0.00;3;25.32
2026-08-26;11:14:00;BOWIM;BOW (BOWIM);7;8.3000;-0.1000;-1.19;1000;8353.34
2026-08-26;11:50:00;BOWIM;BOW (BOWIM);8;8.4600;0.0000;0.00;2;16.92
2026-08-26;13:49:00;BOWIM;BOW (BOWIM);9;8.3200;-0.1200;-1.42;12;100.84
2026-08-26;14:06:00;BOWIM;BOW (BOWIM);10;8.2800;-0.0400;-0.48;1700;14114.62
2026-08-26;14:40:00;BOWIM;BOW (BOWIM);11;8.4200;0.0000;0.00;1;8.42
2026-08-26;14:44:00;BOWIM;BOW (BOWIM);12;8.2800;-0.0200;-0.24;200;1656.54
2026-08-26;15:57:00;BOWIM;BOW (BOWIM);13;8.2600;-0.0200;-0.24;314;2597.64
2026-08-26;16:38:00;BOWIM;BOW (BOWIM);14;8.3400;0.0000;0.00;50;417.00
2026-08-26;16:39:00;BOWIM;BOW (BOWIM);15;8.3400;0.0000;0.00;1;8.34
