Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-17;09:00:00;BUDIMEX;BDX (BUDIMEX);1;736.2000;-7.6000;-1.02;83;61571.80
2026-07-17;09:01:00;BUDIMEX;BDX (BUDIMEX);2;737.2000;-1.6000;-0.22;71;52025.20
2026-07-17;09:02:00;BUDIMEX;BDX (BUDIMEX);3;737.0000;-0.2000;-0.03;9;6628.80
2026-07-17;09:03:00;BUDIMEX;BDX (BUDIMEX);4;736.8000;0.0000;0.00;1;736.80
2026-07-17;09:04:00;BUDIMEX;BDX (BUDIMEX);5;736.4000;0.0000;0.00;2;1472.80
2026-07-17;09:06:00;BUDIMEX;BDX (BUDIMEX);6;735.8000;-0.6000;-0.08;13;9571.60
2026-07-17;09:08:00;BUDIMEX;BDX (BUDIMEX);7;733.4000;-1.6000;-0.22;33;24227.00
2026-07-17;09:09:00;BUDIMEX;BDX (BUDIMEX);8;734.8000;0.0000;0.00;1;734.80
2026-07-17;09:10:00;BUDIMEX;BDX (BUDIMEX);9;736.8000;2.0000;0.27;179;131537.20
2026-07-17;09:11:00;BUDIMEX;BDX (BUDIMEX);10;735.8000;-1.6000;-0.22;96;70686.40
2026-07-17;09:12:00;BUDIMEX;BDX (BUDIMEX);11;734.0000;0.0000;0.00;1;734.00
2026-07-17;09:13:00;BUDIMEX;BDX (BUDIMEX);12;736.4000;0.0000;0.00;2;1472.80
2026-07-17;09:14:00;BUDIMEX;BDX (BUDIMEX);13;733.4000;-0.4000;-0.05;5;3667.80
2026-07-17;09:17:00;BUDIMEX;BDX (BUDIMEX);14;735.2000;0.0000;0.00;2;1470.40
2026-07-17;09:18:00;BUDIMEX;BDX (BUDIMEX);15;734.2000;1.0000;0.14;97;71164.60
2026-07-17;09:20:00;BUDIMEX;BDX (BUDIMEX);16;732.4000;-1.0000;-0.14;39;28571.20
2026-07-17;09:21:00;BUDIMEX;BDX (BUDIMEX);17;730.0000;-1.4000;-0.19;43;31411.20
2026-07-17;09:22:00;BUDIMEX;BDX (BUDIMEX);18;731.4000;1.4000;0.19;10;7301.40
2026-07-17;09:23:00;BUDIMEX;BDX (BUDIMEX);19;731.4000;0.0000;0.00;4;2925.60
2026-07-17;09:25:00;BUDIMEX;BDX (BUDIMEX);20;730.4000;-0.6000;-0.08;82;59941.80
2026-07-17;09:26:00;BUDIMEX;BDX (BUDIMEX);21;732.2000;0.0000;0.00;11;8054.20
2026-07-17;09:27:00;BUDIMEX;BDX (BUDIMEX);22;732.2000;0.0000;0.00;1;732.20
2026-07-17;09:29:00;BUDIMEX;BDX (BUDIMEX);23;733.4000;1.2000;0.16;89;65196.60
2026-07-17;09:30:00;BUDIMEX;BDX (BUDIMEX);24;733.0000;-1.6000;-0.22;3;2200.60
2026-07-17;09:31:00;BUDIMEX;BDX (BUDIMEX);25;734.6000;0.0000;0.00;8;5876.80
2026-07-17;09:32:00;BUDIMEX;BDX (BUDIMEX);26;734.6000;0.0000;0.00;3;2203.80
2026-07-17;09:33:00;BUDIMEX;BDX (BUDIMEX);27;733.4000;0.0000;0.00;10;7334.00
2026-07-17;09:35:00;BUDIMEX;BDX (BUDIMEX);28;732.6000;-2.0000;-0.27;44;32266.00
2026-07-17;09:36:00;BUDIMEX;BDX (BUDIMEX);29;731.8000;-0.2000;-0.03;12;8781.80
2026-07-17;09:37:00;BUDIMEX;BDX (BUDIMEX);30;730.0000;-1.4000;-0.19;50;36551.40
2026-07-17;09:38:00;BUDIMEX;BDX (BUDIMEX);31;730.8000;-1.0000;-0.14;16;11707.80
2026-07-17;09:41:00;BUDIMEX;BDX (BUDIMEX);32;730.4000;-1.0000;-0.14;45;32900.80
2026-07-17;09:42:00;BUDIMEX;BDX (BUDIMEX);33;729.8000;-0.6000;-0.08;70;51058.60
2026-07-17;09:43:00;BUDIMEX;BDX (BUDIMEX);34;731.4000;2.2000;0.30;64;46699.80
2026-07-17;09:44:00;BUDIMEX;BDX (BUDIMEX);35;731.0000;1.4000;0.19;19;13872.00
2026-07-17;09:45:00;BUDIMEX;BDX (BUDIMEX);36;732.4000;1.4000;0.19;94;68754.80
2026-07-17;09:46:00;BUDIMEX;BDX (BUDIMEX);37;730.4000;-0.4000;-0.05;106;77426.00
2026-07-17;09:47:00;BUDIMEX;BDX (BUDIMEX);38;730.2000;-0.2000;-0.03;41;29946.20
2026-07-17;09:48:00;BUDIMEX;BDX (BUDIMEX);39;732.0000;0.0000;0.00;18;13176.00
2026-07-17;09:49:00;BUDIMEX;BDX (BUDIMEX);40;731.8000;0.0000;0.00;10;7318.00
2026-07-17;09:50:00;BUDIMEX;BDX (BUDIMEX);41;732.6000;0.2000;0.03;18;13185.00
2026-07-17;09:51:00;BUDIMEX;BDX (BUDIMEX);42;730.6000;-0.6000;-0.08;33;24129.00
2026-07-17;09:52:00;BUDIMEX;BDX (BUDIMEX);43;732.2000;0.2000;0.03;10;7321.00
2026-07-17;09:53:00;BUDIMEX;BDX (BUDIMEX);44;732.4000;0.0000;0.00;2;1464.80
2026-07-17;09:57:00;BUDIMEX;BDX (BUDIMEX);45;730.0000;-0.6000;-0.08;46;33599.20
2026-07-17;09:58:00;BUDIMEX;BDX (BUDIMEX);46;730.0000;0.4000;0.05;2;1459.60
2026-07-17;10:00:00;BUDIMEX;BDX (BUDIMEX);47;728.4000;-0.2000;-0.03;7;5099.20
2026-07-17;10:01:00;BUDIMEX;BDX (BUDIMEX);48;729.6000;0.4000;0.05;94;68558.60
2026-07-17;10:02:00;BUDIMEX;BDX (BUDIMEX);49;730.8000;0.0000;0.00;2;1461.60
2026-07-17;10:06:00;BUDIMEX;BDX (BUDIMEX);50;729.0000;-0.2000;-0.03;16;11666.80
2026-07-17;10:07:00;BUDIMEX;BDX (BUDIMEX);51;728.0000;-1.2000;-0.16;57;41497.60
2026-07-17;10:08:00;BUDIMEX;BDX (BUDIMEX);52;728.4000;0.0000;0.00;38;27663.00
2026-07-17;10:09:00;BUDIMEX;BDX (BUDIMEX);53;729.0000;0.6000;0.08;44;32057.40
2026-07-17;10:10:00;BUDIMEX;BDX (BUDIMEX);54;727.6000;0.0000;0.00;2;1455.20
