Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-04;09:00:00;BUMECH;BMC (BUMECH);1;17.1200;-0.6500;-3.66;12438;217058.24
2026-09-04;09:01:00;BUMECH;BMC (BUMECH);2;17.1700;0.0300;0.18;255;4380.15
2026-09-04;09:02:00;BUMECH;BMC (BUMECH);3;17.2500;0.0000;0.00;2474;42709.67
2026-09-04;09:03:00;BUMECH;BMC (BUMECH);4;17.5900;-0.0100;-0.06;179;3150.20
2026-09-04;09:04:00;BUMECH;BMC (BUMECH);5;17.5900;0.0000;0.00;10;175.90
2026-09-04;09:05:00;BUMECH;BMC (BUMECH);6;17.5100;0.2100;1.21;6605;114296.55
2026-09-04;09:06:00;BUMECH;BMC (BUMECH);7;17.2500;-0.2600;-1.48;5905;102098.12
2026-09-04;09:07:00;BUMECH;BMC (BUMECH);8;17.5000;0.2300;1.33;797;13820.36
2026-09-04;09:08:00;BUMECH;BMC (BUMECH);9;17.5200;0.0200;0.11;1130;19715.04
2026-09-04;09:09:00;BUMECH;BMC (BUMECH);10;17.2500;-0.0600;-0.35;7684;132645.53
2026-09-04;09:10:00;BUMECH;BMC (BUMECH);11;17.4500;0.0100;0.06;608;10609.40
2026-09-04;09:11:00;BUMECH;BMC (BUMECH);12;17.4900;0.0000;0.00;707;12371.50
2026-09-04;09:12:00;BUMECH;BMC (BUMECH);13;17.5300;0.0000;0.00;30;525.90
2026-09-04;09:13:00;BUMECH;BMC (BUMECH);14;17.4500;0.0000;0.00;11;191.95
2026-09-04;09:14:00;BUMECH;BMC (BUMECH);15;17.3500;-0.0700;-0.40;5147;88826.46
2026-09-04;09:15:00;BUMECH;BMC (BUMECH);16;17.4100;0.0000;0.00;164;2857.23
2026-09-04;09:16:00;BUMECH;BMC (BUMECH);17;17.3500;-0.1000;-0.57;580;10091.46
2026-09-04;09:17:00;BUMECH;BMC (BUMECH);18;17.5000;0.0500;0.29;162;2829.72
2026-09-04;09:18:00;BUMECH;BMC (BUMECH);19;18.0000;0.4500;2.56;6332;112123.76
2026-09-04;09:19:00;BUMECH;BMC (BUMECH);20;17.8200;-0.1200;-0.67;1096;19546.16
2026-09-04;09:20:00;BUMECH;BMC (BUMECH);21;17.7300;-0.0400;-0.23;150;2664.14
2026-09-04;09:21:00;BUMECH;BMC (BUMECH);22;17.7300;0.0000;0.00;271;4804.83
2026-09-04;09:22:00;BUMECH;BMC (BUMECH);23;17.7600;0.0100;0.06;743;13195.93
2026-09-04;09:23:00;BUMECH;BMC (BUMECH);24;17.8000;0.0000;0.00;221;3933.86
2026-09-04;09:24:00;BUMECH;BMC (BUMECH);25;17.9600;0.1600;0.90;2764;49541.81
2026-09-04;09:25:00;BUMECH;BMC (BUMECH);26;17.8900;0.0300;0.17;594;10587.81
2026-09-04;09:26:00;BUMECH;BMC (BUMECH);27;17.9000;0.0100;0.06;30;536.74
2026-09-04;09:27:00;BUMECH;BMC (BUMECH);28;17.8600;0.0000;0.00;2251;40460.84
2026-09-04;09:28:00;BUMECH;BMC (BUMECH);29;17.9700;-0.0700;-0.39;1780;32082.52
2026-09-04;09:29:00;BUMECH;BMC (BUMECH);30;17.8900;-0.0200;-0.11;240;4296.60
2026-09-04;09:30:00;BUMECH;BMC (BUMECH);31;17.8900;0.0000;0.00;112;2003.68
2026-09-04;09:32:00;BUMECH;BMC (BUMECH);32;17.8800;0.0000;0.00;315;5633.59
2026-09-04;09:33:00;BUMECH;BMC (BUMECH);33;17.7700;-0.0700;-0.39;688;12267.62
2026-09-04;09:34:00;BUMECH;BMC (BUMECH);34;17.7200;-0.0100;-0.06;120;2127.39
2026-09-04;09:36:00;BUMECH;BMC (BUMECH);35;17.6800;-0.0400;-0.23;554;9814.48
2026-09-04;09:37:00;BUMECH;BMC (BUMECH);36;17.7900;0.1400;0.79;13996;246786.69
2026-09-04;09:38:00;BUMECH;BMC (BUMECH);37;17.8900;0.0900;0.51;634;11297.31
2026-09-04;09:41:00;BUMECH;BMC (BUMECH);38;17.7900;0.0000;0.00;247;4394.13
2026-09-04;09:43:00;BUMECH;BMC (BUMECH);39;17.8600;0.0300;0.17;276;4921.86
2026-09-04;09:44:00;BUMECH;BMC (BUMECH);40;17.8800;0.0200;0.11;894;15983.46
2026-09-04;09:45:00;BUMECH;BMC (BUMECH);41;17.9400;0.0100;0.06;140;2510.21
2026-09-04;09:46:00;BUMECH;BMC (BUMECH);42;17.7900;-0.0800;-0.45;719;12806.82
2026-09-04;09:47:00;BUMECH;BMC (BUMECH);43;17.9100;0.0000;0.00;50;895.50
2026-09-04;09:48:00;BUMECH;BMC (BUMECH);44;17.8200;0.0000;0.00;1678;29942.18
2026-09-04;09:49:00;BUMECH;BMC (BUMECH);45;17.8100;-0.0100;-0.06;310;5524.10
2026-09-04;09:50:00;BUMECH;BMC (BUMECH);46;17.8200;0.0100;0.06;30;534.50
2026-09-04;09:53:00;BUMECH;BMC (BUMECH);47;17.7800;-0.0600;-0.34;257;4579.32
2026-09-04;09:54:00;BUMECH;BMC (BUMECH);48;17.5800;-0.1600;-0.90;420;7430.72
2026-09-04;09:56:00;BUMECH;BMC (BUMECH);49;17.6000;0.0000;0.00;1330;23408.00
2026-09-04;09:57:00;BUMECH;BMC (BUMECH);50;17.8100;0.1900;1.08;204;3595.04
2026-09-04;09:58:00;BUMECH;BMC (BUMECH);51;17.6200;0.0000;0.00;200;3524.00
2026-09-04;09:59:00;BUMECH;BMC (BUMECH);52;17.8100;0.0300;0.17;190;3382.47
2026-09-04;10:00:00;BUMECH;BMC (BUMECH);53;17.7700;0.1500;0.85;174;3088.12
2026-09-04;10:01:00;BUMECH;BMC (BUMECH);54;17.7400;0.0000;0.00;46;816.20
