Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;CAP;CAP (CAPITEA);1;0.4430;0.0000;0.00;90;39.87
2026-08-07;09:27:00;CAP;CAP (CAPITEA);2;0.4390;0.0000;0.00;1;0.44
2026-08-07;09:34:00;CAP;CAP (CAPITEA);3;0.4350;-0.0040;-0.91;9872;4312.54
2026-08-07;09:38:00;CAP;CAP (CAPITEA);4;0.4400;0.0000;0.00;5;2.20
2026-08-07;09:44:00;CAP;CAP (CAPITEA);5;0.4350;0.0000;0.00;295;128.32
2026-08-07;09:48:00;CAP;CAP (CAPITEA);6;0.4330;0.0000;0.00;90;38.97
2026-08-07;09:55:00;CAP;CAP (CAPITEA);7;0.4350;0.0000;0.00;501;217.94
2026-08-07;09:56:00;CAP;CAP (CAPITEA);8;0.4350;0.0000;0.00;54;23.49
2026-08-07;10:08:00;CAP;CAP (CAPITEA);9;0.4400;0.0000;0.00;14295;6289.80
2026-08-07;10:20:00;CAP;CAP (CAPITEA);10;0.4380;0.0000;0.00;4000;1752.00
2026-08-07;10:33:00;CAP;CAP (CAPITEA);11;0.4440;0.0010;0.23;3777;1674.62
2026-08-07;11:18:00;CAP;CAP (CAPITEA);12;0.4390;0.0000;0.00;550;241.45
2026-08-07;11:24:00;CAP;CAP (CAPITEA);13;0.4440;0.0000;0.00;5;2.22
2026-08-07;11:32:00;CAP;CAP (CAPITEA);14;0.4440;0.0000;0.00;100;44.40
2026-08-07;12:14:00;CAP;CAP (CAPITEA);15;0.4440;0.0000;0.00;1488;660.67
2026-08-07;12:18:00;CAP;CAP (CAPITEA);16;0.4440;0.0000;0.00;2975;1320.90
2026-08-07;12:29:00;CAP;CAP (CAPITEA);17;0.4450;0.0000;0.00;6500;2892.50
2026-08-07;12:30:00;CAP;CAP (CAPITEA);18;0.4480;0.0020;0.45;13544;6054.13
2026-08-07;12:41:00;CAP;CAP (CAPITEA);19;0.4500;0.0010;0.22;18233;8195.07
2026-08-07;12:45:00;CAP;CAP (CAPITEA);20;0.4530;0.0000;0.00;200;90.60
2026-08-07;12:47:00;CAP;CAP (CAPITEA);21;0.4500;0.0000;0.00;18004;8101.80
2026-08-07;12:52:00;CAP;CAP (CAPITEA);22;0.4500;0.0000;0.00;128;57.60
2026-08-07;12:58:00;CAP;CAP (CAPITEA);23;0.4530;0.0030;0.67;3968;1791.90
2026-08-07;12:59:00;CAP;CAP (CAPITEA);24;0.4540;0.0000;0.00;120;54.48
2026-08-07;13:03:00;CAP;CAP (CAPITEA);25;0.4530;0.0000;0.00;1032;467.50
2026-08-07;13:04:00;CAP;CAP (CAPITEA);26;0.4540;0.0000;0.00;114;51.76
2026-08-07;13:18:00;CAP;CAP (CAPITEA);27;0.4490;0.0000;0.00;127;57.02
2026-08-07;13:21:00;CAP;CAP (CAPITEA);28;0.4490;0.0000;0.00;3772;1693.63
2026-08-07;13:22:00;CAP;CAP (CAPITEA);29;0.4490;0.0000;0.00;101;45.35
2026-08-07;13:23:00;CAP;CAP (CAPITEA);30;0.4500;0.0000;0.00;142;63.90
2026-08-07;13:57:00;CAP;CAP (CAPITEA);31;0.4500;0.0000;0.00;11000;4950.00
2026-08-07;14:12:00;CAP;CAP (CAPITEA);32;0.4500;0.0000;0.00;2858;1286.10
2026-08-07;15:08:00;CAP;CAP (CAPITEA);33;0.4520;0.0000;0.00;7000;3164.00
2026-08-07;15:27:00;CAP;CAP (CAPITEA);34;0.4530;0.0000;0.00;119;53.91
2026-08-07;15:41:00;CAP;CAP (CAPITEA);35;0.4400;-0.0040;-0.90;51400;22717.31
2026-08-07;15:42:00;CAP;CAP (CAPITEA);36;0.4440;0.0000;0.00;2000;888.00
2026-08-07;15:44:00;CAP;CAP (CAPITEA);37;0.4350;-0.0040;-0.91;59000;25759.32
2026-08-07;15:45:00;CAP;CAP (CAPITEA);38;0.4300;-0.0030;-0.69;80700;34755.24
2026-08-07;15:49:00;CAP;CAP (CAPITEA);39;0.4300;-0.0020;-0.46;38005;16355.02
2026-08-07;15:50:00;CAP;CAP (CAPITEA);40;0.4300;-0.0010;-0.23;7050;3035.85
2026-08-07;15:52:00;CAP;CAP (CAPITEA);41;0.4300;-0.0010;-0.23;9000;3874.00
2026-08-07;15:57:00;CAP;CAP (CAPITEA);42;0.4390;0.0000;0.00;2500;1097.50
2026-08-07;16:03:00;CAP;CAP (CAPITEA);43;0.4300;-0.0020;-0.46;30950;13325.05
2026-08-07;16:16:00;CAP;CAP (CAPITEA);44;0.4390;0.0000;0.00;2590;1137.01
2026-08-07;16:21:00;CAP;CAP (CAPITEA);45;0.4390;0.0000;0.00;1890;829.71
2026-08-07;16:36:00;CAP;CAP (CAPITEA);46;0.4300;-0.0040;-0.92;24308;10500.99
2026-08-07;16:45:00;CAP;CAP (CAPITEA);47;0.4390;0.0000;0.00;299;131.26
2026-08-07;17:00:00;CAP;CAP (CAPITEA);48;0.4310;0.0000;0.00;2577;1110.69
