Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-28;09:03:00;CAPITAL-PARTNERS;CPA (CAPITAL);1;1.9700;-0.0100;-0.51;2200;4349.00
2026-07-28;09:04:00;CAPITAL-PARTNERS;CPA (CAPITAL);2;1.9000;-0.0600;-3.06;27095;51626.20
2026-07-28;09:05:00;CAPITAL-PARTNERS;CPA (CAPITAL);3;1.9000;0.0000;0.00;16055;30504.50
2026-07-28;09:06:00;CAPITAL-PARTNERS;CPA (CAPITAL);4;1.9000;0.0000;0.00;15630;29697.00
2026-07-28;09:07:00;CAPITAL-PARTNERS;CPA (CAPITAL);5;1.9200;0.0200;1.05;2856;5479.50
2026-07-28;09:11:00;CAPITAL-PARTNERS;CPA (CAPITAL);6;1.9100;0.0000;0.00;1708;3262.28
2026-07-28;09:12:00;CAPITAL-PARTNERS;CPA (CAPITAL);7;1.9200;0.0000;0.00;2000;3840.00
2026-07-28;09:19:00;CAPITAL-PARTNERS;CPA (CAPITAL);8;1.9200;0.0000;0.00;100;192.00
2026-07-28;09:20:00;CAPITAL-PARTNERS;CPA (CAPITAL);9;1.9200;0.0000;0.00;2000;3840.00
2026-07-28;09:21:00;CAPITAL-PARTNERS;CPA (CAPITAL);10;1.9200;0.0000;0.00;2054;3943.68
2026-07-28;09:22:00;CAPITAL-PARTNERS;CPA (CAPITAL);11;1.9200;0.0000;0.00;2046;3928.32
2026-07-28;09:29:00;CAPITAL-PARTNERS;CPA (CAPITAL);12;1.9200;0.0000;0.00;150;288.00
2026-07-28;09:31:00;CAPITAL-PARTNERS;CPA (CAPITAL);13;1.8700;-0.0300;-1.58;21706;40873.25
2026-07-28;09:32:00;CAPITAL-PARTNERS;CPA (CAPITAL);14;1.9000;0.0000;0.00;4578;8698.20
2026-07-28;09:33:00;CAPITAL-PARTNERS;CPA (CAPITAL);15;1.9000;0.0000;0.00;685;1301.50
2026-07-28;09:36:00;CAPITAL-PARTNERS;CPA (CAPITAL);16;1.8800;0.0000;0.00;1008;1895.04
2026-07-28;09:40:00;CAPITAL-PARTNERS;CPA (CAPITAL);17;1.8900;0.0000;0.00;600;1134.00
2026-07-28;09:43:00;CAPITAL-PARTNERS;CPA (CAPITAL);18;1.9000;0.0100;0.53;2054;3884.60
2026-07-28;09:45:00;CAPITAL-PARTNERS;CPA (CAPITAL);19;1.9300;0.0100;0.52;2810;5396.03
2026-07-28;09:46:00;CAPITAL-PARTNERS;CPA (CAPITAL);20;1.9300;0.0000;0.00;23;44.39
2026-07-28;09:49:00;CAPITAL-PARTNERS;CPA (CAPITAL);21;1.9300;0.0000;0.00;1894;3655.42
2026-07-28;10:09:00;CAPITAL-PARTNERS;CPA (CAPITAL);22;1.9400;0.0000;0.00;2300;4462.00
2026-07-28;10:14:00;CAPITAL-PARTNERS;CPA (CAPITAL);23;1.9400;0.0000;0.00;3355;6508.70
2026-07-28;10:16:00;CAPITAL-PARTNERS;CPA (CAPITAL);24;1.9500;0.0000;0.00;509;992.55
2026-07-28;10:27:00;CAPITAL-PARTNERS;CPA (CAPITAL);25;1.9400;0.0000;0.00;1500;2910.00
2026-07-28;10:31:00;CAPITAL-PARTNERS;CPA (CAPITAL);26;1.9400;0.0000;0.00;1170;2269.80
2026-07-28;10:37:00;CAPITAL-PARTNERS;CPA (CAPITAL);27;1.9400;0.0000;0.00;1500;2910.00
2026-07-28;10:38:00;CAPITAL-PARTNERS;CPA (CAPITAL);28;1.9400;0.0000;0.00;373;723.62
2026-07-28;10:39:00;CAPITAL-PARTNERS;CPA (CAPITAL);29;1.9500;0.0000;0.00;2027;3952.65
2026-07-28;10:59:00;CAPITAL-PARTNERS;CPA (CAPITAL);30;1.9500;0.0000;0.00;1131;2205.45
2026-07-28;11:01:00;CAPITAL-PARTNERS;CPA (CAPITAL);31;1.9300;0.0000;0.00;5;9.65
2026-07-28;11:02:00;CAPITAL-PARTNERS;CPA (CAPITAL);32;1.9300;0.0000;0.00;1;1.93
2026-07-28;11:08:00;CAPITAL-PARTNERS;CPA (CAPITAL);33;1.9300;0.0000;0.00;1;1.93
2026-07-28;11:32:00;CAPITAL-PARTNERS;CPA (CAPITAL);34;1.9500;0.0100;0.52;2393;4659.29
2026-07-28;11:51:00;CAPITAL-PARTNERS;CPA (CAPITAL);35;1.9500;0.0100;0.52;3000;5830.00
2026-07-28;11:54:00;CAPITAL-PARTNERS;CPA (CAPITAL);36;1.9500;0.0000;0.00;2000;3900.00
2026-07-28;11:59:00;CAPITAL-PARTNERS;CPA (CAPITAL);37;1.9500;0.0000;0.00;1312;2558.40
2026-07-28;12:11:00;CAPITAL-PARTNERS;CPA (CAPITAL);38;1.9300;0.0000;0.00;600;1158.00
2026-07-28;12:15:00;CAPITAL-PARTNERS;CPA (CAPITAL);39;1.9500;0.0000;0.00;612;1193.40
2026-07-28;12:17:00;CAPITAL-PARTNERS;CPA (CAPITAL);40;1.9500;0.0000;0.00;999;1948.05
2026-07-28;12:18:00;CAPITAL-PARTNERS;CPA (CAPITAL);41;1.9500;0.0000;0.00;1289;2513.55
2026-07-28;12:31:00;CAPITAL-PARTNERS;CPA (CAPITAL);42;1.9500;0.0000;0.00;2000;3900.00
2026-07-28;12:32:00;CAPITAL-PARTNERS;CPA (CAPITAL);43;1.9400;0.0000;0.00;850;1649.00
2026-07-28;12:37:00;CAPITAL-PARTNERS;CPA (CAPITAL);44;1.9200;0.0000;0.00;680;1305.60
2026-07-28;12:45:00;CAPITAL-PARTNERS;CPA (CAPITAL);45;1.9400;0.0000;0.00;450;873.00
2026-07-28;13:10:00;CAPITAL-PARTNERS;CPA (CAPITAL);46;1.9500;0.0000;0.00;23;44.85
2026-07-28;13:13:00;CAPITAL-PARTNERS;CPA (CAPITAL);47;1.9500;0.0000;0.00;1000;1950.00
2026-07-28;13:15:00;CAPITAL-PARTNERS;CPA (CAPITAL);48;1.9600;0.0100;0.51;1049;2050.27
2026-07-28;14:21:00;CAPITAL-PARTNERS;CPA (CAPITAL);49;1.9700;0.0100;0.51;4428;8687.88
2026-07-28;14:44:00;CAPITAL-PARTNERS;CPA (CAPITAL);50;1.9100;-0.0300;-1.55;2499;4816.99
2026-07-28;14:46:00;CAPITAL-PARTNERS;CPA (CAPITAL);51;1.9600;0.0000;0.00;50;98.00
2026-07-28;15:06:00;CAPITAL-PARTNERS;CPA (CAPITAL);52;1.9400;0.0000;0.00;48;93.12
2026-07-28;15:07:00;CAPITAL-PARTNERS;CPA (CAPITAL);53;1.9400;0.0000;0.00;256;496.64
2026-07-28;15:27:00;CAPITAL-PARTNERS;CPA (CAPITAL);54;1.9900;0.0500;2.58;17081;33577.14
2026-07-28;15:28:00;CAPITAL-PARTNERS;CPA (CAPITAL);55;2.0400;0.0000;0.00;12;24.48
2026-07-28;15:29:00;CAPITAL-PARTNERS;CPA (CAPITAL);56;2.0000;0.0000;0.00;4194;8388.00
2026-07-28;15:30:00;CAPITAL-PARTNERS;CPA (CAPITAL);57;2.0000;0.0000;0.00;725;1450.00
2026-07-28;15:34:00;CAPITAL-PARTNERS;CPA (CAPITAL);58;2.0200;0.0000;0.00;47;94.94
2026-07-28;15:58:00;CAPITAL-PARTNERS;CPA (CAPITAL);59;2.0200;0.0200;1.00;1999;4016.20
2026-07-28;15:59:00;CAPITAL-PARTNERS;CPA (CAPITAL);60;2.0200;0.0000;0.00;500;1010.00
2026-07-28;16:00:00;CAPITAL-PARTNERS;CPA (CAPITAL);61;2.0200;0.0000;0.00;2190;4423.80
2026-07-28;16:01:00;CAPITAL-PARTNERS;CPA (CAPITAL);62;2.0200;0.0000;0.00;358;723.16
2026-07-28;16:03:00;CAPITAL-PARTNERS;CPA (CAPITAL);63;2.0400;0.0000;0.00;52;106.08
2026-07-28;16:05:00;CAPITAL-PARTNERS;CPA (CAPITAL);64;2.0400;0.0000;0.00;45;91.80
