Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-03;09:00:00;CBF;CBF (CYBERFLKS);1;189.7000;-0.3000;-0.16;1098;208483.50
2026-09-03;09:01:00;CBF;CBF (CYBERFLKS);2;187.1000;-2.0000;-1.06;1829;344004.10
2026-09-03;09:02:00;CBF;CBF (CYBERFLKS);3;185.3000;-1.9000;-1.01;830;154575.90
2026-09-03;09:03:00;CBF;CBF (CYBERFLKS);4;189.1000;2.1000;1.12;844;157933.70
2026-09-03;09:04:00;CBF;CBF (CYBERFLKS);5;186.4000;-3.6000;-1.89;311;58465.70
2026-09-03;09:05:00;CBF;CBF (CYBERFLKS);6;186.5000;-0.5000;-0.27;120;22528.20
2026-09-03;09:06:00;CBF;CBF (CYBERFLKS);7;187.5000;-0.4000;-0.21;128;23992.40
2026-09-03;09:07:00;CBF;CBF (CYBERFLKS);8;186.4000;-1.0000;-0.53;96;17930.50
2026-09-03;09:08:00;CBF;CBF (CYBERFLKS);9;185.9000;-0.9000;-0.48;333;61891.90
2026-09-03;09:09:00;CBF;CBF (CYBERFLKS);10;184.7000;-1.1000;-0.59;1745;320953.10
2026-09-03;09:10:00;CBF;CBF (CYBERFLKS);11;183.5000;0.6000;0.33;498;91561.70
2026-09-03;09:11:00;CBF;CBF (CYBERFLKS);12;184.4000;-0.1000;-0.05;225;41444.90
2026-09-03;09:12:00;CBF;CBF (CYBERFLKS);13;185.7000;1.4000;0.76;171;31679.00
2026-09-03;09:13:00;CBF;CBF (CYBERFLKS);14;185.4000;-0.2000;-0.11;466;86207.10
2026-09-03;09:14:00;CBF;CBF (CYBERFLKS);15;185.0000;-0.4000;-0.22;105;19424.50
2026-09-03;09:15:00;CBF;CBF (CYBERFLKS);16;184.8000;-0.3000;-0.16;118;21802.50
2026-09-03;09:16:00;CBF;CBF (CYBERFLKS);17;184.6000;-0.2000;-0.11;135;24960.30
2026-09-03;09:17:00;CBF;CBF (CYBERFLKS);18;185.6000;0.6000;0.32;283;52370.40
2026-09-03;09:18:00;CBF;CBF (CYBERFLKS);19;185.5000;-0.1000;-0.05;257;47529.30
2026-09-03;09:19:00;CBF;CBF (CYBERFLKS);20;185.2000;-0.2000;-0.11;251;46408.10
2026-09-03;09:20:00;CBF;CBF (CYBERFLKS);21;185.0000;0.1000;0.05;122;22553.70
2026-09-03;09:21:00;CBF;CBF (CYBERFLKS);22;183.6000;-0.8000;-0.43;306;56311.00
2026-09-03;09:22:00;CBF;CBF (CYBERFLKS);23;183.4000;-0.2000;-0.11;174;31949.40
2026-09-03;09:23:00;CBF;CBF (CYBERFLKS);24;184.6000;0.8000;0.44;192;35356.80
2026-09-03;09:24:00;CBF;CBF (CYBERFLKS);25;184.6000;0.0000;0.00;93;17147.30
2026-09-03;09:25:00;CBF;CBF (CYBERFLKS);26;183.8000;-0.9000;-0.49;447;82173.10
2026-09-03;09:26:00;CBF;CBF (CYBERFLKS);27;183.9000;0.1000;0.05;144;26467.90
2026-09-03;09:27:00;CBF;CBF (CYBERFLKS);28;183.8000;0.1000;0.05;26;4777.50
2026-09-03;09:28:00;CBF;CBF (CYBERFLKS);29;184.7000;0.9000;0.49;192;35369.30
2026-09-03;09:29:00;CBF;CBF (CYBERFLKS);30;184.6000;0.0000;0.00;39;7199.40
2026-09-03;09:30:00;CBF;CBF (CYBERFLKS);31;184.5000;0.1000;0.05;71;13085.10
2026-09-03;09:31:00;CBF;CBF (CYBERFLKS);32;184.9000;0.9000;0.49;238;43844.10
2026-09-03;09:32:00;CBF;CBF (CYBERFLKS);33;185.0000;0.7000;0.38;84;15524.30
2026-09-03;09:33:00;CBF;CBF (CYBERFLKS);34;184.3000;-0.7000;-0.38;79;14585.70
2026-09-03;09:34:00;CBF;CBF (CYBERFLKS);35;184.7000;0.0000;0.00;146;26924.70
2026-09-03;09:35:00;CBF;CBF (CYBERFLKS);36;185.5000;0.7000;0.38;131;24234.90
2026-09-03;09:36:00;CBF;CBF (CYBERFLKS);37;185.6000;0.1000;0.05;65;12053.90
2026-09-03;09:37:00;CBF;CBF (CYBERFLKS);38;185.9000;0.4000;0.22;342;63599.80
2026-09-03;09:38:00;CBF;CBF (CYBERFLKS);39;185.8000;-0.1000;-0.05;139;25841.70
2026-09-03;09:39:00;CBF;CBF (CYBERFLKS);40;186.2000;0.4000;0.22;156;29018.60
2026-09-03;09:40:00;CBF;CBF (CYBERFLKS);41;185.2000;-0.5000;-0.27;85;15789.80
2026-09-03;09:41:00;CBF;CBF (CYBERFLKS);42;185.8000;0.1000;0.05;22;4087.40
2026-09-03;09:42:00;CBF;CBF (CYBERFLKS);43;186.6000;0.8000;0.43;139;25878.00
2026-09-03;09:43:00;CBF;CBF (CYBERFLKS);44;186.3000;-0.3000;-0.16;78;14520.40
2026-09-03;09:44:00;CBF;CBF (CYBERFLKS);45;185.9000;0.4000;0.22;41;7626.00
