Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-15;09:00:00;CD-PROJEKT;CDR (CDPROJEKT);1;238.3000;-0.2000;-0.08;4175;994332.80
2026-09-15;09:01:00;CD-PROJEKT;CDR (CDPROJEKT);2;237.3000;-1.1000;-0.46;2333;554881.89
2026-09-15;09:02:00;CD-PROJEKT;CDR (CDPROJEKT);3;236.4000;-0.9000;-0.38;3601;853089.30
2026-09-15;09:03:00;CD-PROJEKT;CDR (CDPROJEKT);4;236.2000;-0.2000;-0.08;2776;655948.30
2026-09-15;09:04:00;CD-PROJEKT;CDR (CDPROJEKT);5;235.8000;-0.2000;-0.08;2223;524168.90
2026-09-15;09:05:00;CD-PROJEKT;CDR (CDPROJEKT);6;236.0000;0.5000;0.21;2446;576676.10
2026-09-15;09:06:00;CD-PROJEKT;CDR (CDPROJEKT);7;235.5000;-0.5000;-0.21;1534;361719.90
2026-09-15;09:07:00;CD-PROJEKT;CDR (CDPROJEKT);8;235.9000;0.2000;0.08;1157;272645.60
2026-09-15;09:08:00;CD-PROJEKT;CDR (CDPROJEKT);9;235.5000;-0.4000;-0.17;862;203346.10
2026-09-15;09:09:00;CD-PROJEKT;CDR (CDPROJEKT);10;235.9000;0.3000;0.13;2067;487398.70
2026-09-15;09:10:00;CD-PROJEKT;CDR (CDPROJEKT);11;235.7000;0.0000;0.00;1407;331696.70
2026-09-15;09:11:00;CD-PROJEKT;CDR (CDPROJEKT);12;235.6000;-0.1000;-0.04;2711;638137.90
2026-09-15;09:12:00;CD-PROJEKT;CDR (CDPROJEKT);13;235.4000;-0.2000;-0.08;198;46635.20
2026-09-15;09:13:00;CD-PROJEKT;CDR (CDPROJEKT);14;235.8000;0.2000;0.08;1332;313732.60
2026-09-15;09:14:00;CD-PROJEKT;CDR (CDPROJEKT);15;235.5000;0.0000;0.00;926;218258.10
2026-09-15;09:15:00;CD-PROJEKT;CDR (CDPROJEKT);16;235.7000;0.3000;0.13;845;199094.00
2026-09-15;09:16:00;CD-PROJEKT;CDR (CDPROJEKT);17;235.8000;0.1000;0.04;133;31347.00
2026-09-15;09:17:00;CD-PROJEKT;CDR (CDPROJEKT);18;235.5000;-0.2000;-0.08;781;183923.00
2026-09-15;09:18:00;CD-PROJEKT;CDR (CDPROJEKT);19;235.8000;0.2000;0.08;354;83435.20
2026-09-15;09:19:00;CD-PROJEKT;CDR (CDPROJEKT);20;235.6000;-0.3000;-0.13;986;232487.00
2026-09-15;09:20:00;CD-PROJEKT;CDR (CDPROJEKT);21;235.9000;0.2000;0.08;427;100686.80
2026-09-15;09:21:00;CD-PROJEKT;CDR (CDPROJEKT);22;235.9000;0.0000;0.00;303;71472.20
2026-09-15;09:22:00;CD-PROJEKT;CDR (CDPROJEKT);23;235.9000;0.0000;0.00;202;47641.80
2026-09-15;09:23:00;CD-PROJEKT;CDR (CDPROJEKT);24;236.2000;0.3000;0.13;328;77394.20
2026-09-15;09:24:00;CD-PROJEKT;CDR (CDPROJEKT);25;236.0000;0.0000;0.00;274;64658.60
2026-09-15;09:25:00;CD-PROJEKT;CDR (CDPROJEKT);26;236.0000;0.2000;0.08;214;50495.50
2026-09-15;09:26:00;CD-PROJEKT;CDR (CDPROJEKT);27;236.0000;0.1000;0.04;104;24541.00
2026-09-15;09:27:00;CD-PROJEKT;CDR (CDPROJEKT);28;235.8000;-0.3000;-0.13;128;30198.20
2026-09-15;09:28:00;CD-PROJEKT;CDR (CDPROJEKT);29;235.9000;-0.1000;-0.04;198;46688.80
2026-09-15;09:29:00;CD-PROJEKT;CDR (CDPROJEKT);30;236.7000;0.8000;0.34;1929;455303.90
