Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-16;09:00:00;CDL;CDL (CDRL);1;11.8000;0.0000;0.00;210;2478.00
2026-09-16;09:06:00;CDL;CDL (CDRL);2;11.8000;0.0000;0.00;1;11.80
2026-09-16;09:48:00;CDL;CDL (CDRL);3;11.8000;0.0000;0.00;41;483.80
2026-09-16;11:13:00;CDL;CDL (CDRL);4;11.7000;0.0000;0.00;316;3697.20
2026-09-16;11:17:00;CDL;CDL (CDRL);5;11.6000;0.0000;0.00;36;417.60
2026-09-16;11:42:00;CDL;CDL (CDRL);6;11.7000;0.0000;0.00;10;117.00
2026-09-16;11:55:00;CDL;CDL (CDRL);7;11.6000;0.0000;0.00;150;1740.00
2026-09-16;12:39:00;CDL;CDL (CDRL);8;11.6000;0.0000;0.00;350;4060.00
2026-09-16;13:20:00;CDL;CDL (CDRL);9;11.8000;0.1000;0.85;225;2652.60
2026-09-16;13:52:00;CDL;CDL (CDRL);10;12.0000;0.0000;0.00;900;10800.00
2026-09-16;14:35:00;CDL;CDL (CDRL);11;12.1000;0.0000;0.00;1;12.10
2026-09-16;15:56:00;CDL;CDL (CDRL);12;12.3000;0.2000;1.65;682;8382.20
2026-09-16;16:08:00;CDL;CDL (CDRL);13;12.4000;0.0000;0.00;9;111.60
