Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-23;09:00:00;CEZ;CEZ;1;233.0000;0.0000;0.00;2;466.00
2026-07-23;09:05:00;CEZ;CEZ;2;238.0000;0.0000;0.00;2;476.00
2026-07-23;09:21:00;CEZ;CEZ;3;239.0000;0.2000;0.08;2;477.80
2026-07-23;09:22:00;CEZ;CEZ;4;239.2000;0.0000;0.00;1;239.20
2026-07-23;09:25:00;CEZ;CEZ;5;239.4000;0.0000;0.00;1;239.40
2026-07-23;10:16:00;CEZ;CEZ;6;238.8000;0.0000;0.00;5;1194.00
2026-07-23;10:18:00;CEZ;CEZ;7;238.8000;0.0000;0.00;2;477.60
2026-07-23;11:24:00;CEZ;CEZ;8;238.4000;0.0000;0.00;11;2622.40
2026-07-23;12:20:00;CEZ;CEZ;9;238.0000;0.0000;0.00;1;238.00
2026-07-23;14:10:00;CEZ;CEZ;10;237.2000;0.0000;0.00;4;948.80
2026-07-23;14:11:00;CEZ;CEZ;11;237.2000;0.0000;0.00;2;474.40
