Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-30;09:00:00;CI-GAMES;CIG (CIGAMES);1;2.4950;0.0000;0.00;6146;15334.28
2026-07-30;09:01:00;CI-GAMES;CIG (CIGAMES);2;2.5000;0.0000;0.00;117;292.50
2026-07-30;09:03:00;CI-GAMES;CIG (CIGAMES);3;2.4750;-0.0250;-1.00;1939;4840.51
2026-07-30;09:05:00;CI-GAMES;CIG (CIGAMES);4;2.5000;0.0050;0.20;500;1247.77
2026-07-30;09:13:00;CI-GAMES;CIG (CIGAMES);5;2.5000;0.0000;0.00;4;10.00
2026-07-30;09:15:00;CI-GAMES;CIG (CIGAMES);6;2.4950;0.0150;0.60;924;2291.58
2026-07-30;09:19:00;CI-GAMES;CIG (CIGAMES);7;2.4700;-0.0050;-0.20;1000;2472.47
2026-07-30;09:41:00;CI-GAMES;CIG (CIGAMES);8;2.4750;0.0000;0.00;872;2158.20
2026-07-30;09:44:00;CI-GAMES;CIG (CIGAMES);9;2.4950;0.0000;0.00;16;39.92
2026-07-30;09:49:00;CI-GAMES;CIG (CIGAMES);10;2.4950;0.0000;0.00;1493;3725.04
2026-07-30;09:51:00;CI-GAMES;CIG (CIGAMES);11;2.5000;0.0000;0.00;4621;11552.50
2026-07-30;09:52:00;CI-GAMES;CIG (CIGAMES);12;2.5000;0.0000;0.00;1000;2500.00
2026-07-30;09:53:00;CI-GAMES;CIG (CIGAMES);13;2.5100;0.0000;0.00;350;878.50
2026-07-30;09:54:00;CI-GAMES;CIG (CIGAMES);14;2.5100;0.0000;0.00;100;251.00
2026-07-30;09:55:00;CI-GAMES;CIG (CIGAMES);15;2.5000;-0.0100;-0.40;1480;3707.80
2026-07-30;09:56:00;CI-GAMES;CIG (CIGAMES);16;2.5100;0.0000;0.00;400;1004.00
2026-07-30;09:58:00;CI-GAMES;CIG (CIGAMES);17;2.5000;-0.0100;-0.40;1383;3463.33
2026-07-30;10:01:00;CI-GAMES;CIG (CIGAMES);18;2.4900;0.0000;0.00;80;199.20
2026-07-30;10:02:00;CI-GAMES;CIG (CIGAMES);19;2.5050;0.0000;0.00;1;2.50
2026-07-30;10:03:00;CI-GAMES;CIG (CIGAMES);20;2.5050;0.0000;0.00;25;62.62
2026-07-30;10:04:00;CI-GAMES;CIG (CIGAMES);21;2.5000;0.0000;0.00;205;512.50
2026-07-30;10:06:00;CI-GAMES;CIG (CIGAMES);22;2.5050;0.0000;0.00;29;72.64
