Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-07;09:00:00;CLNPHARMA;CLN (CLNPHARMA);1;21.8500;-0.1500;-0.68;344;7534.25
2026-09-07;09:01:00;CLNPHARMA;CLN (CLNPHARMA);2;22.0000;0.0500;0.23;100;2195.25
2026-09-07;09:05:00;CLNPHARMA;CLN (CLNPHARMA);3;21.6000;-0.2000;-0.92;1000;21678.60
2026-09-07;09:06:00;CLNPHARMA;CLN (CLNPHARMA);4;21.9000;0.3000;1.39;1961;42022.60
2026-09-07;09:08:00;CLNPHARMA;CLN (CLNPHARMA);5;21.4500;0.0000;0.00;13;278.85
2026-09-07;09:09:00;CLNPHARMA;CLN (CLNPHARMA);6;21.8500;0.0000;0.00;8;174.80
2026-09-07;09:10:00;CLNPHARMA;CLN (CLNPHARMA);7;21.8500;0.0000;0.00;23;502.55
2026-09-07;09:12:00;CLNPHARMA;CLN (CLNPHARMA);8;21.5000;-0.1000;-0.46;100;2153.00
2026-09-07;09:14:00;CLNPHARMA;CLN (CLNPHARMA);9;21.9000;0.0500;0.23;74;1617.20
2026-09-07;09:19:00;CLNPHARMA;CLN (CLNPHARMA);10;22.0000;0.1500;0.69;911;20001.90
2026-09-07;09:20:00;CLNPHARMA;CLN (CLNPHARMA);11;22.0000;-0.1000;-0.45;54;1188.50
2026-09-07;09:27:00;CLNPHARMA;CLN (CLNPHARMA);12;21.9500;0.0500;0.23;20;438.25
2026-09-07;09:30:00;CLNPHARMA;CLN (CLNPHARMA);13;21.6500;0.0000;0.00;1;21.65
2026-09-07;09:33:00;CLNPHARMA;CLN (CLNPHARMA);14;21.9500;0.0000;0.00;4;87.80
2026-09-07;09:52:00;CLNPHARMA;CLN (CLNPHARMA);15;21.9500;0.0000;0.00;6;131.70
2026-09-07;10:02:00;CLNPHARMA;CLN (CLNPHARMA);16;21.9500;0.0000;0.00;12;263.40
2026-09-07;10:03:00;CLNPHARMA;CLN (CLNPHARMA);17;21.9500;0.0000;0.00;33;724.35
2026-09-07;10:07:00;CLNPHARMA;CLN (CLNPHARMA);18;21.9500;0.1000;0.46;33;722.35
2026-09-07;10:39:00;CLNPHARMA;CLN (CLNPHARMA);19;21.9000;0.1000;0.46;1140;24592.15
2026-09-07;11:08:00;CLNPHARMA;CLN (CLNPHARMA);20;21.8500;0.1500;0.69;465;10119.55
2026-09-07;11:09:00;CLNPHARMA;CLN (CLNPHARMA);21;21.8000;0.0000;0.00;46;1002.80
2026-09-07;11:18:00;CLNPHARMA;CLN (CLNPHARMA);22;21.6000;0.0000;0.00;227;4903.20
2026-09-07;11:20:00;CLNPHARMA;CLN (CLNPHARMA);23;21.5500;0.0000;0.00;303;6529.65
2026-09-07;11:21:00;CLNPHARMA;CLN (CLNPHARMA);24;21.7500;0.0000;0.00;10;217.50
2026-09-07;11:35:00;CLNPHARMA;CLN (CLNPHARMA);25;21.6000;0.0000;0.00;80;1728.00
2026-09-07;11:37:00;CLNPHARMA;CLN (CLNPHARMA);26;21.6000;0.0000;0.00;20;432.00
2026-09-07;11:40:00;CLNPHARMA;CLN (CLNPHARMA);27;21.5500;0.0000;0.00;44;948.20
2026-09-07;11:42:00;CLNPHARMA;CLN (CLNPHARMA);28;21.6500;0.0000;0.00;2;43.30
2026-09-07;11:47:00;CLNPHARMA;CLN (CLNPHARMA);29;21.7000;0.0500;0.23;39;846.15
2026-09-07;11:59:00;CLNPHARMA;CLN (CLNPHARMA);30;21.6000;0.0000;0.00;90;1944.00
2026-09-07;12:03:00;CLNPHARMA;CLN (CLNPHARMA);31;21.7000;0.0500;0.23;6;129.95
2026-09-07;12:19:00;CLNPHARMA;CLN (CLNPHARMA);32;21.7000;0.0000;0.00;1;21.70
2026-09-07;12:21:00;CLNPHARMA;CLN (CLNPHARMA);33;21.7000;0.0000;0.00;300;6510.00
2026-09-07;12:35:00;CLNPHARMA;CLN (CLNPHARMA);34;21.7000;0.0000;0.00;10;217.00
2026-09-07;13:04:00;CLNPHARMA;CLN (CLNPHARMA);35;21.6500;0.0000;0.00;60;1299.00
